customer_id,customer_name,address,postal_code,latitude,longitude,vehicle_type,service_time_min,tour_id,demand_class,frekvens,tw_bracket
211,Marutham Hjørungavåg,HJØRUNGAVÅGVEGEN 2,6063.0,62.3477678,6.0643051,1.0,7.6,4701,high,59.0,2
213,1996 Hotel Alexandra,Lodalsvegen 22,6789.0,61.8733073,6.8476827,1.0,7.4,"2551,5551",med,97.0,2
314,STRANDA VIDAREGÅANDE SKULE,HEVSDALSVEGEN 52,6200.0,62.305982520666966,6.913908699961466,1.0,8.6,0,med,34.0,2
333,Elmir Pizzeria,Vågsgata 17,6090.0,62.3415117,5.6369561,1.0,8.3,4251,low,20.0,2
355,Kiwi 827 Ørsta,Håkonsgata 16,6153.0,62.2030441,6.1456416,1.0,26.6,"1502,2501,3501,4501,5501",high,303.0,2
361,Asko Mat,Håkonsgata 16,6153.0,62.46,6.35,1.0,4.9,3501,low,50.0,2
376,Yusuf,Nedregårdsvegen 9,6020.0,62.4644802,6.3658054,1.0,4.7,4103,low,19.0,1
435,Aursnes Kiosk,Sykkylvsvegen 1,6230.0,62.4102234,6.5497224,1.0,9.9,4602,high,66.0,2
500,Storfjord Kulturhus,Øyna 1,6200.0,62.3084285,6.947832,1.0,6.0,4601,low,12.0,2
554,Joker Bellingen,Øyragata 40,,62.2098407,6.477552,1.0,14.5,"1501,4501",high,101.0,2
575,Bjørgs Mat As,Nedrevegen 106,6710.0,61.9827748,5.1376746,1.0,19.7,2451,high,62.0,2
582,Bakeriet Kaffebar,Myrane 13,6718.0,61.9218289,5.1563359,1.0,11.6,3451,med,67.0,2
615,5311 Sagafjord Hotel,Øyragata 8,6165.0,62.2073827,6.4796746,1.0,8.2,4501,low,45.0,2
643,Joker Hjelledalen,Strynevegen 2806,6798.0,61.9190449,7.1715462,1.0,16.4,"3551,5551",high,110.0,2
645,JUVET LANDSKAPSHOTELL,Alstad 24,6210.0,62.332574041106774,7.470781403801987,1.0,8.6,0,med,36.0,2
774,O.l. Brekke Kafe Catering,PERHUSVEGEN 9,6770.0,61.9028447,6.7222931,1.0,7.0,3551,low,52.0,2
785,Brattvåg Bowling As,Brattvåggata 15,6270.0,62.5998184,6.4459517,1.0,9.4,"2151,5151",low,92.0,2
793,Brattvåg Fjordhotell,STRANDGATA 48,6270.0,62.5968924,6.4478983,1.0,7.8,"2151,5151",med,95.0,2
796,Joker Fiksdal,Nakkedalsvegen 2,6394.0,62.619325,6.8544077,1.0,18.2,"1651,4651",high,102.0,2
880,Spar Fiskåbygd,Combisenteret,6143.0,62.1004082,5.5579294,1.0,20.2,"1351,2352,4351,5351",high,196.0,2
890,Centrumskiosken,SJØGATA 13,6065.0,62.3416116,5.852814,1.0,12.3,4701,high,53.0,2
899,Iss 422542 Nordea Ålesund,Notenesgata 2,6002.0,62.4714696,6.1536135,1.0,6.5,"2051,4051",low,75.0,1
902,China Restaurant Eid,Almenningen 1,6770.0,61.9059684,5.9911431,1.0,7.0,"3452,5452",low,67.0,2
