customer_id,customer_name,address,postal_code,latitude,longitude,geocode_status,delivery_day,tw_start,tw_end,ppl,ppl_freeze,volume_m3,weight_kg,vehicle_type,tour_id,service_time_min,notes
9253,Løvenvold Theater As,Løvenvoldgata 8,6002.0,62.472813,6.1584737,found,tue,08:15,10:15,0.5,0.0,94.5,0.0,1,2041,6.8,APPROX: placed at Ålesund city center — needs exact address from HIG
7926,Skarbøvik Barnehage,Skarbøvik barnehage,,62.4648029,6.111152,found,tue,08:55,10:55,1.0,0.5,99.6,0.0,1,2041,6.8,
7935,Fagerlia Barnehage,Fagerlia barnehage,,62.4749043,6.2216744,found,tue,07:40,09:40,1.5,0.5,215.1,0.0,1,2041,6.7,
7937,Storhaugen Barnehage,Storhaugen barnehage,,62.4719208,6.1427615,found,tue,08:35,10:35,1.0,0.5,116.3,0.0,1,2041,6.2,
7916,Lerstad Barnehage,Lerstad barnehage,,62.467773,6.3069108,found,tue,07:20,09:20,1.0,0.5,319.0,0.0,1,2041,5.8,
9242,Kirkens Bymisjon Avd. 37900,Parkgata 9,6002.0,62.4726771,6.1614843,found,tue,08:05,10:05,2.0,0.5,302.15,0.0,1,2041,9.8,APPROX: placed at Ålesund city center — needs exact address from HIG
7591,Pharma Marine,Terøy Industriområde 3,6280.0,62.5581807,6.264718,found,tue,11:55,13:55,1.0,0.5,471.2,0.0,1,2042,6.2,APPROX: placed at Ålesund city center — needs exact address from HIG
6437,2752 Storfjord Hotel,Øvre glomset 110,6260.0,62.4695645,6.6247074,found,tue,08:00,16:00,2.0,0.0,1957.3,0.0,1,2042,11.5,APPROX: location estimated from business name — verify with HIG
9272,Namaste Ålesund,Kongens gate 12,6002.0,62.473574,6.156868,found,tue,08:40,10:40,1.0,0.5,424.82,0.0,1,2051,9.6,APPROX: placed at Ålesund city center — needs exact address from HIG
9172,Cinque Minuti,Kongens gate 1,6002.0,62.4728964,6.1563672,found,tue,08:45,10:45,2.5,0.5,1304.86,0.0,1,2051,7.7,APPROX: location estimated from business name — verify with HIG
8882,Quality Hotel Waterfront,Quality Hotel Waterfront,6004.0,62.4699296,6.1460985,found,tue,08:00,10:00,2.5,0.5,2561.58,0.0,1,2051,12.1,
8473,Evergreens,Rasmus Rønnebergs gate 6,6002.0,62.4712466,6.1538577,found,tue,07:40,09:40,1.5,0.5,719.7,0.0,1,2051,4.6,APPROX: placed at Ålesund city center — needs exact address from HIG
8309,Bro,Notenesgata 1,,62.471226,6.15287,found,tue,08:20,10:20,1.0,0.5,103.1,0.0,1,2051,7.8,
