,FLISNESVEGEN 1,LERSTADVEGEN 545,LORKENESTORGET,SMEDGARDEN 1,Øvre Geilegrend 1,FOGD GREVES VEG 3,KONGENS GATE 6,Gamle Blindheimsveg 25,Spjelkavikvegen 61,SPJELKAVIKVEGEN 42,SKAREGATA 1,Rasmus Rønnebergs gate 21,BROGATA 1,KONGENS GATE 28A,SKANSEKAIA 4A,SORENSKRIVER BULLS GATE 7,PARKGATA 11B,KONGENS GATE 27,RASMUS RØNNEBERGS GATE 4,LARSGÅRDSVEGEN 19,SUNDGATA 8,RASMUS RØNNEBERGS GATE 6,NEDRE STRANDGATE 51,NØRVEGATA 23,NEDRE KLOKKERSUNDVEGEN 2,LERSTADVEGEN 291,APOTEKERGATA 1-3,APOTEKERGATA 5,SKARBØVIKGATA 25,OLE THORESENS GATE 16,JOHS. AARFLOTS GATE 4,KIPERVIKGATA 5,KIRKEGATA 1 A,SKARBØVIKGATA 26,APOTEKERGATA 8,KONGENS GATE 28,SJØMANNSVEGEN 14,NEDRE STRANDGATE 9,FJORDGATA 52,KEISER WILHELMS GATE 39,GJERDEGATA 4,NOTENESGATA 3,HATLASKARET 1,SJØMANNSVEGEN 1,KIRKEGATA 2,KONGENS GATE 11,KONGENS GATE 30,SKATEFLUKAIA 1B,KEISER WILHELMS GATE 2,RINGGATA 15E,KORSEGATA 4,RASMUS RØNNEBERGS GATE 21,PARKGATA 22,TOLLBUGATA 2,LORKENESGATA 1,RÅDSTUGATA 3B,SOLAVÅGSEIDET 76,APOTEKERGATA 6,KEISER WILHELMS GATE 32,POSTVEGEN 17,POSTVEGEN 11,POSTVEGEN 15,KONGENS GATE 25,KONGENS GATE 32A,BLINDHEIM INDUSTRIVEG 2D,Depot
FLISNESVEGEN 1,0.0,7146.8,16894.4,10378.4,8116.2,13021.6,16805.3,2570.9,5596.3,5762.7,17084.0,16882.1,18327.5,17277.5,17293.8,17089.6,16580.8,17314.8,16910.4,12728.3,16104.5,16920.3,17501.4,14561.8,11602.7,9281.9,17096.7,17080.4,19424.0,19609.1,18042.1,16571.6,17163.8,19393.2,17040.5,17277.5,15210.0,16973.7,18018.9,16694.5,16418.7,16913.8,10223.7,14600.9,17010.8,16945.5,17281.6,17049.3,17016.0,18521.3,16664.1,16882.1,16620.3,17187.1,17039.9,16357.8,7029.5,17069.5,16610.2,6670.2,6828.5,6673.0,17273.7,17286.6,3038.4,6422.6
LERSTADVEGEN 545,7422.3,0.0,11277.5,6415.2,4066.0,7404.7,11188.3,5263.4,1590.3,1484.0,11467.1,11265.2,12710.6,11660.6,11676.9,11472.7,10963.8,11697.9,11293.5,7111.4,10487.6,11303.4,11884.5,8944.8,6394.9,4074.0,11479.8,11463.5,13807.1,13992.2,12425.2,10954.7,11546.9,13776.3,11423.6,11660.6,9593.0,11356.8,12401.9,11077.6,10801.7,11296.9,6260.6,8984.0,11393.8,11328.6,11664.7,11432.3,11399.0,12904.3,11047.1,11265.2,11003.4,11570.2,11423.0,10740.9,8003.7,11452.6,10993.2,1053.2,1211.6,1056.0,11656.8,11669.6,5762.7,7396.8
LORKENESTORGET,16957.5,11310.1,0.0,7227.9,9391.2,4461.8,619.4,14798.6,12321.1,12013.0,570.8,546.2,1478.4,764.3,780.6,790.7,809.9,801.6,78.7,5165.0,862.0,119.8,652.3,3152.1,5586.9,8011.6,247.6,231.3,2574.9,2760.0,1193.0,630.1,314.7,2544.1,191.4,764.3,3605.2,124.6,1169.8,585.8,884.7,126.3,6945.0,2996.1,161.7,432.3,768.4,536.1,278.5,1672.2,306.1,546.2,849.4,673.9,62.6,638.0,17538.9,220.5,501.4,10663.9,10822.3,10666.7,760.5,773.3,15297.9,16932.0
SMEDGARDEN 1,10339.2,6389.9,7216.5,0.0,2952.4,3257.0,7127.4,8180.3,5702.8,5869.2,7406.2,7204.2,8649.7,7599.7,7616.0,7411.8,6902.9,7637.0,7232.5,2748.1,6426.7,7242.5,7823.6,4883.9,1896.1,2838.9,7418.9,7402.6,9746.2,9931.3,8364.3,6893.8,7486.0,9715.4,7362.7,7599.7,5532.1,7295.9,8341.0,7016.7,6740.8,7236.0,282.9,4923.1,7332.9,7267.7,7603.8,7371.4,7338.1,8843.4,6986.2,7204.2,6942.5,7509.3,7362.1,6680.0,10920.6,7391.7,6932.3,5743.7,5902.0,5746.5,7595.9,7608.7,8679.7,10313.7
Øvre Geilegrend 1,8099.9,3783.5,9601.4,2974.9,0.0,5728.6,9512.3,5941.0,3463.5,3292.1,9791.0,9589.1,11034.5,9984.5,10000.8,9796.6,9287.8,10021.8,9617.4,5435.3,8811.5,9627.3,10208.4,7268.8,4199.3,1878.4,9803.7,9787.4,12131.0,12316.1,10749.1,9278.6,9870.8,12100.2,9747.5,9984.5,7917.0,9680.7,10725.9,9401.5,9125.7,9620.8,2820.3,7307.9,9717.8,9652.5,9988.6,9756.3,9723.0,11228.3,9371.1,9589.1,9327.3,9894.1,9746.9,9064.8,8681.3,9776.5,9317.2,3440.6,3598.9,3443.4,9980.7,9993.6,6440.3,8074.4
FOGD GREVES VEG 3,13070.0,7422.7,4230.7,3139.5,5503.8,0.0,4141.6,10911.2,8433.7,8125.6,4420.3,4218.4,5663.8,4613.8,4630.1,4426.0,3917.1,4651.1,4246.7,571.5,3440.9,4256.6,4837.8,1399.8,1498.5,4124.2,4433.0,4416.7,6760.3,6945.5,5378.4,3907.9,4500.1,6729.5,4376.8,4613.8,2525.1,4310.0,5355.2,4030.8,3755.0,4250.1,2856.6,1916.1,4347.1,4281.8,4617.9,4385.6,4352.3,5857.6,4000.4,4218.4,3546.1,4523.4,4376.2,3694.2,13651.5,4405.9,3946.5,6776.5,6934.9,6779.3,4610.0,4622.9,11410.5,13044.6
KONGENS GATE 6,16900.0,11252.7,622.9,7170.5,9333.8,4404.4,0.0,14741.2,12263.7,11955.6,269.2,360.4,2056.0,557.4,573.7,435.0,474.1,594.7,544.2,5107.6,708.6,503.2,1230.0,3094.7,5529.5,7954.2,825.2,808.9,3152.5,3337.7,1770.6,294.3,892.4,3121.7,769.0,557.4,3547.8,702.2,1747.4,356.9,549.0,496.7,6887.6,2938.7,739.3,528.4,561.5,340.4,838.7,2249.8,559.3,360.4,513.6,467.0,622.8,492.3,17481.5,798.1,435.2,10606.5,10764.9,10609.3,553.6,566.5,15240.5,16874.6
Gamle Blindheimsveg 25,2528.8,4905.0,14652.6,8136.6,5874.4,10779.8,14563.5,0.0,3354.5,3520.9,14842.2,14640.3,16085.7,15035.7,15052.0,14847.8,14339.0,15073.0,14668.6,10486.5,13862.7,14678.5,15259.6,12320.0,9360.9,7040.1,14854.9,14838.6,17182.2,17367.3,15800.3,14329.8,14922.0,17151.4,14798.7,15035.7,12968.2,14731.9,15777.1,14452.7,14176.9,14672.0,7981.9,12359.1,14769.0,14703.7,15039.8,14807.5,14774.2,16279.5,14422.3,14640.3,14378.5,14945.3,14798.1,14116.0,4787.7,14827.7,14368.4,4428.4,4586.7,4431.2,15031.9,15044.8,1273.4,4180.8
Spjelkavikvegen 61,5657.8,1603.8,12228.2,5712.2,3450.0,8355.4,12139.1,3498.9,0.0,166.4,12417.8,12215.9,13661.3,12611.3,12627.6,12423.5,11914.6,12648.6,12244.2,8062.1,11438.4,12254.1,12835.2,9895.6,6936.5,4615.7,12430.5,12414.2,14757.8,14942.9,13375.9,11905.4,12497.6,14727.0,12374.3,12611.3,10543.8,12307.5,13352.7,12028.3,11752.5,12247.6,5557.6,9934.8,12344.6,12279.3,12615.4,12383.1,12349.8,13855.1,11997.9,12215.9,11954.1,12520.9,12373.7,11691.7,6239.2,12403.4,11944.0,2004.0,2162.3,2006.8,12607.5,12620.4,3998.2,5632.3
SPJELKAVIKVEGEN 42,5824.2,1497.4,12035.4,5677.9,3616.4,8162.6,11946.3,3665.3,166.4,0.0,12225.0,12023.1,13468.5,12418.5,12434.8,12230.6,11721.7,12455.8,12051.4,7869.3,11245.5,12061.3,12642.4,9702.8,6902.2,4581.4,12237.7,12221.4,14565.0,14750.1,13183.1,11712.6,12304.8,14534.2,12181.5,12418.5,10350.9,12114.7,13159.8,11835.5,11559.6,12054.8,5523.3,9741.9,12151.8,12086.5,12422.6,12190.3,12157.0,13662.3,11805.1,12023.1,11761.3,12328.1,12180.9,11498.8,6405.6,12210.5,11751.2,1811.2,1969.5,1814.0,12414.7,12427.6,4164.6,5798.7
SKAREGATA 1,17018.5,11371.2,565.1,7289.0,9452.3,4522.9,269.2,14859.7,12382.2,12074.0,0.0,478.9,1998.2,288.3,304.5,251.3,592.6,325.5,486.4,5226.1,827.1,445.3,1172.1,3213.2,5648.0,8072.7,767.4,751.1,3094.7,3279.8,1712.8,412.8,834.5,3063.9,711.2,288.3,3666.2,644.4,1689.6,475.4,667.4,438.8,7006.1,3057.2,681.5,257.7,292.4,71.2,780.9,2192.0,501.5,478.9,632.1,197.8,565.0,610.8,17600.0,740.3,553.7,10725.0,10883.3,10727.8,284.5,297.3,15359.0,16993.1
Rasmus Rønnebergs gate 21,16976.9,11329.5,549.7,7247.3,9410.6,4481.2,360.4,14818.0,12340.5,12032.4,478.9,0.0,1982.8,787.1,803.4,644.8,550.9,824.4,471.0,5184.4,785.4,429.9,1156.7,3171.5,5606.3,8031.0,752.0,735.7,3079.3,3264.4,1697.4,371.1,819.1,3048.5,695.8,787.1,3624.6,629.0,1674.2,433.7,625.8,423.4,6964.4,3015.5,666.1,455.2,791.3,558.9,765.5,2176.6,486.1,0.0,590.5,696.7,549.6,569.1,17558.3,724.9,512.0,10683.3,10841.7,10686.1,783.4,796.2,15317.3,16951.4
BROGATA 1,18372.4,12725.0,1460.2,8642.8,10806.1,5876.7,2034.3,16213.5,13736.0,13427.9,1985.7,1961.1,0.0,2179.2,2195.5,2205.6,2224.8,2216.5,1493.6,6579.9,2276.9,1534.6,807.8,4567.0,7001.8,9426.5,1485.7,1469.4,1133.3,1318.4,379.6,2044.9,1297.4,1102.5,1429.5,2179.2,5020.1,1370.0,833.8,2000.7,2299.6,1541.1,8359.9,4411.0,1342.7,1847.2,2183.3,1950.9,1693.4,262.4,1721.0,1961.1,2264.3,2088.8,1477.5,2052.9,18953.8,1458.5,1916.3,12078.8,12237.2,12081.6,2175.4,2188.2,16712.8,18346.9
KONGENS GATE 28A,17188.7,11541.3,820.7,7459.1,9622.4,4693.0,439.3,15029.8,12552.3,12244.2,255.6,649.0,2253.8,0.0,308.2,99.5,762.7,37.3,742.0,5396.2,997.2,700.9,1427.7,3383.3,5818.1,8242.8,1023.0,1006.7,3350.3,3535.4,1968.4,582.9,1090.1,3319.5,966.8,0.0,3836.4,900.0,1945.1,645.5,837.6,694.4,7176.2,3227.3,937.1,513.3,4.1,326.8,1036.4,2447.5,757.0,649.0,802.2,216.3,820.5,780.9,17770.1,995.8,723.8,10895.1,11053.5,10897.9,243.9,9.1,15529.1,17163.2
SKANSEKAIA 4A,17372.3,11724.9,774.9,7642.7,9806.0,4876.6,573.7,15213.4,12735.9,12427.8,304.5,783.5,2208.0,234.0,0.0,208.6,897.1,271.3,696.2,5579.8,1131.6,655.1,1381.9,3566.9,6001.7,8426.4,977.2,960.9,3304.5,3489.6,1922.6,717.3,1044.3,3273.7,921.0,234.0,4020.0,854.2,1899.4,780.0,972.0,648.6,7359.8,3410.9,891.3,467.5,238.1,281.0,990.7,2401.8,711.3,783.5,936.7,106.7,774.8,915.4,17953.7,950.1,858.2,11078.7,11237.1,11081.5,230.2,243.1,15712.7,17346.8
SORENSKRIVER BULLS GATE 7,17184.4,11537.1,785.0,7454.9,9618.2,4688.8,435.0,15025.6,12548.0,12239.9,251.3,644.8,2218.1,148.2,208.6,0.0,758.5,185.5,706.3,5392.0,993.0,665.3,1392.1,3379.0,5813.9,8238.6,987.4,971.1,3314.7,3499.8,1932.8,578.6,1054.5,3283.8,931.1,148.2,3832.1,864.4,1909.5,641.3,833.3,658.8,7172.0,3223.1,901.4,477.6,152.3,291.1,1000.8,2411.9,721.4,644.8,798.0,116.8,784.9,776.7,17765.9,960.2,719.5,10890.9,11049.2,10893.7,144.4,157.2,15524.9,17158.9
PARKGATA 11B,16573.8,10926.5,813.4,6844.3,9007.6,3592.6,474.1,14415.0,11937.4,11629.3,592.6,550.9,2246.5,880.8,897.1,758.5,0.0,918.1,734.7,4781.4,382.4,693.6,1420.4,2282.8,5203.3,7628.0,1015.7,999.4,3343.0,3528.1,1961.1,459.8,1082.8,3312.2,959.5,880.8,3221.5,892.7,1937.9,522.4,162.1,687.1,6561.4,2612.5,929.8,718.9,885.0,663.8,1029.2,2440.3,681.5,550.9,39.5,790.4,813.3,343.6,17155.3,988.6,600.7,10280.3,10438.6,10283.1,877.1,889.9,14914.3,16548.4
KONGENS GATE 27,17151.4,11504.0,783.4,7421.8,9585.1,4655.7,402.0,14992.5,12515.0,12206.9,218.3,611.7,2216.5,210.4,270.9,62.2,725.4,0.0,704.7,5358.9,959.9,663.6,1390.4,3346.0,5780.8,8205.5,985.7,969.4,3313.0,3498.1,1931.1,545.6,1052.8,3282.2,929.5,210.4,3799.1,862.7,1907.8,608.2,800.3,657.1,7138.9,3190.0,899.8,476.0,214.5,289.5,999.2,2410.3,719.8,611.7,765.0,179.1,783.2,743.6,17732.8,958.5,686.5,10857.8,11016.2,10860.6,206.6,219.5,15491.8,17125.9
RASMUS RØNNEBERGS GATE 4,16973.5,11326.1,78.7,7243.9,9407.2,4477.8,540.7,14814.6,12337.1,12029.0,492.1,467.5,1511.8,685.6,701.9,712.0,731.2,722.9,0.0,5181.0,965.7,41.0,685.8,3168.1,5602.9,8027.6,281.0,264.7,2608.3,2793.5,1226.4,551.3,348.1,2577.5,224.8,685.6,3621.2,158.0,1203.2,614.0,806.0,47.6,6961.0,3012.1,195.1,353.6,689.7,457.4,294.5,1705.6,322.1,467.5,770.7,595.2,78.6,749.4,17554.9,253.9,517.4,10679.9,10838.3,10682.7,681.8,694.6,15313.9,16948.0
LARSGÅRDSVEGEN 19,12695.1,7047.8,4886.4,2764.6,5128.8,575.3,4797.2,10536.2,8058.7,7750.6,5076.0,4874.1,6319.5,5269.5,5285.8,5081.6,4572.7,5306.8,4902.4,0.0,4096.5,4912.3,5493.4,1950.4,1123.6,3749.3,5088.7,5072.4,7416.0,7601.1,6034.1,4563.6,5155.8,7385.2,5032.5,5269.5,3201.9,4965.7,6010.8,4686.5,4410.6,4905.8,2481.7,2592.9,5002.7,4937.5,5273.6,5041.3,5008.0,6513.2,4656.0,4874.1,4612.3,5179.1,5031.9,4349.8,13276.5,5061.5,4602.1,6401.6,6559.9,6404.4,5265.7,5278.5,11035.6,12669.6
SUNDGATA 8,16191.5,10544.1,841.8,6461.9,8625.2,3695.8,721.1,14032.6,11555.1,11247.0,839.5,797.9,2274.9,1224.9,1241.2,1005.4,476.2,1262.2,857.8,4399.0,0.0,867.7,1448.9,2386.1,4820.9,7245.6,1044.1,1027.8,3371.5,3556.6,1989.5,487.4,1111.3,3340.6,987.9,1224.9,2839.2,921.2,1966.3,641.9,314.1,861.2,6179.0,2230.2,958.2,892.9,1229.1,996.7,963.4,2468.7,611.5,797.9,515.8,1134.5,987.4,273.6,16772.9,1017.0,557.6,9897.9,10056.3,9900.7,1221.2,1234.0,14531.9,16166.0
