,Kundenr,Alle kunder,Antall leveranser
0,361, ASKO MAT ,50
1,7922, ASPØY OMSORGSSENTER 2024 ,53
2,7921, KANTINE ÅLESUND RÅDHUS 2024 ,61
3,3756, MOTORHUSET ,101
4,213,1996  HOTEL ALEXANDRA ,97
5,3318,2057 HOTEL LOENFJORD ,46
6,8801,2743 62 NORD ,8
7,6437,2752 STORFJORD HOTEL ,99
8,5850,321 SELJETUNET OMS OG REHAB ,1
9,1023,3846 DEVOLD FABR.UTS. DYRKORN ,5
10,1025,3846 DEVOLD KANTINE KAFE ,101
11,1028,3846 DEVOLD RETAIL HELLESYLT ,3
12,7367,4008 VALLDAL FJORDHOTELL ,45
13,2646,4274 HOVEN RESTAURANT ,84
14,8353,4341 APOTEKERGATA 5 ,90
15,615,5311 SAGAFJORD HOTEL ,45
16,7582,5410 VISNES HOTEL STRYN AS ,56
17,9251,6210 SJØBUA ,72
18,7635,A. M. VIK AS ,24
19,8004,A.WESTRE ,2
20,9274,ABLE CARWASH ,3
21,3439,AISHA SPISERI ,20
22,9326,AKADEMIET VGS MØRE ANSATTE ,6
23,9325,AKADEMIET VGS ÅLES.ELEVKANTINE ,4
24,8203,AKSLA IL ,30
25,13026,ALBATROSS KANTINE LANGSTEN ,59
26,13018,ALBATROSS KANTINE TROHAUGEN ,53
27,13049,ALBATROSS TOMREFJORD PRØVETUR ,3
28,7004,ALF TAFJORD LANDHANDEL ,49
29,3323,ALNES BRYGGE ,13
30,3319,ALNES FYR OG OPPLEVELSESSENTER ,87
31,13153,AMORE ÅLESUND ,22
32,8399,ANDREAS FAUSA EFTF. ,21
33,4096,ANITAS KANTINE ,40
34,9142,ANNO ,184
35,8165,ASK SAFETY 460205 ,85
36,8284,ASSIST ÅLESUND ,13
37,8288,ATLANTERHAVSPARKEN ÅLESUND ,87
38,410,AURSNES HOTELL ,10
39,435,AURSNES KIOSK ,66
40,7811,"AVD VATNE, TENNFJORD BHG ",17
41,4089,B GATEGRILL ,25
42,571,BAKEHUSET AVD NORDFJORDEID ,20
43,582,BAKERIET KAFFEBAR ,67
44,8132,BAKK,1
45,598,BARIUS & KAKTUS ,1
46,9194,BARNAS HAGE LARSGÅRDEN ,14
47,8299,BELLA MI ,23
48,6770,BENTO YUME SUSHI ,7
49,8320,"BILTEMA  AVD 218, ÅLESUND ",21
50,8327,BILTEMA NORDFJORDEID ,11
51,8334,BILTEMA ULSTEINVIK AVD.296 ,14
52,575,BJØRGS MAT AS ,62
53,579,BJØRGS MAT AVD MÅLØY ,5
54,7521,BJØRN HOLTE ,35
55,6727,BK KANTINE KAFFI ,2
56,13275,BLAKSTAD BARNEHAGE ,35
57,580,BLAKSTAD GARD ,3
58,7930,BLINDHEIM BOKOLLEKTIV 2024 ,11
59,7923,BLINDHEIM OMSORGSSENTER 2024 ,52
60,2485,BLÅTIND HOTEL ,63
61,3565,BOGNE BRESERI AS ,42
62,1249,BONDALSELVA CAMPING ,1
63,9233,BORGUND PIZZA ,37
64,8342,BORGUND VGS KANTINE ,65
65,8527,"BORGUND VGS, REST.OG MATFAG ",50
66,7911,BORGUNDHEIMEN DAGSENTER 240040 ,29
67,13097,BRASSERIE POSTEN GEIRANGER ,3
68,764,BRATTVÅG BAKERI OG KONDITORI ,10
69,772,BRATTVÅG BARNEHAGE ,1
70,785,BRATTVÅG BOWLING AS ,92
71,793,BRATTVÅG FJORDHOTELL ,95
72,7395,BRAUD DIGERNES ,59
73,7394,BRAUD MOA ,76
74,7392,BRAUD ULSTEINVIK ,69
75,7396,BRAUD VALDERØY ,55
76,2672,BRIKSDALSBRE FJELLSTOVE AS ,50
77,9329,BRISK AVD RÅDHUSET ,3
78,9262,BRISK KARRIERE AS ,16
79,8309,BRO ,88
80,8331,BROKIOSKEN ,58
81,8352,BRUSDALSHEIMEN ,22
82,1646,BRYGGA SPORTSBAR ,49
83,7636,BRYGGEN KRO ,3
84,8892,BRØDR REMØ AS ,6
85,9280,BRØDRENE DAHL ,14
86,7857,BRØR MAT OG BRYGGERI ,59
87,8302,BULDREHALLEN ,19
88,3070,BUNNPRIS BRATTVÅG ,251
89,3087,BUNNPRIS BROA ,171
90,6343,BUNNPRIS BRYGGJA ,248
91,3096,BUNNPRIS EID ,198
92,3095,BUNNPRIS HAREID ,247
93,3083,BUNNPRIS IKORNES ,201
94,3079,BUNNPRIS LANGEVÅG ,252
95,2943,BUNNPRIS NØRVE ,155
96,13116,BUNNPRIS OLDEIDE ,153
97,3086,BUNNPRIS OLDEN ,202
98,3071,BUNNPRIS SJØHOLT ,234
99,3054,BUNNPRIS SKANSEN ,190
100,3076,BUNNPRIS SPJELKAVIK ,248
101,3092,BUNNPRIS STAD ,152
102,6340,BUNNPRIS STRAUMGJERDE ,201
103,3097,BUNNPRIS STRYN ,154
104,3078,BUNNPRIS TORGHALLEN ,300
105,3077,BUNNPRIS ULSTEINVIK ,250
106,3080,BUNNPRIS VALDERØY ,199
107,3089,BUNNPRIS VALLDAL ,162
108,3075,BUNNPRIS VATNE ,251
109,3081,BUNNPRIS VEDDE ,252
110,3066,BUNNPRIS VOLDA ,138
111,3093,BUNNPRIS ØRSTA ,299
112,6672,BURGER KING DIGERNES AVD 5065 ,135
113,8308,"BURGER KING MOA, AVD 5043 ÅLES ",94
114,7872,BURGER KING VOLDA AVD.5087 ,99
115,8534,BURGER KING ÅLESUND AVD.5049 ,98
116,9178,BYBADET ,60
117,1863,BYGG 1 PRODUKTER KANTINE ,9
118,2696,BØLGEN BAR & RESTAURANT ,24
119,1053,CAFE GOBETEN ,5
120,9315,CAFÈ HERMAN ,13
121,2960,CAFE NOVA ,52
122,7889,CATS BRYGGEN ,1
123,9165,CCD DRIKKE ARB.PLASS ÅLESUND ,20
124,890,CENTRUMSKIOSKEN ,53
125,5102,CHINA HOUSE ,16
126,902,CHINA RESTAURANT EID ,67
127,1047,CHRISTIAN GAARD BYGDETUN AS ,23
128,3060,CHRISTINEBORG GJESTEHUS AS ,9
129,9172,CINQUE MINUTI ,79
130,8029,COLOR LINE KIOSKDRIFT ,24
131,8953,COOP OBS KAFE AVD 5289 ,102
132,8125,DALANE BARNEHAGE ,13
133,3329,DALSFJORDEN FOTBALLKLUBB ,1
134,9236,DAMPSENTRALEN ,93
135,1847,DET LILLE NAPOLI ØRSTA ,63
136,9290,DEVIES ,22
137,1048,DIDRIKS KAFE & GAVER ,61
138,9267,DIRTY NELLY ,57
139,6083,DIS KAFFEBAR ,24
140,6460,DREGES HOTEL ,78
141,8947,DRÅPE ÅLESUND KAFFEHUS AS ,100
142,8945,DAASKOGEN RENEX ,54
143,13246,EBBEGARDEN BARNEHAGE EMBLEM ,41
144,9299,EGON MOA MOANOR ,102
145,13169,EGON ÅLESUND ,130
146,13331,EID VG SKULE ,16
147,7806,EIDET OMSORGS. KJØKKEN 2024 ,58
148,8326,EKORNES AS ,4
