,Depot,Motorhuset AS,"Lobyvegen 2, 6789 Loen","Loenvegen 2, 6789 Loen","Kongshaug, 6350 Eidsbygda","Tafjord, 6214 Norddal",Alnes Fyr og opplevelsessenter,Anno,"Brattvåg, 6270 Brattvåg",Brattvåg Fjordhotell,AMFI MOA - BRO - NORD - SYD,Bunnpris Brattvåg,Bunnpris Bryggja,Bunnpris Eid,Bunnpris Hareid,"Ikornes, 6222 Ikornnes",Bunnpris Langevåg,Bunnpris Oldeide,Bunnpris Olden,Bunnpris Sjøholt,SKAREGATA 1,Bunnpris Spjelkavik,Bunnpris Stad,Bunnpris Straumgjerde,Bunnpris Stryn,NEDRE STRANDGATE 9,Bunnpris Ulsteinvik,Bunnpris Valderøy,Bunnpris Valldal,Bunnpris Vatne,Bunnpris Vedde,Bunnpris Volda,Bunnpris Ørsta,"Digernessundet, 6057 Ellingsøy","Langelandsvegen 47, 6010 Ålesund",KIPERVIKGATA 5,PARKGATA 11B,"Ålesund, 6008 Ålesund","Eidsgata 12, 6770 Nordfjordeid","Kongensgate 1, 6002 Ålesund","Dregesvegen 2, 6200 Stranda","Kirkegata 4, 6002 Ålesund",Egon Ålesund,"Skulevegen 1, 6770 Nordfjordeid",Gamle Blindheimsveg 25,Eurospar Hareid,LARSGÅRDSVEGEN 19,Eurospar Moa,Eurospar Sykkylven,Eurospar Valderøy,Eurospar Ørsta,Rasmus Rønnebergs gate 21,"Ålesund, 6002 Ålesund",Felleskjøpet Nordfjordeid,Felleskjøpet Volda,"Langevåg, 6030 Langevåg",SKARBØVIKGATA 26,"Ørskog, 6240 Ørskog","Nordfjordeid, 6770 Nordfjordeid","Nordfjordeid, 6770 Nordfjordeid","Løvenvoldgata 6, 6002 Ålesund",APOTEKERGATA 5,"Gate 1, 6718 Deknepollen","Kyaborga 4, 6150 Ørsta","Sjukehusveien 14, 6770 Nordfjordeid",Hornindal skisenter,"Apotekergata 5, 6004 Ålesund",APOTEKERGATA 1-3,KONGENS GATE 28A,Isehaug kafeteria,Godøya post i butikk,Joker Gursken,"Hellesylt, 6218 Hellesylt",Joker Hjelledalen,Joker Larsnes,Joker Loen,Joker Stadlandet,Joker Stordal,Joker Vatne,Vigra post i butikk,Joker Åheim,KONGENS GATE 11,Kiwi Meieribygget Ørsta,"Volda, 6100 Volda",SUNDGATA 8,Kiwi Skodje,Kiwi Volda,Kiwi Sykkylven,SKARBØVIKGATA 25,NØRVEGATA 23,SPJELKAVIKVEGEN 42,Kiwi Deknepollen,"Eggesbønes, 6008 Ålesund",NEDRE KLOKKERSUNDVEGEN 2,FLISNESVEGEN 1,"Kverve, 6008 Ålesund","Fiskarstrand, 6037 Eidsnes",Kiwi Stranda,Kiwi Stryn,Kiwi Ulsteinvik,"Valderøy, 6050 Valderøya",RASMUS RØNNEBERGS GATE 6,Kiwi Myrvåg,Kiwi Langevåg,NEDRE STRANDGATE 51,LERSTADVEGEN 545,Kiwi Vestnes,Kiwi Nordfjordeid,SMEDGARDEN 1,"Vallekrysset, 6013 Ålesund","Ørsta, 6150 Ørsta","Bryggja, 6720 Bryggja",Meny Fosnavåg,LERSTADVEGEN 291,"HIG, 6010 Ålesund",SKATEFLUKAIA 1B,"Selje, 6740 Selje",KEISER WILHELMS GATE 2,"Valldal, 6210 Valldal","Måløy, 6700 Måløy","Tonningsgata, 6783 Stryn","Innviksvegen, 6793 Innvik","Skateflukaia, 6002 Ålesund",SKANSEKAIA 4A,"Søvika, 6065 Ulsteinvik",Nordfjord hotell,Quality Hotel Ulstein,Quality Hotel Waterfront,KONGENS GATE 6,"Remmemsvik, 6264 Tennfjord","Storgata 16, 6002 Ålesund","Stranda, 6200 Stranda",SOLAVÅGSEIDET 76,Spar Ellingsøy,Spar Fiskåbygd,Spar Fosnavåg,Spar Hornindal,Spar Hovdebygda,Spar Langevåg,Spar Raudeberg,Spjelkavikvegen 61,Spar Straumane,Spar Svingen,Spar Søvik,Spar Tresfjord,Spar Ulsteinvik,Spar Valldal,Spar Vartdal,Spar Volda,Øvre Geilegrend 1,BLINDHEIM INDUSTRIVEG 2D,"Ålesund lufthavn, 6040 Vigra",St1 Ulsteinvik,St1 Ørskog,Storfjord Gastropub,"Strandafjellet, 6200 Stranda","Stryn, 6783 Stryn","Vigra, 6040 Vigra",Sunnmøre Folkehøgskule,KONGENS GATE 32A,"Gate 1 17, 6718 Deknepollen",Tik Café & Restaurant,"Brugata 4, 6390 Vestnes","Vestnes, 6390 Vestnes","Ålesund, 6002 Ålesund",KEISER WILHELMS GATE 39,Zuuma,"Borgundvegen 340, 6009 Ålesund"
Depot,0.0,29168.3,122035.4,122752.0,41264.5,59097.6,36130.5,17026.9,41848.8,41842.4,6099.4,41930.2,108445.3,114473.3,20422.4,18590.2,13863.9,131234.3,128074.7,34757.0,17142.8,5821.4,120627.6,25310.5,111588.8,17032.6,30594.5,26462.2,79245.4,28878.2,11039.5,55656.3,46526.7,20458.1,25241.5,16630.4,16639.6,14474.7,113885.0,17160.1,51813.0,17048.8,16740.1,114343.6,3955.1,20282.5,12787.2,5896.0,18032.3,27795.3,46511.8,16940.9,17202.0,114423.6,52529.3,13555.6,19452.0,34498.5,114256.7,114000.3,17376.0,17139.2,129731.5,46579.2,114072.9,92299.6,17281.7,17155.5,17336.3,111798.4,31621.1,50995.0,74230.4,140582.3,56392.2,122006.3,130325.5,53576.9,31008.9,34802.0,93966.3,17004.4,46216.7,56711.2,16163.4,26535.5,57212.2,18240.1,19482.9,14620.6,5821.5,126741.7,13285.2,11661.5,6114.0,14852.1,11080.7,51456.1,111582.6,30587.9,19628.7,16979.1,39389.3,12912.6,17560.3,7205.7,60388.6,113024.3,10437.2,6201.5,46309.2,149579.9,58125.9,9340.7,5985.6,17108.1,111286.1,17074.8,79601.3,129768.2,111763.4,156731.9,18292.9,17352.6,30718.8,113709.4,31969.7,17255.6,16864.1,73083.1,17028.0,51468.3,3404.7,31332.8,77504.9,56516.5,89113.4,49721.3,13563.6,135387.7,5655.1,33382.6,50025.2,48093.8,62294.8,29516.2,79618.9,26147.4,56426.9,8175.0,3241.1,31133.0,31358.5,34515.1,51445.9,51298.3,111773.0,33070.8,28762.1,17345.4,129739.1,46123.6,61662.1,61286.6,16518.3,16753.3,17036.3,18000.0
Motorhuset AS,29512.7,0.0,101711.8,102428.5,67898.1,85731.1,62764.0,43660.4,68482.3,68475.9,32733.0,68563.7,80137.2,94149.8,9313.2,45223.7,31929.5,102926.2,107751.2,61390.5,43776.3,32454.9,92319.5,51944.0,91265.3,43666.1,2286.5,53095.7,105878.9,55511.7,29105.1,33360.1,33633.7,47091.6,51875.0,43264.0,43273.1,41108.2,93561.5,43793.6,78446.5,43682.3,43373.6,94020.1,30588.7,9251.5,39420.7,32529.6,44665.8,54428.8,33072.1,43574.4,43835.6,94100.1,30233.1,31621.2,46085.5,61132.0,93933.2,93676.8,44009.5,43772.8,101423.4,33224.6,93749.4,71976.1,43915.2,43789.1,43969.8,91474.9,58254.6,22686.9,92342.2,120258.7,28084.1,101682.8,102017.4,80210.4,57642.4,61435.5,65658.3,43637.9,33288.0,34415.0,42796.9,53169.0,34916.0,44873.7,46116.4,41254.1,32455.0,98433.6,39918.7,38295.1,32747.5,41485.6,29146.4,78089.6,91259.1,2279.8,46262.2,43612.7,11081.2,30978.2,44193.8,33839.2,87022.1,92700.7,37070.7,32835.1,33383.7,129256.4,29817.9,35974.2,32619.2,43741.6,82978.0,43708.3,106234.8,101460.1,91439.9,136408.4,44926.5,43986.1,2410.7,93385.9,3661.6,43889.1,43497.6,99716.6,43661.5,78101.9,26064.5,57966.3,49196.8,28208.4,68789.9,31242.9,31629.2,107079.6,32288.6,5074.5,76658.7,74727.3,88928.3,1786.1,106252.5,53337.3,34130.7,34808.5,29874.6,57766.5,3050.4,61148.6,78079.4,77931.8,91449.5,59704.4,1743.7,43978.9,101431.0,33457.2,88295.6,87920.1,43151.8,43386.9,43669.8,44633.5
"Lobyvegen 2, 6789 Loen",122031.1,101786.4,0.0,1804.6,160456.8,96354.3,155282.5,136178.9,161041.0,161034.7,125251.4,161122.5,88488.5,56800.3,110272.3,116697.4,128852.8,111753.7,7127.3,146963.8,136294.8,124973.4,129240.1,109630.0,10988.1,136184.6,100847.3,145614.1,118132.9,148070.5,126028.3,68452.7,76486.9,139650.4,144393.5,135782.4,135791.6,133626.7,56212.0,136312.1,89069.6,136200.8,135892.1,56670.7,123107.1,110210.6,131939.1,125048.0,117132.6,146947.3,75885.0,136092.9,136354.0,56750.6,72845.7,128544.4,138604.0,146705.3,56583.8,56327.3,136528.0,136291.2,110250.8,75956.9,56399.9,40337.7,136433.7,136307.5,136488.3,11142.0,150773.1,109029.1,60703.8,39925.8,114426.3,1058.9,138938.1,108267.4,150201.2,153954.0,103134.7,136156.4,76141.1,67542.6,135315.4,141480.0,67367.2,116968.1,138634.9,133772.6,124973.5,107261.1,132437.2,130813.5,129139.0,134004.1,126069.6,88712.7,10926.1,100840.8,138780.7,136131.1,97423.3,127901.4,136712.3,126357.7,149867.4,56108.2,129589.2,125353.5,75752.1,92663.8,116160.0,128492.7,125137.6,136260.1,119898.6,136226.8,118488.8,110287.5,11107.0,35784.6,137444.9,136504.6,101166.5,56036.4,100798.8,136407.6,136016.1,192275.4,136180.0,88725.0,118583.0,150484.8,121803.1,114550.6,33060.5,74709.5,128552.4,115907.1,124807.1,99271.8,88170.1,167286.1,135258.5,101846.7,118506.5,95915.3,67664.0,127327.0,122393.1,150285.0,101472.5,146721.9,88702.6,89043.8,11172.3,152222.8,102702.8,136497.4,110258.4,75937.7,151140.9,150765.3,135670.3,135905.3,136188.3,137152.0
"Loenvegen 2, 6789 Loen",122748.7,102504.0,1805.6,0.0,161174.4,97071.9,156000.1,136896.4,161758.6,161752.3,125969.0,161840.1,89206.1,57517.9,110989.9,117415.0,129570.4,112471.3,7255.3,147681.4,137012.4,125691.0,129957.7,110347.6,11705.7,136902.1,101564.9,146331.7,118850.5,148788.1,126745.9,69170.3,77204.5,140368.0,145111.1,136500.0,136509.2,134344.3,56929.6,137029.7,89787.2,136918.4,136609.6,57388.3,123824.7,110928.1,132656.7,125765.6,117850.2,147664.9,76602.6,136810.5,137071.6,57468.2,73563.3,129262.0,139321.6,147422.9,57301.4,57044.9,137245.6,137008.8,110968.4,76674.5,57117.5,41055.3,137151.3,137025.1,137205.9,11859.6,151490.7,109746.7,61421.4,40643.4,115143.9,994.6,139655.7,108985.0,150918.8,154671.6,103852.3,136873.9,76858.7,68260.2,136033.0,142197.6,68084.8,117685.7,139352.4,134490.2,125691.1,107978.7,133154.8,131531.1,129856.6,134721.7,126787.2,89430.3,11643.7,101558.3,139498.3,136848.7,98140.9,128619.0,137429.9,127075.3,150584.9,56825.8,130306.8,126071.1,76469.7,93381.4,116877.6,129210.3,125855.2,136977.7,120616.2,136944.4,119206.4,111005.1,11824.6,35912.5,138162.5,137222.2,101884.1,56754.0,101516.4,137125.2,136733.7,192993.0,136897.6,89442.6,119300.6,151202.4,122520.7,115268.2,33778.1,75427.1,129270.0,116624.7,125524.7,99989.4,88887.7,168003.7,135976.1,102564.3,119224.1,96632.9,68381.6,128044.6,123110.7,151002.6,102190.1,147439.4,89420.2,89761.4,11889.9,152940.4,103420.4,137215.0,110976.0,76655.2,151858.4,151482.9,136387.9,136622.9,136905.9,137869.6
"Kongshaug, 6350 Eidsbygda",41192.5,67563.0,160597.5,161314.1,0.0,84765.1,57969.3,46208.5,25808.1,25801.8,35605.3,25889.6,146840.1,152868.0,58817.1,44257.7,52258.6,169629.0,166636.8,33306.1,46324.5,35794.5,159022.3,50977.9,150150.9,46214.2,68989.3,48301.0,77794.6,12647.4,49434.2,94051.0,84921.4,21457.5,35772.5,45812.1,45821.2,43200.7,152279.7,46341.8,77480.4,46230.5,45921.7,152738.4,39059.2,58677.3,41513.2,35785.7,43699.8,49634.2,84906.5,46122.6,46383.7,152818.3,90924.0,51950.3,48633.7,33047.7,152651.5,152395.0,46557.7,46320.9,168126.2,84973.9,152467.6,125701.3,46463.4,46337.2,46518.0,150360.5,53460.0,89389.7,99897.8,147826.5,94786.9,160568.4,168720.2,52126.1,10649.8,56640.8,132361.1,46186.0,84611.4,95105.9,45345.0,23217.7,95606.9,43907.6,48664.5,43346.7,35571.9,165136.4,42011.2,40796.7,41218.0,43578.2,49475.4,77123.6,150144.7,68982.7,48810.4,46160.8,77784.0,51307.3,46741.9,34504.5,25657.3,151419.0,40211.0,35388.8,84703.9,187974.6,96520.7,38475.8,36476.2,46289.8,149680.8,46256.5,78150.5,168162.9,150325.6,195294.1,47474.6,46534.3,69113.6,152104.1,70364.4,46437.2,46045.7,57042.5,46209.7,77135.8,41799.5,29421.5,115899.6,94911.2,127675.6,88116.0,51958.3,173782.4,35678.2,71777.3,75692.7,32053.2,37781.1,67910.9,78168.1,64542.2,94821.6,37861.8,39558.5,52971.9,69753.2,33064.2,77113.4,76965.7,150335.1,54909.7,67156.8,46527.0,168133.8,84518.3,24570.9,25408.7,45699.9,45935.0,46217.9,47181.7
"Tafjord, 6214 Norddal",59359.5,85730.0,96350.2,97066.8,84601.3,0.0,89008.5,69904.9,85185.5,85179.1,58977.5,85266.9,131479.8,99791.6,76984.1,40841.9,70425.6,154745.0,102389.5,47443.7,70020.9,58699.5,172231.4,33774.4,85903.6,69910.6,87156.2,79340.2,27444.8,72214.9,67601.1,94688.4,102722.6,63794.8,78119.6,69508.5,69517.7,67352.7,99203.3,70038.2,9232.0,69926.9,69618.1,99662.0,55507.9,76844.2,65665.2,58774.1,41277.1,80673.4,102120.7,69819.0,70080.1,99741.9,99081.4,70117.3,72330.1,47671.7,99575.1,99318.6,70254.1,70017.3,153242.1,102192.6,99391.2,61454.0,70159.8,70033.6,70214.4,86113.2,84499.2,135264.8,35650.5,114897.1,140662.0,96321.1,181929.4,28429.8,74345.6,87680.0,146126.1,69882.4,102376.8,93778.3,69041.4,65624.4,93602.9,41112.5,72360.9,67498.7,58699.6,150252.4,66163.2,64539.6,53283.4,67730.2,67642.4,8875.2,85897.4,87149.6,72506.8,69857.2,123659.1,69474.3,70438.3,60083.8,70029.8,99099.5,63315.3,59079.6,101987.8,135655.1,142395.7,62218.8,58863.7,69986.2,162889.9,69952.9,27800.7,153278.9,86078.2,131046.7,71171.0,70230.7,87280.5,99027.7,88531.4,70133.7,69742.2,116419.8,69906.1,8887.4,59966.4,80791.5,144882.0,140786.3,63428.2,100945.2,70125.2,158898.4,58533.2,89944.3,9727.1,91430.5,55420.9,86077.9,27818.3,72036.7,93899.7,61053.1,55975.3,84011.1,87920.2,47514.5,8865.0,9412.0,86087.8,85948.9,85323.8,70223.5,153249.8,102173.3,71303.3,70927.7,69396.3,69631.4,69914.4,70878.1
Alnes Fyr og opplevelsessenter,36168.3,62538.8,155405.8,156122.5,57913.1,89177.4,0.0,21910.9,58497.3,58491.0,30271.5,58578.8,141815.8,147843.8,53792.9,48670.0,47234.4,164604.8,161445.2,58645.7,22026.9,31471.9,153998.1,55390.2,144959.3,21916.6,63965.0,14250.4,103134.2,45526.8,44409.9,89026.8,79897.2,44346.9,22677.7,21514.5,21523.6,22047.4,147255.5,22044.2,81892.8,21932.9,21624.1,147714.1,34034.9,53653.0,24401.4,30571.6,48112.1,15583.6,79882.3,21825.0,22086.1,147794.1,85899.8,46926.1,24336.1,58387.2,147627.2,147370.8,22260.1,22023.3,163102.0,79949.7,147443.4,130113.6,22165.8,22039.6,22220.4,145168.9,4895.0,84365.5,104310.2,173166.1,89762.7,155376.7,163696.0,77465.7,47657.4,22916.0,127336.8,21888.4,79587.2,90081.7,21047.4,47877.3,90582.7,48319.9,24366.9,22388.4,31249.3,160112.2,24899.4,24823.2,36193.8,22221.6,44451.2,81535.9,144953.1,63958.4,24512.8,21863.2,72759.8,46283.1,22444.3,30546.5,84277.4,146394.8,26464.3,30364.5,79679.7,182950.4,91496.4,27248.0,30310.1,21992.2,144656.6,21958.9,103490.1,163138.7,145133.9,190102.4,23177.0,22236.7,64089.3,147079.9,65340.2,22139.6,21748.1,89731.7,21912.1,81548.1,36775.2,28769.0,110875.4,89887.0,122483.9,83091.7,46934.0,168758.2,31557.4,66753.1,80105.0,64742.4,86183.6,62886.7,103507.7,59517.9,89797.4,28627.5,34534.2,19247.0,64729.0,58403.8,81525.7,81378.1,145143.5,21184.9,62132.6,22229.4,163109.6,79494.1,85550.9,85175.4,21402.3,21637.4,21920.3,22884.1
Anno,17013.8,43384.2,136251.3,136967.9,46296.2,70022.9,21949.8,0.0,46880.4,46874.1,11117.0,46961.9,122661.3,128689.3,34638.4,29515.4,28079.8,145450.3,142290.6,39491.2,652.6,12317.4,134843.5,36235.7,125804.7,118.6,44810.5,12281.5,83979.6,33909.9,25255.4,69872.3,60742.7,25192.4,11060.8,711.9,891.7,2892.9,128100.9,133.3,62738.2,558.6,541.6,128559.6,14880.4,34498.5,5246.8,11417.0,28957.6,13614.6,60727.7,628.0,175.2,128639.5,66745.3,27771.5,2456.4,39232.7,128472.7,128216.2,349.2,112.4,143947.4,60795.2,128288.9,110959.1,254.9,128.7,846.1,126014.4,17440.4,65210.9,85155.6,154011.6,70608.2,136222.2,144541.5,58311.2,36040.5,20621.3,108182.3,514.1,60432.7,70927.1,943.9,31269.8,71428.1,29165.4,2487.3,3233.9,12094.8,140957.7,5744.8,5668.7,17039.3,3067.1,25296.7,62381.3,125798.5,44803.9,2633.1,201.6,53605.2,27128.5,646.3,11391.9,65122.9,127240.2,7309.7,11210.0,60525.1,163795.8,72341.9,8093.4,11155.6,617.9,125502.0,360.3,84335.5,143984.1,125979.4,170947.9,932.6,862.4,44934.8,127925.3,46185.7,341.6,701.2,78114.8,865.1,62393.6,17620.7,17152.1,91720.9,70732.5,103329.4,63937.2,27779.5,149603.6,12402.9,47598.6,60950.5,53125.5,67029.1,43732.2,84353.2,40363.4,70642.9,9473.0,15379.7,16952.3,45574.4,39249.3,62371.2,62223.5,125988.9,18890.1,42978.0,855.2,143955.0,60339.5,66396.3,66020.8,559.4,667.6,546.0,1086.0
"Brattvåg, 6270 Brattvåg",41742.4,68112.9,161147.4,161864.0,25806.6,85315.0,58519.2,46758.4,0.0,47.4,36155.2,135.2,147389.9,153417.9,59367.0,44807.6,52808.5,170178.9,167186.7,33856.0,46874.4,36344.4,159572.2,51527.8,150700.8,46764.1,69539.2,48850.9,78344.5,13420.3,49984.1,94600.9,85471.3,22007.4,36322.4,46362.0,46371.1,43750.6,152829.6,46891.7,78030.3,46780.4,46471.6,153288.3,39609.1,59227.2,42063.1,36335.6,44249.7,50184.1,85456.4,46672.5,46933.6,153368.2,91473.9,52500.2,49183.6,33597.5,153201.4,152944.9,47107.6,46870.8,168676.1,85523.8,153017.5,126251.2,47013.3,46887.1,47067.9,150910.4,54009.9,89939.6,100447.7,148376.4,95336.8,161118.3,169270.1,52676.0,15550.9,57190.7,132911.0,46735.9,85161.3,95655.8,45894.9,23767.6,96156.8,44457.5,49214.4,43896.6,36121.8,165686.4,42561.1,41346.6,41767.9,44128.1,50025.3,77673.5,150694.6,69532.6,49360.3,46710.7,78333.9,51857.2,47291.8,35054.4,51463.9,151968.9,40760.9,35938.7,85253.8,188524.5,97070.6,39025.7,37026.1,46839.7,150230.7,46806.4,78700.4,168712.8,150875.5,195844.0,48024.5,47084.2,69663.4,152654.0,70914.3,46987.1,46595.6,32404.3,46759.6,77685.7,42349.4,29971.4,116449.5,95461.1,128225.5,88665.9,52508.2,174332.3,36228.1,72327.2,76242.6,16343.1,61393.9,68460.8,78718.0,65092.1,95371.6,38411.7,40108.4,53521.8,70303.1,33614.1,77663.3,77515.6,150885.0,55459.6,67706.7,47076.9,168683.7,85068.2,50377.5,51215.3,46249.8,46484.9,46767.8,47731.6
Brattvåg Fjordhotell,41736.1,68106.6,161141.0,161857.7,25800.3,85308.6,58512.9,46752.0,47.4,0.0,36148.9,87.8,147383.6,153411.6,59360.7,44801.2,52802.2,170172.6,167180.4,33849.7,46868.0,36338.0,159565.8,51521.5,150694.4,46757.8,69532.8,48844.6,78338.1,13413.9,49977.7,94594.6,85465.0,22001.1,36316.0,46355.6,46364.8,43744.3,152823.2,46885.3,78024.0,46774.0,46465.3,153281.9,39602.7,59220.8,42056.8,36329.2,44243.3,50177.8,85450.1,46666.1,46927.2,153361.8,91467.6,52493.8,49177.2,33591.2,153195.0,152938.5,47101.2,46864.4,168669.8,85517.5,153011.2,126244.9,47006.9,46880.7,47061.5,150904.1,54003.6,89933.3,100441.4,148370.1,95330.5,161111.9,169263.8,52669.7,15544.6,57184.4,132904.6,46729.5,85155.0,95649.5,45888.6,23761.3,96150.4,44451.2,49208.1,43890.2,36115.4,165680.0,42554.8,41340.2,41761.6,44121.7,50019.0,77667.1,150688.3,69526.2,49353.9,46704.3,78327.5,51850.9,47285.5,35048.1,51457.6,151962.5,40754.5,35932.3,85247.4,188518.1,97064.2,39019.4,37019.8,46833.3,150224.4,46800.0,78694.0,168706.4,150869.1,195837.6,48018.1,47077.8,69657.1,152647.6,70908.0,46980.8,46589.3,32356.8,46753.2,77679.4,42343.0,29965.0,116443.2,95454.8,128219.1,88659.5,52501.8,174326.0,36221.8,72320.9,76236.2,16295.7,61387.6,68454.5,78711.7,65085.7,95365.2,38405.3,40102.0,53515.4,70296.8,33607.8,77657.0,77509.3,150878.7,55453.3,67700.3,47070.6,168677.4,85061.8,50371.2,51208.9,46243.5,46478.5,46761.5,47725.2
