,Depot,Motorhuset AS,"Lobyvegen 2, 6789 Loen","Loenvegen 2, 6789 Loen","Kongshaug, 6350 Eidsbygda","Tafjord, 6214 Norddal",Alnes Fyr og opplevelsessenter,Anno,"Brattvåg, 6270 Brattvåg",Brattvåg Fjordhotell,AMFI MOA - BRO - NORD - SYD,Bunnpris Brattvåg,Bunnpris Bryggja,Bunnpris Eid,Bunnpris Hareid,"Ikornes, 6222 Ikornnes",Bunnpris Langevåg,Bunnpris Oldeide,Bunnpris Olden,Bunnpris Sjøholt,SKAREGATA 1,Bunnpris Spjelkavik,Bunnpris Stad,Bunnpris Straumgjerde,Bunnpris Stryn,NEDRE STRANDGATE 9,Bunnpris Ulsteinvik,Bunnpris Valderøy,Bunnpris Valldal,Bunnpris Vatne,Bunnpris Vedde,Bunnpris Volda,Bunnpris Ørsta,"Digernessundet, 6057 Ellingsøy","Langelandsvegen 47, 6010 Ålesund",KIPERVIKGATA 5,PARKGATA 11B,"Ålesund, 6008 Ålesund","Eidsgata 12, 6770 Nordfjordeid","Kongensgate 1, 6002 Ålesund","Dregesvegen 2, 6200 Stranda","Kirkegata 4, 6002 Ålesund",Egon Ålesund,"Skulevegen 1, 6770 Nordfjordeid",Gamle Blindheimsveg 25,Eurospar Hareid,LARSGÅRDSVEGEN 19,Eurospar Moa,Eurospar Sykkylven,Eurospar Valderøy,Eurospar Ørsta,Rasmus Rønnebergs gate 21,"Ålesund, 6002 Ålesund",Felleskjøpet Nordfjordeid,Felleskjøpet Volda,"Langevåg, 6030 Langevåg",SKARBØVIKGATA 26,"Ørskog, 6240 Ørskog","Nordfjordeid, 6770 Nordfjordeid","Nordfjordeid, 6770 Nordfjordeid","Løvenvoldgata 6, 6002 Ålesund",APOTEKERGATA 5,"Gate 1, 6718 Deknepollen","Kyaborga 4, 6150 Ørsta","Sjukehusveien 14, 6770 Nordfjordeid",Hornindal skisenter,"Apotekergata 5, 6004 Ålesund",APOTEKERGATA 1-3,KONGENS GATE 28A,Isehaug kafeteria,Godøya post i butikk,Joker Gursken,"Hellesylt, 6218 Hellesylt",Joker Hjelledalen,Joker Larsnes,Joker Loen,Joker Stadlandet,Joker Stordal,Joker Vatne,Vigra post i butikk,Joker Åheim,KONGENS GATE 11,Kiwi Meieribygget Ørsta,"Volda, 6100 Volda",SUNDGATA 8,Kiwi Skodje,Kiwi Volda,Kiwi Sykkylven,SKARBØVIKGATA 25,NØRVEGATA 23,SPJELKAVIKVEGEN 42,Kiwi Deknepollen,"Eggesbønes, 6008 Ålesund",NEDRE KLOKKERSUNDVEGEN 2,FLISNESVEGEN 1,"Kverve, 6008 Ålesund","Fiskarstrand, 6037 Eidsnes",Kiwi Stranda,Kiwi Stryn,Kiwi Ulsteinvik,"Valderøy, 6050 Valderøya",RASMUS RØNNEBERGS GATE 6,Kiwi Myrvåg,Kiwi Langevåg,NEDRE STRANDGATE 51,LERSTADVEGEN 545,Kiwi Vestnes,Kiwi Nordfjordeid,SMEDGARDEN 1,"Vallekrysset, 6013 Ålesund","Ørsta, 6150 Ørsta","Bryggja, 6720 Bryggja",Meny Fosnavåg,LERSTADVEGEN 291,"HIG, 6010 Ålesund",SKATEFLUKAIA 1B,"Selje, 6740 Selje",KEISER WILHELMS GATE 2,"Valldal, 6210 Valldal","Måløy, 6700 Måløy","Tonningsgata, 6783 Stryn","Innviksvegen, 6793 Innvik","Skateflukaia, 6002 Ålesund",SKANSEKAIA 4A,"Søvika, 6065 Ulsteinvik",Nordfjord hotell,Quality Hotel Ulstein,Quality Hotel Waterfront,KONGENS GATE 6,"Remmemsvik, 6264 Tennfjord","Storgata 16, 6002 Ålesund","Stranda, 6200 Stranda",SOLAVÅGSEIDET 76,Spar Ellingsøy,Spar Fiskåbygd,Spar Fosnavåg,Spar Hornindal,Spar Hovdebygda,Spar Langevåg,Spar Raudeberg,Spjelkavikvegen 61,Spar Straumane,Spar Svingen,Spar Søvik,Spar Tresfjord,Spar Ulsteinvik,Spar Valldal,Spar Vartdal,Spar Volda,Øvre Geilegrend 1,BLINDHEIM INDUSTRIVEG 2D,"Ålesund lufthavn, 6040 Vigra",St1 Ulsteinvik,St1 Ørskog,Storfjord Gastropub,"Strandafjellet, 6200 Stranda","Stryn, 6783 Stryn","Vigra, 6040 Vigra",Sunnmøre Folkehøgskule,KONGENS GATE 32A,"Gate 1 17, 6718 Deknepollen",Tik Café & Restaurant,"Brugata 4, 6390 Vestnes","Vestnes, 6390 Vestnes","Ålesund, 6002 Ålesund",KEISER WILHELMS GATE 39,Zuuma,"Borgundvegen 340, 6009 Ålesund"
Depot,0.0,3040.4,8730.0,8766.2,2699.4,4900.8,2510.7,1303.3,2627.4,2625.3,528.4,2637.9,9661.4,8166.8,2432.1,2006.3,1196.3,11116.0,9094.6,2250.5,1306.5,537.4,10407.6,2444.4,7965.7,1310.0,3154.6,1874.8,5060.1,1836.8,946.8,4602.4,3991.4,1365.5,1842.2,1256.7,1276.5,1106.2,8065.0,1315.4,4125.6,1308.4,1270.2,8134.7,418.0,2422.0,1033.6,525.8,1939.3,2065.4,3944.5,1297.0,1330.2,8149.8,4418.0,1171.6,1521.8,2226.6,8136.9,8087.9,1334.7,1313.6,10992.2,3969.2,8107.9,7107.2,1334.4,1315.0,1329.1,8004.3,2126.1,4400.8,5430.5,9701.6,4736.1,8634.5,10959.1,3491.3,2027.6,2362.4,8783.3,1293.0,3913.0,4736.6,1211.6,1751.3,4761.9,1974.5,1534.0,1132.8,514.7,10764.0,1109.2,1065.9,534.5,1177.6,956.6,4073.8,7963.7,3153.9,1588.4,1296.5,3697.2,1112.3,1352.5,618.7,3715.0,8059.9,1006.7,537.6,3919.9,10909.8,4970.2,853.5,541.1,1308.4,9826.4,1332.3,5088.0,10997.4,7988.4,11519.9,1427.5,1340.2,3176.1,8072.5,3224.6,1324.9,1286.9,4697.6,1299.1,4076.2,331.7,2140.8,7784.2,4808.0,6637.3,4198.9,1173.5,11398.3,489.2,3295.4,3930.2,2931.4,4001.7,3089.1,5092.3,2683.9,4701.2,737.6,421.6,2076.7,3244.3,2235.2,4072.9,4111.9,7983.2,2259.1,3001.9,1330.4,10993.3,3901.6,3784.1,3824.3,1270.7,1269.1,1295.9,1398.2
Motorhuset AS,3081.8,0.0,6283.2,6319.4,5365.9,7567.3,5177.2,3969.8,5293.9,5291.8,3194.9,5304.4,6760.9,5720.0,683.9,4672.8,3340.6,8215.5,6647.8,4917.0,3973.0,3203.9,7507.1,5110.9,5518.9,3976.5,254.1,4541.3,7726.6,4503.3,3091.1,2092.2,2212.1,4032.0,4508.7,3923.2,3943.0,3772.7,5618.2,3981.9,6792.1,3974.9,3936.7,5687.9,3084.5,680.7,3700.1,3192.3,4605.8,4731.9,2125.1,3963.5,3996.7,5703.0,1907.8,3315.9,4188.3,4893.1,5690.1,5641.1,4001.2,3980.1,8091.7,2156.0,5661.1,4660.4,4000.9,3981.5,3995.6,5557.5,4792.6,1500.3,5574.4,7254.8,1835.6,6187.7,8058.6,6157.8,4694.1,5028.9,5882.8,3959.5,2132.3,2226.4,3878.1,4417.8,2251.7,4641.0,4200.5,3799.3,3181.2,7863.5,3775.7,3732.4,3201.0,3844.1,3100.9,6740.3,5516.9,253.4,4254.9,3963.0,796.7,3256.6,4019.0,3285.2,6381.5,5613.1,3673.2,3204.1,2140.7,8463.0,2069.7,3520.0,3207.6,3974.9,6925.9,3998.8,7754.5,8096.9,5541.6,9073.1,4094.0,4006.7,275.6,5625.7,324.1,3991.4,3953.4,7364.1,3965.6,6742.7,2744.4,4807.3,4883.7,1907.5,4190.5,1927.6,3317.8,8497.8,3155.7,394.9,6596.7,5597.9,6668.2,211.1,7758.8,3365.2,2191.0,3404.1,3088.1,4743.2,343.8,4901.7,6739.4,6778.4,5536.4,4925.6,186.1,3996.9,8092.8,2143.4,6450.6,6490.8,3937.2,3935.6,3962.4,4064.7
"Lobyvegen 2, 6789 Loen",8707.3,6266.6,0.0,315.4,10841.1,6373.6,10802.7,9595.3,10769.1,10767.0,8820.4,10779.6,5421.5,3541.5,6817.6,7344.2,9227.1,6923.5,643.8,9994.3,9598.5,8829.4,7892.4,6829.1,821.5,9602.0,6212.8,10166.8,7831.9,9978.5,8977.6,4204.5,4923.1,9507.2,10134.2,9548.7,9568.5,9398.2,3439.7,9607.4,5598.4,9600.4,9562.2,3509.4,8710.0,6814.4,9325.6,8817.8,7352.2,10357.4,4814.1,9589.0,9622.2,3524.5,4608.1,9202.4,9813.8,9970.4,3511.6,3462.6,9626.7,9605.6,6799.7,4837.3,3482.6,2912.9,9626.4,9607.0,9621.1,852.8,10418.1,6672.7,3826.9,2550.1,7008.0,183.7,8443.9,8717.9,10169.3,10654.4,6321.4,9585.0,4843.3,4129.8,9503.6,9635.5,4128.7,7362.4,9826.0,9424.8,8806.7,6571.5,9401.2,9357.9,8808.9,9469.6,8987.4,5546.6,812.2,6212.1,9880.4,9588.5,5969.1,9143.1,9644.5,8910.7,11256.6,3491.3,9298.7,8829.6,4800.1,6341.2,7242.1,9145.5,8833.1,9600.4,7311.2,9624.3,7859.8,6804.9,836.9,3069.1,9719.5,9632.2,6230.2,3447.2,6205.1,9616.9,9578.9,12839.3,9591.1,5549.0,8369.9,10432.8,7534.8,7079.9,2127.1,4679.3,9204.3,7205.8,8781.2,6079.9,5503.6,11073.1,11275.8,6288.2,7864.1,6049.2,4145.5,9029.6,8713.6,10368.7,6261.1,9979.0,5545.7,5635.0,839.0,10551.1,6319.8,9622.4,6800.8,4817.9,11325.7,11365.9,9562.7,9561.1,9587.9,9690.2
"Loenvegen 2, 6789 Loen",8753.1,6312.4,318.9,0.0,10886.9,6419.4,10848.5,9641.1,10814.9,10812.8,8866.2,10825.4,5467.3,3587.3,6863.4,7390.0,9272.9,6969.3,638.3,10040.1,9644.3,8875.2,7938.2,6874.9,867.3,9647.8,6258.6,10212.6,7877.7,10024.3,9023.4,4250.3,4968.9,9553.0,10180.0,9594.5,9614.3,9444.0,3485.5,9653.2,5644.2,9646.2,9608.0,3555.2,8755.8,6860.2,9371.4,8863.6,7398.0,10403.2,4859.9,9634.8,9668.0,3570.3,4653.9,9248.2,9859.6,10016.2,3557.4,3508.4,9672.5,9651.4,6845.5,4883.1,3528.4,2958.7,9672.2,9652.8,9666.9,898.6,10463.9,6718.5,3872.7,2595.9,7053.8,170.5,8489.7,8763.7,10215.1,10700.2,6367.2,9630.8,4889.1,4175.6,9549.4,9681.3,4174.5,7408.2,9871.8,9470.6,8852.5,6617.3,9447.0,9403.7,8854.7,9515.4,9033.2,5592.4,858.0,6257.9,9926.2,9634.3,6014.9,9188.9,9690.3,8956.5,11302.4,3537.1,9344.5,8875.4,4845.9,6387.0,7287.9,9191.3,8878.9,9646.2,7357.0,9670.1,7905.6,6850.7,882.7,3063.6,9765.3,9678.0,6276.0,3493.0,6250.9,9662.7,9624.7,12885.1,9636.9,5594.8,8415.7,10478.6,7580.6,7125.7,2172.9,4725.1,9250.1,7251.6,8827.0,6125.7,5549.4,11118.9,11321.6,6334.0,7909.9,6095.0,4191.3,9075.4,8759.4,10414.5,6306.9,10024.8,5591.5,5680.8,884.8,10596.9,6365.6,9668.2,6846.6,4863.7,11371.5,11411.7,9608.5,9606.9,9633.7,9736.0
"Kongshaug, 6350 Eidsbygda",2706.6,5336.8,10866.7,10902.9,0.0,6494.1,3719.3,2946.1,1737.9,1735.8,2246.1,1748.4,11957.8,10463.2,4728.5,3599.6,3492.7,13412.4,11231.3,2357.1,2949.3,2315.3,12704.0,4037.7,10102.4,2952.8,5451.0,3083.4,5166.7,941.1,3243.2,6898.8,6287.8,1482.1,2326.3,2899.5,2919.3,2781.5,10361.4,2958.2,5718.9,2951.2,2913.0,10431.1,2499.9,4718.4,2708.9,2277.8,3532.6,3274.0,6240.9,2939.8,2973.0,10446.2,6714.4,3468.0,3164.6,2333.2,10433.3,10384.3,2977.5,2956.4,13288.6,6265.6,10404.3,8877.5,2977.2,2957.8,2971.9,10141.0,3334.7,6697.2,7023.8,9929.8,7032.5,10771.2,13255.5,3597.9,754.7,3571.0,11079.7,2935.8,6209.4,7033.0,2854.4,1620.2,7058.3,3567.8,3176.8,2808.1,2276.6,13060.4,2784.5,2745.6,2616.4,2852.9,3253.0,5667.1,10100.4,5450.3,3231.2,2939.3,5993.6,3408.7,2995.3,2183.7,1761.9,10356.3,2739.4,2226.6,6216.3,13206.2,7266.6,2533.2,2341.8,2951.2,12122.8,2975.1,5194.6,13293.8,10125.1,13656.6,3070.3,2983.0,5472.5,10368.9,5521.0,2967.7,2929.7,3808.1,2941.9,5669.5,2628.1,1892.9,10080.6,7104.4,8774.0,6495.3,3469.9,13694.7,2277.9,5591.8,5523.5,2041.9,2620.9,5385.5,5198.9,4980.3,6997.6,2471.8,2586.7,3285.3,5540.7,2341.8,5666.2,5705.2,10119.9,3467.7,5298.3,2973.2,13289.7,6198.0,1685.4,1793.4,2913.5,2911.9,2938.7,3041.0
"Tafjord, 6214 Norddal",4915.8,7546.0,6390.7,6426.9,6472.4,0.0,6780.7,5573.3,6400.4,6398.3,4798.4,6410.9,8356.3,6476.3,6937.7,2975.5,5701.9,9858.3,6755.3,5442.4,5576.5,4807.4,10827.2,2460.4,5626.4,5580.0,7660.2,6144.8,4012.6,5609.8,5452.4,6045.8,6764.4,5138.5,6112.2,5526.7,5546.5,5376.2,6374.5,5585.4,1028.4,5578.4,5540.2,6444.2,4594.3,6927.6,5303.6,4795.8,2983.5,6335.4,6655.4,5567.0,5600.2,6459.3,6449.4,5677.2,5791.8,5461.0,6446.4,6397.4,5604.7,5583.6,9734.5,6678.6,6417.4,4401.5,5604.4,5585.0,5599.1,5665.0,6396.1,8514.0,2547.8,7362.3,8849.3,6295.2,11378.7,4147.9,5800.6,6632.4,9256.2,5563.0,6684.6,5971.1,5481.6,5266.8,5970.0,2993.7,5804.0,5402.8,4784.7,9506.3,5379.2,5335.9,4440.2,5447.6,5462.2,976.6,5624.4,7659.5,5858.4,5566.5,7810.4,5617.9,5622.5,4888.7,6686.6,6426.1,5276.7,4807.6,6641.4,9276.0,9083.4,5123.5,4811.1,5578.4,10246.0,5602.3,4040.5,9739.7,5649.1,9180.6,5697.5,5610.2,7681.7,6382.0,7730.2,5594.9,5556.9,8470.6,5569.1,979.0,4837.3,6083.9,10246.9,8921.2,4298.0,6520.6,5679.1,10140.6,4759.2,7801.0,1098.0,6704.4,6705.8,7594.7,4044.8,5814.7,5986.8,5007.6,4663.2,6346.7,7749.9,5449.8,975.7,1066.5,5643.9,6529.1,7507.5,5600.4,9735.6,6659.2,6755.7,6795.9,5540.7,5539.1,5565.9,5668.2
Alnes Fyr og opplevelsessenter,2521.4,5151.6,10841.2,10877.4,3713.9,6797.5,0.0,1490.3,3641.9,3639.8,2034.7,3652.4,11772.6,10278.0,4543.3,3903.0,3307.5,13227.2,11205.8,3752.8,1493.5,2167.6,12518.8,4341.1,10076.9,1497.0,5265.8,1072.4,6562.4,2851.3,3058.0,6713.6,6102.6,2867.8,1589.6,1443.7,1463.5,1450.1,10176.2,1502.4,6022.3,1495.4,1457.2,10245.9,2314.7,4533.2,1611.1,2080.5,3836.0,1263.0,6055.7,1484.0,1517.2,10261.0,6529.2,3282.8,1708.8,3728.9,10248.1,10199.1,1521.7,1500.6,13103.4,6080.4,10219.1,9180.9,1521.4,1502.0,1516.1,10115.5,441.8,6512.0,7327.2,11325.5,6847.3,10745.7,13070.3,4993.6,3042.1,1589.1,10894.5,1480.0,6024.2,6847.8,1398.6,3041.1,6873.1,3871.2,1721.0,1493.9,2128.9,12875.2,1686.7,1649.8,2431.2,1502.6,3067.8,5970.5,10074.9,5265.1,1775.4,1483.5,5808.4,3223.5,1539.5,2075.5,5217.3,10171.1,1821.2,2041.4,6031.1,13021.0,7081.4,1780.4,2047.0,1495.4,11937.6,1519.3,6590.3,13108.6,10099.6,13631.1,1614.5,1527.2,5287.3,10183.7,5335.8,1511.9,1473.9,5712.1,1486.1,5972.9,2442.9,1888.2,9895.4,6919.2,8748.5,6310.1,3284.7,13509.5,2120.8,5406.6,5826.9,3945.9,5504.0,5200.3,6594.6,4795.1,6812.4,1900.8,2401.5,1303.4,5355.5,3737.5,5969.6,6008.6,10094.4,1485.8,5113.1,1517.4,13104.5,6012.8,5286.4,5326.6,1457.7,1456.1,1482.9,1585.2
Anno,1304.9,3935.1,9624.7,9660.9,2951.4,5581.0,1495.6,0.0,2879.4,2877.3,818.2,2889.9,10556.1,9061.5,3326.8,2686.5,2091.0,12010.7,9989.3,2536.3,79.5,951.1,11302.3,3124.6,8860.4,19.2,4049.3,859.7,5345.9,2088.8,1841.5,5497.1,4886.1,1651.3,827.1,82.8,96.4,233.6,8959.7,12.1,4805.8,81.4,64.9,9029.4,1098.2,3316.7,394.6,864.0,2619.5,1050.3,4839.2,80.3,26.9,9044.5,5312.7,2066.3,226.9,2512.4,9031.6,8982.6,31.4,10.3,11886.9,4863.9,9002.6,7964.4,31.1,11.7,102.1,8899.0,1111.0,5295.5,6110.7,10109.0,5630.8,9529.2,11853.8,3777.1,2279.6,1347.3,9678.0,66.0,4807.7,5631.3,112.0,2037.1,5656.6,2654.7,239.1,277.4,912.4,11658.7,470.2,433.3,1214.7,286.1,1851.3,4754.0,8858.4,4048.6,293.5,30.6,4591.9,2007.0,61.7,859.0,4000.8,8954.6,604.7,824.9,4814.6,11804.5,5864.9,563.9,830.5,81.4,10721.1,69.9,5373.8,11892.1,8883.1,12414.6,126.9,113.2,4070.8,8967.2,4119.3,34.1,91.3,4949.6,103.5,4756.4,1226.4,1125.7,8678.9,5702.7,7532.0,5093.6,2068.2,12293.0,904.3,4190.1,4610.4,3183.4,4287.5,3983.8,5378.1,3578.6,5595.9,684.3,1185.0,1061.6,4139.0,2521.0,4753.1,4792.1,8877.9,1244.0,3896.6,103.4,11888.0,4796.3,4069.9,4110.1,64.5,84.2,68.9,107.4
"Brattvåg, 6270 Brattvåg",2622.5,5252.7,10782.6,10818.8,1739.3,6410.0,3635.2,2862.0,0.0,6.8,2162.0,19.4,11873.7,10379.1,4644.4,3515.5,3408.6,13328.3,11147.2,2273.0,2865.2,2231.2,12619.9,3953.6,10018.3,2868.7,5366.9,2999.3,5082.6,876.7,3159.1,6814.7,6203.7,1398.0,2242.2,2815.4,2835.2,2697.4,10277.3,2874.1,5634.8,2867.1,2828.9,10347.0,2415.8,4634.3,2624.8,2193.7,3448.5,3189.9,6156.8,2855.7,2888.9,10362.1,6630.3,3383.9,3080.5,2249.1,10349.2,10300.2,2893.4,2872.3,13204.5,6181.5,10320.2,8793.4,2893.1,2873.7,2887.8,10056.9,3250.6,6613.1,6939.7,9845.7,6948.4,10687.1,13171.4,3513.8,1067.5,3486.9,10995.6,2851.7,6125.3,6948.9,2770.3,1536.1,6974.2,3483.7,3092.7,2724.0,2192.5,12976.3,2700.4,2661.5,2532.3,2768.8,3168.9,5583.0,10016.3,5366.2,3147.1,2855.2,5909.5,3324.6,2911.2,2099.6,3501.2,10272.2,2655.3,2142.5,6132.2,13122.1,7182.5,2449.1,2257.7,2867.1,12038.7,2891.0,5110.5,13209.7,10041.0,13572.5,2986.2,2898.9,5388.4,10284.8,5436.9,2883.6,2845.6,2373.7,2857.8,5585.4,2544.0,1808.8,9996.5,7020.3,8689.9,6411.2,3385.8,13610.6,2193.8,5507.7,5439.4,1196.1,4024.2,5301.4,5114.8,4896.2,6913.5,2387.7,2502.6,3201.2,5456.6,2257.7,5582.1,5621.1,10035.8,3383.6,5214.2,2889.1,13205.6,6113.9,3424.7,3532.7,2829.4,2827.8,2854.6,2956.9
Brattvåg Fjordhotell,2615.5,5245.7,10775.6,10811.8,1732.3,6403.0,3628.2,2855.0,6.8,0.0,2155.0,12.6,11866.7,10372.1,4637.4,3508.5,3401.6,13321.3,11140.2,2266.0,2858.2,2224.2,12612.9,3946.6,10011.3,2861.7,5359.9,2992.3,5075.6,869.7,3152.1,6807.7,6196.7,1391.0,2235.2,2808.4,2828.2,2690.4,10270.3,2867.1,5627.8,2860.1,2821.9,10340.0,2408.8,4627.3,2617.8,2186.7,3441.5,3182.9,6149.8,2848.7,2881.9,10355.1,6623.3,3376.9,3073.5,2242.1,10342.2,10293.2,2886.4,2865.3,13197.5,6174.5,10313.2,8786.4,2886.1,2866.7,2880.8,10049.9,3243.6,6606.1,6932.7,9838.7,6941.4,10680.1,13164.4,3506.8,1060.5,3479.9,10988.6,2844.7,6118.3,6941.9,2763.3,1529.1,6967.2,3476.7,3085.7,2717.0,2185.5,12969.3,2693.4,2654.5,2525.3,2761.8,3161.9,5576.0,10009.3,5359.2,3140.1,2848.2,5902.5,3317.6,2904.2,2092.6,3494.2,10265.2,2648.3,2135.5,6125.2,13115.1,7175.5,2442.1,2250.7,2860.1,12031.7,2884.0,5103.5,13202.7,10034.0,13565.5,2979.2,2891.9,5381.4,10277.8,5429.9,2876.6,2838.6,2366.9,2850.8,5578.4,2537.0,1801.8,9989.5,7013.3,8682.9,6404.2,3378.8,13603.6,2186.8,5500.7,5432.4,1189.3,4017.2,5294.4,5107.8,4889.2,6906.5,2380.7,2495.6,3194.2,5449.6,2250.7,5575.1,5614.1,10028.8,3376.6,5207.2,2882.1,13198.6,6106.9,3417.7,3525.7,2822.4,2820.8,2847.6,2949.9
