,Depot,"Rådhusplassen 1, 6002 Ålesund",Joker Geiranger,"Geiranger, 6216 Geiranger","Langsten, 6264 Tennfjord",Anno,"Ålesund, 6002 Ålesund",Atlanterhavsparken,"Borgundvegen 340, 6015 Ålesund","Borgundvegen 92, 6008 Ålesund",Bunnpris Brattvåg,BROGATA 1,Bunnpris Bryggja,Bunnpris Eid,Bunnpris Hareid,"Ikornes, 6222 Ikornnes",Bunnpris Langevåg,Bunnpris Nørve,Bunnpris Oldeide,Bunnpris Olden,Bunnpris Sjøholt,SKAREGATA 1,Bunnpris Spjelkavik,Bunnpris Stad,Bunnpris Straumgjerde,Bunnpris Stryn,NEDRE STRANDGATE 9,Bunnpris Ulsteinvik,Bunnpris Valderøy,Bunnpris Valldal,Bunnpris Vatne,Bunnpris Vedde,Bunnpris Volda,Bunnpris Ørsta,"Digernessundet, 6057 Ellingsøy",Gamle Blindheimsveg 25,Eurospar Hareid,LARSGÅRDSVEGEN 19,Eurospar Moa,Eurospar Sykkylven,Eurospar Valderøy,Eurospar Ørsta,Rasmus Rønnebergs gate 21,"Brattvåg, 6270 Brattvåg","Valderhaug, 6050 Valderøya","Hovdebygda, 6160 Hovdebygda","Haramsøya, 6270 Brattvåg","Spjelkavik, 6010 Ålesund",Joker Bellingen,Joker Fiksdal,Joker Flatraket,Godøya post i butikk,Joker Gursken,"Hellesylt, 6218 Hellesylt",Joker Larsnes,Joker Loen,Joker Stordal,Joker Sæbø,Joker Tomrefjord,Joker,Joker Vatne,Vigra post i butikk,Joker Åheim,Joker Åram,Kiwi Meieribygget Ørsta,"Volda, 6100 Volda",SUNDGATA 8,Kiwi Skodje,Kiwi Volda,Kiwi Sykkylven,SKARBØVIKGATA 25,NØRVEGATA 23,SPJELKAVIKVEGEN 42,Kiwi Deknepollen,"Eggesbønes, 6008 Ålesund",NEDRE KLOKKERSUNDVEGEN 2,FLISNESVEGEN 1,"Kverve, 6008 Ålesund","Fiskarstrand, 6037 Eidsnes",Kiwi Stranda,Kiwi Stryn,Kiwi Ulsteinvik,"Valderøy, 6050 Valderøya",RASMUS RØNNEBERGS GATE 6,Kiwi Myrvåg,Kiwi Langevåg,NEDRE STRANDGATE 51,LERSTADVEGEN 545,Kiwi Vestnes,Kiwi Nordfjordeid,SMEDGARDEN 1,"Vallekrysset, 6013 Ålesund","Ørsta, 6150 Ørsta",Meny Fosnavåg,LERSTADVEGEN 291,"Ulsteinvik, 6065 Ulsteinvik","Ålesund, 6008 Ålesund",Rabbevågen barnehage,"Storgata 16, 6002 Ålesund",Solsikka barnehage,SOLAVÅGSEIDET 76,Spar Ellingsøy,Spar Fiskåbygd,Spar Fosnavåg,Spar Hornindal,Spar Hovdebygda,Spar Langevåg,Spar Raudeberg,Spjelkavikvegen 61,Spar Straumane,Spar Svingen,Spar Søvik,Spar Tresfjord,Spar Ulsteinvik,Spar Valldal,Spar Vartdal,Spar Volda,Øvre Geilegrend 1,Esso Spjelkavik,"Ålesund lufthavn, 6040 Vigra",St1 Vegsund,St1 Vestnes,St1 Ørsta,"Vigra, 6040 Vigra",Sunde barnehage,Tennfjord barnehage,"Torvmyrane, 6010 Ålesund","Valldal, 6210 Valldal","Fosnavåg, 6090 Fosnavåg","Parkvegen 35, 6003 Ålesund"
Depot,0.0,17076.8,103410.2,103462.5,38103.1,17026.9,17202.0,20378.1,13357.9,14703.9,41930.2,18386.3,108445.3,114473.3,20422.4,18590.2,13863.9,14477.3,131234.3,128074.7,34757.0,17142.8,5821.4,120627.6,25310.5,111588.8,17032.6,30594.5,26462.2,79245.4,28878.2,11039.5,55656.3,46526.7,20458.1,3955.1,20282.5,12787.2,5896.0,18032.3,27795.3,46511.8,16940.9,41848.8,28400.2,49735.2,60335.6,5985.6,71518.6,46603.3,129820.7,31621.1,50995.0,74230.4,56392.2,122006.3,53576.9,71429.3,54617.5,152405.4,31008.9,34802.0,93966.3,78135.5,46216.7,56711.2,16163.4,26535.5,57212.2,18240.1,19482.9,14620.6,5821.5,126741.7,13285.2,11661.5,6114.0,14852.1,11080.7,51456.1,111582.6,30587.9,19628.7,16979.1,39389.3,12912.6,17560.3,7205.7,60388.6,113024.3,10437.2,6201.5,46309.2,58125.9,9340.7,30718.8,14474.7,2561.6,17028.0,77536.4,3404.7,31332.8,77504.9,56516.5,89113.4,49721.3,13563.6,135387.7,5655.1,33382.6,50025.2,48093.8,62294.8,29516.2,79618.9,26147.4,56426.9,8175.0,6264.5,31133.0,3450.6,60434.1,46651.2,33070.8,4965.5,29071.2,25241.5,79601.3,56597.9,15336.2
"Rådhusplassen 1, 6002 Ålesund",16916.6,0.0,108047.3,108099.5,43037.6,418.4,593.5,3769.6,4904.0,3220.0,46864.7,1777.8,122564.1,128592.1,34541.2,29418.3,27982.7,2993.4,145353.1,142193.4,39394.0,414.9,12220.2,134746.3,36138.5,125707.5,424.1,44713.3,12184.3,83882.4,33812.7,25158.2,69775.1,60645.5,25095.2,14783.2,34401.3,5149.6,11319.8,28860.4,13517.4,60630.6,390.3,46783.2,14122.3,63853.9,65270.1,11058.4,85637.4,51537.8,143939.5,17343.2,65113.7,85058.4,70511.0,136125.0,58214.0,85548.1,59552.0,166524.2,35943.3,20524.1,108085.1,92254.3,60335.5,70830.0,846.7,31172.6,71330.9,29068.2,2874.4,3136.7,11997.6,140860.5,5647.7,5571.5,16942.1,2969.9,25199.5,62284.2,125701.3,44706.7,3020.2,225.0,53508.0,27031.4,951.8,11294.7,65025.7,127143.0,7212.5,11112.8,60427.9,72244.7,7996.2,44837.6,2795.7,15223.0,627.5,91655.2,17523.5,17054.9,91623.7,70635.3,103232.2,63840.0,27682.3,149506.5,12305.7,47501.4,60853.3,53028.3,66931.9,43635.0,84256.0,40266.2,70545.7,9375.8,11572.2,16855.1,14278.7,65071.2,60770.0,18793.0,19084.3,34005.6,10963.6,84238.4,70716.6,3657.2
Joker Geiranger,103583.1,108193.4,0.0,61.6,98897.1,108143.5,108318.7,111494.7,104474.5,105820.5,102724.3,109503.0,153150.6,121462.5,121207.7,76041.0,114649.2,105594.0,176415.8,92146.2,69028.8,108259.5,98185.0,193902.3,68973.6,75297.6,108149.2,131379.8,117578.8,32363.6,89672.3,111824.7,133114.8,141149.0,84061.5,99018.4,121067.8,103903.8,98176.2,76476.2,118912.0,140547.1,108057.5,102642.8,119516.8,139385.5,121129.7,98866.8,145466.6,111694.4,175002.2,122737.8,173691.2,70849.7,179088.4,86077.7,50014.9,145377.3,103692.4,116476.9,91802.9,125918.6,167796.9,202087.6,140803.3,132204.8,107280.0,78915.1,132029.4,76311.7,110599.5,105737.2,97962.4,171923.2,104401.8,103187.2,96793.9,105968.7,111866.0,43112.5,75352.8,131373.2,110745.4,108095.8,162085.5,113697.9,108676.9,96895.1,91614.9,120770.4,102601.5,97779.3,140414.2,180822.2,100866.4,131504.1,105591.3,101889.6,108144.6,186496.8,104190.0,98248.9,186465.3,179212.7,97722.6,139371.6,114348.8,180569.2,98068.8,163933.9,44926.2,108887.9,77006.1,130301.5,32737.1,126932.7,132326.1,100252.3,97384.2,122249.6,100945.2,91660.4,140543.2,124187.5,105750.8,89865.2,104599.9,32719.5,179294.1,106452.8
"Geiranger, 6216 Geiranger",103635.4,108245.7,61.6,0.0,98949.4,108195.7,108370.9,111547.0,104526.8,105872.8,102776.5,109555.2,153202.9,121514.7,121259.9,76093.3,114701.4,105646.2,176468.0,92198.4,69081.0,108311.7,98237.3,193954.5,69025.8,75349.9,108201.4,131432.1,117631.0,32415.8,89724.5,111877.0,133167.1,141201.3,84113.8,99070.7,121120.1,103956.0,98228.5,76528.5,118964.2,140599.4,108109.8,102695.0,119569.0,139437.8,121181.9,98919.0,145518.9,111746.6,175054.4,122790.0,173743.4,70901.9,179140.7,86130.0,50067.1,145429.6,103744.7,116529.1,91855.2,125970.8,167849.1,202139.9,140855.5,132257.0,107332.2,78967.3,132081.6,76363.9,110651.7,105789.5,98014.7,171975.5,104454.0,103239.5,96846.2,106021.0,111918.2,43164.7,75405.1,131425.5,110797.6,108148.0,162137.7,113750.1,108729.1,96947.3,91667.1,120822.6,102653.8,97831.6,140466.4,180874.4,100918.6,131556.4,105643.6,101941.8,108196.9,186549.0,104242.3,98301.1,186517.5,179265.0,97774.9,139423.9,114401.1,180621.4,98121.0,163986.2,44978.5,108940.1,77058.3,130353.7,32789.4,126985.0,132378.4,100304.6,97436.4,122301.9,100997.4,91712.6,140595.4,124239.7,105803.0,89917.5,104652.1,32771.7,179346.3,106505.1
"Langsten, 6264 Tennfjord",38020.9,43086.7,98787.7,98840.0,0.0,43036.8,43212.0,46388.1,38912.3,40258.3,22717.9,44396.3,143668.4,149696.4,55645.4,41086.0,49086.9,40031.7,166457.4,163465.1,30134.4,43152.8,32622.8,155850.6,47806.2,146979.2,43042.5,65817.6,45129.3,74622.9,9475.8,46262.5,90879.3,81749.8,18285.8,35887.5,55505.6,38341.5,32614.0,40528.1,46462.5,81734.8,42950.9,22636.4,47067.3,84958.2,41123.3,33304.5,106741.6,22491.8,165043.7,50288.3,86218.0,96726.2,91615.2,157396.7,48954.4,106652.4,30432.6,187795.9,7268.2,53469.2,129189.4,113358.5,81439.8,91934.2,42173.3,20046.0,92435.2,40735.9,45492.8,40175.0,32400.2,161964.8,38839.5,37625.0,38046.3,40406.5,46303.8,73951.9,146973.0,65811.0,45638.7,42989.1,74612.3,48135.6,43570.2,31332.8,42737.0,148247.3,37039.3,32217.1,81532.2,93349.0,35304.2,65941.9,40029.1,36327.3,43038.0,112759.5,38627.8,26249.8,112728.0,91739.5,124503.9,84944.3,48786.6,170610.7,32506.6,68605.7,72521.0,28881.5,54860.7,64739.2,74996.4,61370.5,91650.0,34690.1,31822.0,49800.2,35382.9,42782.5,81874.3,51738.0,40188.5,9858.9,32600.8,74978.8,91820.9,40890.6
Anno,17013.8,586.5,108144.5,108196.7,43134.7,0.0,175.2,3382.5,5001.1,3317.2,46961.9,1390.7,122661.3,128689.3,34638.4,29515.4,28079.8,3090.6,145450.3,142290.6,39491.2,652.6,12317.4,134843.5,36235.7,125804.7,118.6,44810.5,12281.5,83979.6,33909.9,25255.4,69872.3,60742.7,25192.4,14880.4,34498.5,5246.8,11417.0,28957.6,13614.6,60727.7,628.0,46880.4,14219.5,63951.1,65367.3,11155.6,85734.6,51635.0,144036.6,17440.4,65210.9,85155.6,70608.2,136222.2,58311.2,85645.3,59649.2,166621.4,36040.5,20621.3,108182.3,92351.5,60432.7,70927.1,943.9,31269.8,71428.1,29165.4,2487.3,3233.9,12094.8,140957.7,5744.8,5668.7,17039.3,3067.1,25296.7,62381.3,125798.5,44803.9,2633.1,201.6,53605.2,27128.5,646.3,11391.9,65122.9,127240.2,7309.7,11210.0,60525.1,72341.9,8093.4,44934.8,2892.9,15320.2,865.1,91752.4,17620.7,17152.1,91720.9,70732.5,103329.4,63937.2,27779.5,149603.6,12402.9,47598.6,60950.5,53125.5,67029.1,43732.2,84353.2,40363.4,70642.9,9473.0,11669.4,16952.3,14375.9,65168.4,60867.2,18890.1,19181.5,34102.8,11060.8,84335.5,70813.8,3754.4
"Ålesund, 6002 Ålesund",17294.4,867.1,108425.1,108477.3,43415.3,280.6,0.0,3634.6,5281.7,3597.8,47242.5,1642.9,122941.9,128969.9,34919.0,29796.0,28360.4,3371.2,145730.9,142571.2,39771.8,933.2,12598.0,135124.1,36516.3,126085.3,399.1,45091.1,12562.1,84260.2,34190.5,25536.0,70152.9,61023.3,25473.0,15161.0,34779.1,5527.4,11697.6,29238.2,13895.2,61008.3,908.6,47161.0,14500.1,64231.7,65647.9,11436.2,86015.2,51915.6,144317.3,17721.0,65491.5,85436.2,70888.8,136502.8,58591.8,85925.9,59929.8,166901.9,36321.1,20901.9,108462.9,92632.1,60713.3,71207.7,1224.5,31550.4,71708.7,29446.0,2739.4,3514.5,12375.4,141238.3,6025.4,5949.3,17319.9,3347.7,25577.3,62661.9,126079.1,45084.5,2885.3,482.2,53885.8,27409.1,896.1,11672.5,65403.4,127520.8,7590.3,11490.6,60805.7,72622.5,8374.0,45215.4,3173.5,15600.8,1145.7,92033.0,17901.3,17432.7,92001.5,71013.1,103610.0,64217.8,28060.1,149884.2,12683.5,47879.2,61231.1,53406.1,67309.7,44012.8,84633.8,40644.0,70923.5,9753.6,11950.0,17232.9,14656.5,65449.0,61147.8,19170.7,19462.1,34383.4,11341.4,84616.1,71094.4,4035.0
Atlanterhavsparken,20355.0,3927.8,111485.7,111537.9,46476.0,3393.6,3402.4,0.0,8342.4,6658.4,50303.1,2028.6,126002.5,132030.5,37979.6,32856.7,31421.1,6431.9,148791.5,145631.9,42832.4,3993.8,15658.6,138184.7,39576.9,129146.0,3378.2,48151.7,15622.7,87320.9,37251.1,28596.6,73213.5,64083.9,28533.6,18221.6,37839.7,8588.1,14758.3,32298.8,16955.9,64069.0,3969.2,50221.6,17560.7,67292.4,68708.5,14496.8,89075.8,54976.2,147377.9,20781.7,68552.2,88496.9,73949.4,139563.4,61652.4,88986.5,62990.4,169962.6,39381.8,23962.5,111523.5,95692.7,63773.9,74268.4,4285.1,34611.0,74769.4,32506.6,1550.2,6575.1,15436.0,144298.9,9086.1,9009.9,20380.5,6408.3,28637.9,65722.6,129139.7,48145.1,1309.1,3542.8,56946.5,30469.8,2816.0,14733.2,68464.1,130581.4,10651.0,14551.2,63866.3,75683.1,11434.7,48276.0,6234.1,18661.5,4206.3,95093.6,20961.9,20493.3,95062.1,74073.7,106670.6,67278.4,31120.7,152944.9,15744.1,50939.8,64291.7,56466.7,70370.3,47073.4,87694.4,43704.6,73984.1,12814.2,15010.7,20293.5,17717.1,68509.6,64208.4,22231.4,22522.7,37444.1,14402.0,87676.8,74155.1,7095.6
"Borgundvegen 340, 6015 Ålesund",13225.4,4811.8,104356.0,104408.3,39048.9,4761.8,4937.0,8113.1,0.0,1767.6,42876.0,6121.3,118872.9,124900.8,30849.9,25727.0,24291.4,2050.1,141661.8,138502.2,35702.8,4877.8,8528.9,131055.1,32447.3,122016.3,4767.5,41022.1,14197.1,80191.2,29824.0,21467.0,66083.8,56954.2,21403.9,11092.0,30710.1,752.3,7628.6,25169.1,15530.3,56939.3,4675.9,42794.6,16135.1,60162.7,61281.4,7367.2,81946.1,47549.1,140248.2,19356.1,61422.5,81367.2,66819.7,132433.8,54522.7,81856.8,55563.3,162832.9,31954.7,22536.9,104393.9,88563.0,56644.2,67138.7,3898.4,27481.3,67639.7,25377.0,7217.8,1857.2,8306.3,137169.3,1362.5,1679.3,13250.8,2565.9,21508.3,58592.9,122010.1,41015.5,7363.7,4714.1,49816.8,23340.1,5295.2,7603.5,61334.4,123451.8,3320.3,7421.6,56736.7,68553.5,4305.0,41146.4,2188.5,11531.8,4763.0,87963.9,13832.3,19067.8,87932.4,66944.0,99540.9,60148.8,23991.1,145815.2,8614.5,43810.2,57162.0,49039.6,63240.6,39943.7,80564.8,36575.0,66854.5,5684.6,7881.0,18868.0,10587.4,61379.9,57078.8,20805.8,15393.0,30017.0,12976.5,80547.1,67025.4,3050.0
"Borgundvegen 92, 6008 Ålesund",14889.8,3130.6,106020.5,106072.7,40713.3,3080.6,3255.8,6431.9,1770.4,0.0,44540.5,4440.1,120537.3,126565.3,32514.4,27391.4,25955.8,368.9,143326.3,140166.6,37367.2,3196.6,10193.4,132719.5,34111.7,123680.7,3086.3,42686.5,12515.9,81855.6,31488.5,23131.4,67748.3,58618.7,23068.4,12756.4,32374.5,1859.8,9293.0,26833.6,13849.1,58603.7,2994.7,44459.0,14453.9,61827.1,62945.8,9031.6,83610.6,49213.5,141912.6,17674.9,63086.9,83031.6,68484.2,134098.2,56187.2,83521.3,57227.8,164497.4,33619.1,20855.7,106058.3,90227.5,58308.7,68803.1,2217.2,29145.8,69304.1,27041.4,5536.6,176.1,9970.8,138833.7,1934.0,2653.6,14915.3,884.7,23172.7,60257.3,123674.5,42679.9,5682.5,3032.9,51481.2,25004.5,3614.0,9267.9,62998.9,125116.2,4294.6,9086.0,58401.1,70217.9,5969.4,42810.8,507.3,13196.2,3081.8,89628.4,15496.7,17386.6,89596.9,68608.5,101205.4,61813.2,25655.5,147479.6,10278.9,45474.6,58826.5,50704.0,64905.1,41608.2,82229.2,38239.4,68518.9,7349.0,9545.4,17186.8,12251.9,63044.4,58743.2,19124.6,17057.5,31681.4,11295.3,82211.5,68689.8,1368.8
