,Depot,"Rådhusplassen 1, 6002 Ålesund",Joker Geiranger,"Geiranger, 6216 Geiranger","Langsten, 6264 Tennfjord",Anno,"Ålesund, 6002 Ålesund",Atlanterhavsparken,"Borgundvegen 340, 6015 Ålesund","Borgundvegen 92, 6008 Ålesund",Bunnpris Brattvåg,BROGATA 1,Bunnpris Bryggja,Bunnpris Eid,Bunnpris Hareid,"Ikornes, 6222 Ikornnes",Bunnpris Langevåg,Bunnpris Nørve,Bunnpris Oldeide,Bunnpris Olden,Bunnpris Sjøholt,SKAREGATA 1,Bunnpris Spjelkavik,Bunnpris Stad,Bunnpris Straumgjerde,Bunnpris Stryn,NEDRE STRANDGATE 9,Bunnpris Ulsteinvik,Bunnpris Valderøy,Bunnpris Valldal,Bunnpris Vatne,Bunnpris Vedde,Bunnpris Volda,Bunnpris Ørsta,"Digernessundet, 6057 Ellingsøy",Gamle Blindheimsveg 25,Eurospar Hareid,LARSGÅRDSVEGEN 19,Eurospar Moa,Eurospar Sykkylven,Eurospar Valderøy,Eurospar Ørsta,Rasmus Rønnebergs gate 21,"Brattvåg, 6270 Brattvåg","Valderhaug, 6050 Valderøya","Hovdebygda, 6160 Hovdebygda","Haramsøya, 6270 Brattvåg","Spjelkavik, 6010 Ålesund",Joker Bellingen,Joker Fiksdal,Joker Flatraket,Godøya post i butikk,Joker Gursken,"Hellesylt, 6218 Hellesylt",Joker Larsnes,Joker Loen,Joker Stordal,Joker Sæbø,Joker Tomrefjord,Joker,Joker Vatne,Vigra post i butikk,Joker Åheim,Joker Åram,Kiwi Meieribygget Ørsta,"Volda, 6100 Volda",SUNDGATA 8,Kiwi Skodje,Kiwi Volda,Kiwi Sykkylven,SKARBØVIKGATA 25,NØRVEGATA 23,SPJELKAVIKVEGEN 42,Kiwi Deknepollen,"Eggesbønes, 6008 Ålesund",NEDRE KLOKKERSUNDVEGEN 2,FLISNESVEGEN 1,"Kverve, 6008 Ålesund","Fiskarstrand, 6037 Eidsnes",Kiwi Stranda,Kiwi Stryn,Kiwi Ulsteinvik,"Valderøy, 6050 Valderøya",RASMUS RØNNEBERGS GATE 6,Kiwi Myrvåg,Kiwi Langevåg,NEDRE STRANDGATE 51,LERSTADVEGEN 545,Kiwi Vestnes,Kiwi Nordfjordeid,SMEDGARDEN 1,"Vallekrysset, 6013 Ålesund","Ørsta, 6150 Ørsta",Meny Fosnavåg,LERSTADVEGEN 291,"Ulsteinvik, 6065 Ulsteinvik","Ålesund, 6008 Ålesund",Rabbevågen barnehage,"Storgata 16, 6002 Ålesund",Solsikka barnehage,SOLAVÅGSEIDET 76,Spar Ellingsøy,Spar Fiskåbygd,Spar Fosnavåg,Spar Hornindal,Spar Hovdebygda,Spar Langevåg,Spar Raudeberg,Spjelkavikvegen 61,Spar Straumane,Spar Svingen,Spar Søvik,Spar Tresfjord,Spar Ulsteinvik,Spar Valldal,Spar Vartdal,Spar Volda,Øvre Geilegrend 1,Esso Spjelkavik,"Ålesund lufthavn, 6040 Vigra",St1 Vegsund,St1 Vestnes,St1 Ørsta,"Vigra, 6040 Vigra",Sunde barnehage,Tennfjord barnehage,"Torvmyrane, 6010 Ålesund","Valldal, 6210 Valldal","Fosnavåg, 6090 Fosnavåg","Parkvegen 35, 6003 Ålesund"
Depot,0.0,1318.3,7090.9,7109.4,2484.8,1303.3,1330.2,1688.1,1099.9,1138.1,2637.9,1435.1,9661.4,8166.8,2432.1,2006.3,1196.3,1111.5,11116.0,9094.6,2250.5,1306.5,537.4,10407.6,2444.4,7965.7,1310.0,3154.6,1874.8,5060.1,1836.8,946.8,4602.4,3991.4,1365.5,418.0,2422.0,1033.6,525.8,1939.3,2065.4,3944.5,1297.0,2627.4,2080.6,4184.3,3715.8,541.1,5578.0,3071.3,10889.5,2126.1,4400.8,5430.5,4736.1,8634.5,3491.3,5564.0,3674.8,10597.2,2027.6,2362.4,8783.3,7878.3,3913.0,4736.6,1211.6,1751.3,4761.9,1974.5,1534.0,1132.8,514.7,10764.0,1109.2,1065.9,534.5,1177.6,956.6,4073.8,7963.7,3153.9,1588.4,1296.5,3697.2,1112.3,1352.5,618.7,3715.0,8059.9,1006.7,537.6,3919.9,4970.2,853.5,3176.1,1106.2,374.4,1299.1,7796.9,331.7,2140.8,7784.2,4808.0,6637.3,4198.9,1173.5,11398.3,489.2,3295.4,3930.2,2931.4,4001.7,3089.1,5092.3,2683.9,4701.2,737.6,556.1,2076.7,354.8,3727.8,3961.8,2259.1,484.9,1854.6,1842.2,5088.0,4821.3,1191.9
"Rådhusplassen 1, 6002 Ålesund",1299.4,0.0,7371.2,7389.7,2731.3,57.2,84.1,442.0,446.6,277.2,2884.4,189.0,10550.6,9056.0,3321.3,2681.0,2085.5,250.6,12005.2,9983.8,2530.8,63.0,945.6,11296.8,3119.1,8854.9,63.9,4043.8,854.2,5340.4,2083.3,1836.0,5491.6,4880.6,1645.8,1092.7,3311.2,389.1,858.5,2614.0,1044.8,4833.7,63.8,2873.9,1060.0,5073.5,3962.3,825.0,6467.2,3317.8,11778.7,1105.5,5290.0,6105.2,5625.3,9523.7,3771.6,6453.2,3921.3,11486.4,2274.1,1341.8,9672.5,8767.5,4802.2,5625.8,106.5,2031.6,5651.1,2649.2,287.9,271.9,906.9,11653.2,464.7,427.8,1209.2,280.6,1845.8,4748.5,8852.9,4043.1,342.3,34.9,4586.4,2001.5,106.4,853.5,3995.3,8949.1,599.2,819.4,4809.1,5859.4,558.4,4065.3,228.1,1142.6,87.0,8686.1,1220.9,1120.2,8673.4,5697.2,7526.5,5088.1,2062.7,12287.5,898.8,4184.6,4604.9,3177.9,4282.0,3978.3,5372.6,3573.1,5590.4,678.8,873.4,1056.1,1029.5,4008.1,4851.0,1238.5,1374.1,2101.1,821.6,5368.3,5710.5,313.8
Joker Geiranger,7129.5,7416.5,0.0,22.1,7006.3,7401.5,7428.4,7786.3,7198.1,7236.3,7159.4,7533.3,9173.2,7293.2,9151.4,7240.2,7915.6,7209.7,10675.2,5699.2,4938.5,7404.7,6738.2,11644.1,6725.1,4528.8,7408.2,9873.9,7973.0,2572.9,6358.3,7666.1,7956.2,8674.8,5917.4,6914.2,9141.3,7131.8,6700.7,7248.2,8163.6,8565.8,7395.2,7148.9,8178.8,8416.4,8237.3,6764.7,8678.3,7558.2,10448.7,8224.3,10424.4,6812.5,10759.7,5239.1,3644.0,8664.3,6953.4,7201.8,6549.1,8460.6,10073.1,12263.0,8595.0,7881.5,7309.8,5620.3,7880.4,7258.4,7632.2,7231.0,6699.5,10323.2,7207.4,7168.5,6760.1,7275.8,7675.9,5145.8,4541.8,9873.2,7686.6,7394.7,9720.8,7831.6,7450.7,6606.6,6182.7,7243.0,7162.3,6649.5,8551.8,10993.8,6956.1,9895.4,7204.4,6972.7,7397.3,11299.2,7051.0,6832.4,11286.5,10831.6,5878.8,8431.0,7892.8,10957.5,6700.8,9831.6,5362.7,7452.9,6201.9,9808.4,2605.1,9403.2,7897.2,6894.7,6651.8,8174.9,6859.6,6195.5,8564.3,8357.3,7204.2,6376.1,7265.8,2600.8,10844.9,7290.1
"Geiranger, 6216 Geiranger",7146.7,7433.7,20.7,0.0,7023.5,7418.7,7445.6,7803.5,7215.3,7253.5,7176.6,7550.5,9190.4,7310.4,9168.6,7257.4,7932.8,7226.9,10692.4,5716.4,4955.7,7421.9,6755.4,11661.3,6742.3,4546.0,7425.4,9891.1,7990.2,2590.1,6375.5,7683.3,7973.4,8692.0,5934.6,6931.4,9158.5,7149.0,6717.9,7265.4,8180.8,8583.0,7412.4,7166.1,8196.0,8433.6,8254.5,6781.9,8695.5,7575.4,10465.9,8241.5,10441.6,6829.7,10776.9,5256.3,3661.2,8681.5,6970.6,7219.0,6566.3,8477.8,10090.3,12280.2,8612.2,7898.7,7327.0,5637.5,7897.6,7275.6,7649.4,7248.2,6716.7,10340.4,7224.6,7185.7,6777.3,7293.0,7693.1,5163.0,4559.0,9890.4,7703.8,7411.9,9738.0,7848.8,7467.9,6623.8,6199.9,7260.2,7179.5,6666.7,8569.0,11011.0,6973.3,9912.6,7221.6,6989.9,7414.5,11316.4,7068.2,6849.6,11303.7,10848.8,5896.0,8448.2,7910.0,10974.7,6718.0,9848.8,5379.9,7470.1,6219.1,9825.6,2622.3,9420.4,7914.4,6911.9,6669.0,8192.1,6876.8,6212.7,8581.5,8374.5,7221.4,6393.3,7283.0,2618.0,10862.1,7307.3
"Langsten, 6264 Tennfjord",2483.2,2737.7,6974.1,6992.6,0.0,2722.7,2749.6,3107.5,2551.8,2590.0,1525.0,2854.5,11734.4,10239.8,4505.1,3376.2,3269.3,2563.4,13189.0,11007.9,2133.7,2725.9,2091.9,12480.6,3814.3,9879.0,2729.4,5227.6,2860.0,4943.3,717.7,3019.8,6675.4,6064.4,1258.7,2276.5,4495.0,2485.5,2054.4,3309.2,3050.6,6017.5,2716.4,1514.5,3065.8,6257.3,2602.9,2118.4,7651.0,1477.5,12962.5,3111.3,6473.8,6800.4,6809.1,10547.8,3374.5,7637.0,2073.1,12510.5,508.3,3347.6,10856.3,9951.3,5986.0,6809.6,2631.0,1396.8,6834.9,3344.4,2953.4,2584.7,2053.2,12837.0,2561.1,2522.2,2393.0,2629.5,3029.6,5443.7,9877.0,5226.9,3007.8,2715.9,5770.2,3185.3,2771.9,1960.3,2859.6,10132.9,2516.0,2003.2,5992.9,7043.2,2309.8,5249.1,2558.1,2326.4,2718.5,9869.9,2404.7,1669.5,9857.2,6881.0,8550.6,6271.9,3246.5,13471.3,2054.5,5368.4,5300.1,1818.5,3718.6,5162.1,4975.5,4756.9,6774.2,2248.4,2005.5,3061.9,2213.3,2872.4,6034.8,3244.3,2557.9,741.7,2102.9,4971.2,6894.3,2643.8
Anno,1304.9,91.3,7376.7,7395.2,2736.8,0.0,26.9,393.2,452.1,282.7,2889.9,140.2,10556.1,9061.5,3326.8,2686.5,2091.0,256.1,12010.7,9989.3,2536.3,79.5,951.1,11302.3,3124.6,8860.4,19.2,4049.3,859.7,5345.9,2088.8,1841.5,5497.1,4886.1,1651.3,1098.2,3316.7,394.6,864.0,2619.5,1050.3,4839.2,80.3,2879.4,1065.5,5079.0,3967.8,830.5,6472.7,3323.3,11784.2,1111.0,5295.5,6110.7,5630.8,9529.2,3777.1,6458.7,3926.8,11491.9,2279.6,1347.3,9678.0,8773.0,4807.7,5631.3,112.0,2037.1,5656.6,2654.7,239.1,277.4,912.4,11658.7,470.2,433.3,1214.7,286.1,1851.3,4754.0,8858.4,4048.6,293.5,30.6,4591.9,2007.0,61.7,859.0,4000.8,8954.6,604.7,824.9,4814.6,5864.9,563.9,4070.8,233.6,1148.1,103.5,8691.6,1226.4,1125.7,8678.9,5702.7,7532.0,5093.6,2068.2,12293.0,904.3,4190.1,4610.4,3183.4,4287.5,3983.8,5378.1,3578.6,5595.9,684.3,878.9,1061.6,1035.0,4013.6,4856.5,1244.0,1379.6,2106.6,827.1,5373.8,5716.0,319.3
"Ålesund, 6002 Ålesund",1333.6,120.0,7405.4,7423.9,2765.5,28.7,0.0,412.6,480.8,311.4,2918.6,159.6,10584.8,9090.2,3355.5,2715.2,2119.7,284.8,12039.4,10018.0,2565.0,108.2,979.8,11331.0,3153.3,8889.1,47.9,4078.0,888.4,5374.6,2117.5,1870.2,5525.8,4914.8,1680.0,1126.9,3345.4,423.3,892.7,2648.2,1079.0,4867.9,109.0,2908.1,1094.2,5107.7,3996.5,859.2,6501.4,3352.0,11812.9,1139.7,5324.2,6139.4,5659.5,9557.9,3805.8,6487.4,3955.5,11520.6,2308.3,1376.0,9706.7,8801.7,4836.4,5660.0,140.7,2065.8,5685.3,2683.4,258.5,306.1,941.1,11687.4,498.9,462.0,1243.4,314.8,1880.0,4782.7,8887.1,4077.3,312.9,59.3,4620.6,2035.7,87.5,887.7,4029.5,8983.3,633.4,853.6,4843.3,5893.6,592.6,4099.5,262.3,1176.8,132.2,8720.3,1255.1,1154.4,8707.6,5731.4,7560.7,5122.3,2096.9,12321.7,933.0,4218.8,4639.1,3212.1,4316.2,4012.5,5406.8,3607.3,5624.6,713.0,907.6,1090.3,1063.7,4042.3,4885.2,1272.7,1408.3,2135.3,855.8,5402.5,5744.7,348.0
Atlanterhavsparken,1685.1,471.5,7756.9,7775.4,3117.0,394.7,398.7,0.0,832.3,662.9,3270.1,274.2,10936.3,9441.7,3707.0,3066.7,2471.2,636.3,12390.9,10369.5,2916.5,459.7,1331.3,11682.5,3504.8,9240.6,396.4,4429.5,1239.9,5726.1,2469.0,2221.7,5877.3,5266.3,2031.5,1478.4,3696.9,774.8,1244.2,2999.7,1430.5,5219.4,460.5,3259.6,1445.7,5459.2,4348.0,1210.7,6852.9,3703.5,12164.4,1491.2,5675.7,6490.9,6011.0,9909.4,4157.3,6838.9,4307.0,11872.1,2659.8,1727.5,10058.2,9153.2,5187.9,6011.5,492.2,2417.3,6036.8,3034.9,232.2,657.6,1292.6,12038.9,850.4,813.5,1594.9,666.3,2231.5,5134.2,9238.6,4428.8,223.0,410.8,4972.1,2387.2,338.7,1239.2,4381.0,9334.8,984.9,1205.1,5194.8,6245.1,944.1,4451.0,613.8,1528.3,483.7,9071.8,1606.6,1505.9,9059.1,6082.9,7912.2,5473.8,2448.4,12673.2,1284.5,4570.3,4990.6,3563.6,4667.7,4364.0,5758.3,3958.8,5976.1,1064.5,1259.1,1441.8,1415.2,4393.8,5236.7,1624.2,1759.8,2486.8,1207.3,5754.0,6096.2,699.5
"Borgundvegen 340, 6015 Ålesund",1108.2,443.6,7180.0,7198.5,2573.9,428.6,455.5,813.4,0.0,198.8,2727.0,560.4,10359.4,8864.8,3130.1,2489.8,1894.3,216.9,11814.0,9792.6,2339.6,431.8,754.4,11105.6,2927.9,8663.7,435.3,3852.6,1000.1,5149.2,1925.9,1644.8,5300.4,4689.4,1454.6,901.5,3120.0,110.8,667.3,2422.8,1190.7,4642.5,422.3,2716.5,1205.9,4882.3,3804.9,633.8,6276.0,3160.4,11587.5,1251.4,5098.8,5914.0,5434.1,9332.5,3580.4,6262.0,3763.9,11295.2,2116.7,1487.7,9481.3,8576.3,4611.0,5434.6,336.9,1840.4,5459.9,2458.0,659.3,201.8,715.7,11462.0,197.4,206.6,1018.0,295.9,1654.6,4557.3,8661.7,3851.9,713.7,421.8,4395.2,1810.3,477.8,662.3,3804.1,8757.9,378.0,628.2,4617.9,5668.2,367.2,3874.1,224.5,951.4,424.4,8494.9,1029.7,1266.1,8482.2,5506.0,7335.3,4896.9,1871.5,12096.3,707.6,3993.4,4413.7,3020.5,4090.8,3787.1,5181.4,3381.9,5399.2,487.6,682.2,1202.0,838.3,3816.9,4659.8,1384.4,1182.9,1943.7,967.5,5177.1,5519.3,310.2
"Borgundvegen 92, 6008 Ålesund",1155.6,277.2,7227.4,7245.9,2621.3,262.2,289.1,647.0,195.4,0.0,2774.4,394.0,10406.8,8912.2,3177.5,2537.2,1941.7,50.5,11861.4,9840.0,2387.0,265.4,801.8,11153.0,2975.3,8711.1,268.9,3900.0,833.7,5196.6,1973.3,1692.2,5347.8,4736.8,1502.0,948.9,3167.4,192.1,714.7,2470.2,1024.3,4689.9,255.9,2763.9,1039.5,4929.7,3852.3,681.2,6323.4,3207.8,11634.9,1085.0,5146.2,5961.4,5481.5,9379.9,3627.8,6309.4,3811.3,11342.6,2164.1,1321.3,9528.7,8623.7,4658.4,5482.0,170.5,1887.8,5507.3,2505.4,492.9,35.4,763.1,11509.4,226.5,264.4,1065.4,129.5,1702.0,4604.7,8709.1,3899.3,547.3,255.4,4442.6,1857.7,311.4,709.7,3851.5,8805.3,435.8,675.6,4665.3,5715.6,414.6,3921.5,58.1,998.8,258.0,8542.3,1077.1,1099.7,8529.6,5553.4,7382.7,4944.3,1918.9,12143.7,755.0,4040.8,4461.1,3067.9,4138.2,3834.5,5228.8,3429.3,5446.6,535.0,729.6,1035.6,885.7,3864.3,4707.2,1218.0,1230.3,1991.1,801.1,5224.5,5566.7,143.8
