,Depot,"Geiranger, 6216 Geiranger","Storfjordvegen 550, 6260 Skodje","Sæbøvegen 26, 6165 Sæbø","Parkgata 2, 6003 Ålesund","Langsten, 6264 Tennfjord","Ålesund, 6002 Ålesund",Aursnes Kiosk & Bistro,"Blakstad, 6008 Ålesund",Brasserie Posten,"Digernes, 6057 Ellingsøy","Moa, 6010 Ålesund",LORKENESTORGET,Brygga Sportsbar,BROGATA 1,Bunnpris Hareid,"Ikornes, 6222 Ikornnes",Bunnpris Langevåg,Bunnpris Nørve,Bunnpris Olden,Bunnpris Sjøholt,SKAREGATA 1,Bunnpris Spjelkavik,Bunnpris Straumgjerde,NEDRE STRANDGATE 9,Bunnpris Ørsta,"Volda, 6100 Volda",Café Nova,Det Lille Napoli,KIRKEGATA 1 A,Gamle Blindheimsveg 25,Eurospar Hareid,LARSGÅRDSVEGEN 19,Eurospar Moa,Eurospar Sykkylven,Eurospar Ørsta,Rasmus Rønnebergs gate 21,"Ulsteinvik, 6065 Ulsteinvik","Fosnavåg, 6090 Fosnavåg","Sunde, 6030 Sunde",Fiskå Brygge Gjestgiveri,"Hareid, 6060 Hareid","Hatlane, 6008 Ålesund",Herøy omsorgssenter,Hjørundfjordheimen,KONGENS GATE 27,Innvik,Innvik Fjordhotell,"Hovdebygda, 6160 Hovdebygda",Joker Bellingen,Joker Fiksdal,Joker Flatraket,Joker Geiranger,Joker Gursken,Joker Larsnes,Joker Loen,Joker Sæbø,Joker Tomrefjord,Joker,Joker Åram,KaffeBaren AS,Kiwi Meieribygget Ørsta,SUNDGATA 8,Kiwi Skodje,Kiwi Volda,Kiwi Sykkylven,SKARBØVIKGATA 25,NØRVEGATA 23,SPJELKAVIKVEGEN 42,Kiwi Deknepollen,"Eggesbønes, 6008 Ålesund",NEDRE KLOKKERSUNDVEGEN 2,FLISNESVEGEN 1,"Kverve, 6008 Ålesund","Fiskarstrand, 6037 Eidsnes",Kiwi Stranda,Kiwi Stryn,Kiwi Ulsteinvik,"Valderøy, 6050 Valderøya",RASMUS RØNNEBERGS GATE 6,Kiwi Myrvåg,Kiwi Langevåg,NEDRE STRANDGATE 51,LERSTADVEGEN 545,Kiwi Vestnes,Kiwi Nordfjordeid,SMEDGARDEN 1,"Vallekrysset, 6013 Ålesund","Ørsta, 6150 Ørsta",KONGENS GATE 30,"Larsnes, 6098 Nerlandsøy",KEISER WILHELMS GATE 32,"Hjørungavåg, 6092 Fosnavåg",Meny Fosnavåg,LERSTADVEGEN 291,"Giske, 6050 Valderøya","Solavågen, 6240 Ørskog","HIG, 6010 Ålesund",KORSEGATA 4,POSTVEGEN 11,POSTVEGEN 17,POSTVEGEN 15,"Nordfjordeid, 6770 Nordfjordeid",Nærbutikken Norddal,Nærbutikken Rovde,Olebuda,Quality Hotel Waterfront,SORENSKRIVER BULLS GATE 7,RÅDSTUGATA 3B,"Rekkedal, 6210 Valldal",OLE THORESENS GATE 16,RASMUS RØNNEBERGS GATE 4,SOLAVÅGSEIDET 76,Spar Fiskåbygd,Spar Fosnavåg,Spar Hovdebygda,Spar Langevåg,Spar Raudeberg,Spjelkavikvegen 61,Spar Straumane,Spar Svingen,Spar Ulsteinvik,Spar Vartdal,Øvre Geilegrend 1,Esso Spjelkavik,St1 Vegsund,St1 Ørsta,"Ålesund, 6009 Ålesund",Storfjord kulturhus,Stranda Bakeri og Konditori,"Stranda, 6200 Stranda","Stranda, 6200 Stranda",Stranda omsorgssenter,"Sundgata 26, 6030 Sunde","Sykkylven, 6230 Sykkylven",Thon Hotel Baronen,Ulstein Arena,Ulstein sjukeheim,"Rådhuset, 6002 Ålesund","Fiskå, 6139 Fiskå",Volda omsorgssenter sjukeheim,"Ørsta, 6150 Ørsta","Åsehaugen 5, 6017 Ålesund"
Depot,0.0,103462.5,27793.5,51292.9,17338.4,38103.1,17202.0,14942.3,14474.7,103130.3,20458.1,25241.5,16953.2,31023.8,18386.3,20422.4,18590.2,13863.9,14477.3,128074.7,34757.0,17142.8,5821.4,25310.5,17032.6,46526.7,56711.2,30956.5,45808.9,17222.7,3955.1,20282.5,12787.2,5896.0,18032.3,46511.8,16940.9,30718.8,56597.9,4545.4,77786.5,21896.2,14984.0,56019.6,71372.5,17373.6,144931.3,145225.3,49735.2,71518.6,46603.3,129820.7,103410.2,50995.0,56392.2,122006.3,71429.3,54617.5,152405.4,78135.5,30988.3,46216.7,16163.4,26535.5,57212.2,18240.1,19482.9,14620.6,5821.5,126741.7,13285.2,11661.5,6114.0,14852.1,11080.7,51456.1,111582.6,30587.9,19628.7,16979.1,39389.3,12912.6,17560.3,7205.7,60388.6,113024.3,10437.2,6201.5,46309.2,17340.5,58758.7,16669.0,22751.5,58125.9,9340.7,28400.2,22449.9,5985.6,16722.9,6887.3,6729.0,6731.8,114000.3,81917.9,77019.3,103191.9,17255.6,17148.5,16416.7,69135.3,19668.0,16969.2,3404.7,77504.9,56516.5,49721.3,13563.6,135387.7,5655.1,33382.6,50025.2,29516.2,26147.4,8175.0,6264.5,3450.6,46651.2,18000.0,51390.3,51472.8,51468.3,50303.6,50303.6,4548.9,18731.0,5626.0,30788.1,31732.5,17076.8,80392.6,55412.2,46499.5,15345.6
"Geiranger, 6216 Geiranger",103635.4,0.0,73063.4,138807.9,108507.3,98949.4,108370.9,95819.2,105643.6,332.1,84113.8,104652.1,108122.1,131861.3,109555.2,121259.9,76093.3,114701.4,105646.2,92198.4,69081.0,108311.7,98237.3,69025.8,108201.4,141201.3,132257.0,131794.0,141040.7,108391.5,99070.7,121120.1,103956.0,98228.5,76528.5,140599.4,108109.8,131556.4,179346.3,105383.0,186799.1,122733.8,106152.9,178768.1,145372.7,108542.5,109055.0,109349.1,139437.8,145518.9,111746.6,175054.4,61.6,173743.4,179140.7,86130.0,145429.6,103744.7,116529.1,202139.9,131825.8,140855.5,107332.2,78967.3,132081.6,76363.9,110651.7,105789.5,98014.7,171975.5,104454.0,103239.5,96846.2,106021.0,111918.2,43164.7,75405.1,131425.5,110797.6,108148.0,162137.7,113750.1,108729.1,96947.3,91667.1,120822.6,102653.8,97831.6,140466.4,108509.3,181507.1,107837.9,123589.0,180874.4,100918.6,119569.0,81390.6,98919.0,107891.8,98056.2,97897.9,97900.7,121041.7,29292.6,155281.5,270.5,108424.5,108317.4,107585.6,38999.6,110836.8,108138.1,104242.3,186517.5,179265.0,139423.9,114401.1,180621.4,98121.0,163986.2,44978.5,130353.7,126985.0,100304.6,97436.4,100997.4,140595.4,109168.9,43125.4,42961.4,42956.9,44398.8,44398.8,105386.4,76404.6,98150.2,131625.6,132570.1,108245.7,189405.2,133445.4,140689.3,106514.5
"Storfjordvegen 550, 6260 Skodje",28082.0,72976.3,0.0,69352.5,38939.0,50162.3,38802.6,12906.5,36075.2,72644.1,32517.3,46842.0,38553.8,56308.0,39986.9,45706.6,11555.4,39148.1,36077.9,119702.9,39830.7,38743.4,27422.0,18533.5,38633.1,64586.4,74770.8,56240.6,63868.5,38823.2,24230.3,45566.7,34387.7,27496.6,10997.5,64571.4,38541.5,56003.0,81882.1,29829.6,123439.7,47180.4,36584.5,81303.8,87050.7,38974.2,136559.5,136853.5,67794.8,86884.5,58662.5,170644.7,72924.0,76279.2,81676.4,113634.4,86911.1,66676.7,144033.6,103419.7,56272.5,64276.4,37763.9,34346.9,75271.8,11205.3,41083.4,36221.2,27422.1,167565.8,34885.7,33262.1,22005.9,36452.7,36364.9,30189.6,103210.7,55872.1,41229.3,38579.7,64673.5,38196.8,39160.8,28806.2,65462.3,116412.9,32037.8,27802.1,64368.8,38941.0,84042.9,38269.6,48035.6,83410.1,30941.3,50000.7,28452.5,27586.2,38323.5,28487.9,28329.6,28332.4,116632.0,51431.7,95079.0,72705.7,38856.2,38749.0,38017.2,37719.2,41268.5,38569.8,28688.9,123158.1,81800.7,67780.9,38847.7,176211.7,27255.7,58666.8,28758.7,54800.4,44207.1,29775.6,27865.0,24561.1,64710.9,39600.6,30123.8,30206.3,30201.8,29037.1,29037.1,29833.0,11696.2,27226.5,56072.3,57016.7,38677.3,126045.8,73471.8,64559.2,36946.2
"Sæbøvegen 26, 6165 Sæbø",51262.8,139087.1,69220.0,0.0,65722.1,86486.8,65585.7,61246.2,62858.3,138969.5,68841.8,73625.1,65336.9,37345.0,66770.0,46479.5,57904.1,58084.4,62861.0,80338.5,83140.6,65526.5,54205.1,63405.0,65416.2,5718.5,15280.6,37392.6,5557.9,65606.3,52338.8,46417.7,61170.8,54279.7,58339.3,5116.7,65324.6,37373.6,50839.1,47079.3,63985.2,47421.7,63367.6,50260.9,23636.3,65757.3,97195.2,97489.2,8340.4,23782.5,94987.0,119519.9,139034.8,45236.2,50633.5,74270.1,23693.2,103001.2,104669.3,77488.4,37402.3,5372.8,64547.0,74919.2,14912.7,58174.7,67866.5,63004.3,54205.2,116441.0,61668.8,60045.2,54497.7,63235.8,55301.2,92938.5,63846.4,37047.9,68012.4,65362.8,33630.5,57133.1,65943.9,55589.3,108772.3,65288.1,58820.9,54585.2,4983.7,65724.1,52999.9,65052.7,43991.4,52367.2,57724.4,76783.8,70833.5,54369.3,65106.6,55271.0,55112.7,55115.5,66264.1,114180.6,35624.6,138907.9,65639.2,65532.1,64800.3,100468.1,68051.6,65352.9,47814.7,63703.7,50757.8,8326.5,57784.1,125086.9,54038.8,35479.0,92395.9,38053.8,25147.0,56558.7,54648.1,51834.3,5112.7,66383.7,92872.8,92955.2,92950.8,91786.1,91786.1,47082.8,58215.4,54009.6,37575.5,36768.8,65460.4,66591.4,14017.4,5206.6,63729.3
"Parkgata 2, 6003 Ålesund",17325.4,108508.3,39030.3,65820.4,0.0,43446.3,458.3,26179.1,3204.4,108176.2,25503.9,11372.4,438.7,45551.3,1673.9,34949.9,29827.0,28391.4,3402.2,142602.2,39802.8,964.2,12629.0,36547.3,430.1,61054.3,71238.7,45484.0,60336.4,432.9,15192.0,34810.1,5558.4,11728.6,29269.2,61039.3,939.6,45246.4,71125.4,19073.0,92314.0,36423.8,3510.6,70547.2,85900.0,1195.0,159458.9,159752.9,64262.7,86046.1,51946.5,144348.2,108456.0,65522.5,70919.7,136533.8,85956.9,59960.8,166932.9,92663.0,45515.8,60744.3,1255.4,31581.3,71739.7,29477.0,2770.4,3545.5,12406.4,141269.3,6056.4,5980.3,17350.9,3378.7,25608.3,62692.9,126110.1,45115.5,2916.3,513.2,53916.8,27440.1,927.0,11703.5,65434.4,127551.8,7621.3,11521.6,60836.7,1161.8,73286.2,894.8,37279.0,72653.5,8405.0,14531.0,29733.9,11467.2,699.5,11215.7,11057.3,11060.1,128527.8,86963.7,91546.9,108237.8,622.4,1184.1,1031.4,74181.2,2955.5,472.1,17932.3,92032.5,71044.0,64248.8,28091.1,149915.2,12714.5,47910.2,61262.0,44043.7,40675.0,9784.6,11981.0,14687.4,61178.8,1366.8,62627.2,62709.6,62705.2,61540.5,61540.5,19076.4,29967.9,12685.4,45315.6,46260.1,898.1,94920.2,69939.7,61027.1,4075.4
"Langsten, 6264 Tennfjord",38020.9,98840.0,50289.3,86515.9,43348.4,0.0,43212.0,37438.0,40029.1,98507.8,18285.8,32600.8,42963.2,66246.8,44396.3,55645.4,41086.0,49086.9,40031.7,163465.1,30134.4,43152.8,32622.8,47806.2,43042.5,81749.8,91934.2,66179.5,81031.9,43232.6,35887.5,55505.6,38341.5,32614.0,40528.1,81734.8,42950.9,65941.9,91820.9,39768.5,113009.5,57119.3,40538.4,91242.7,106595.5,43383.6,180321.8,180615.8,84958.2,106741.6,22491.8,165043.7,98787.7,86218.0,91615.2,157396.7,106652.4,30432.6,187795.9,113358.5,66211.3,81439.8,42173.3,20046.0,92435.2,40735.9,45492.8,40175.0,32400.2,161964.8,38839.5,37625.0,38046.3,40406.5,46303.8,73951.9,146973.0,65811.0,45638.7,42989.1,74612.3,48135.6,43570.2,31332.8,42737.0,148247.3,37039.3,32217.1,81532.2,43350.4,93981.7,42679.0,57974.5,93349.0,35304.2,47067.3,23009.4,33304.5,42732.9,32441.7,32283.4,32286.2,149223.3,77295.4,112242.4,98569.4,43265.5,43158.4,42426.6,64512.8,45677.9,42979.2,38627.8,112728.0,91739.5,84944.3,48786.6,170610.7,32506.6,68605.7,72521.0,64739.2,61370.5,34690.1,31822.0,35382.9,81874.3,44010.0,73886.1,73968.6,73964.1,72799.4,72799.4,39771.9,41226.8,32535.7,66011.1,66955.6,43086.7,115615.7,90635.2,81722.6,40900.0
"Ålesund, 6002 Ålesund",17294.4,108477.3,38999.4,65789.4,271.1,43415.3,0.0,26148.1,3173.5,108145.2,25473.0,11341.4,407.7,45520.4,1642.9,34919.0,29796.0,28360.4,3371.2,142571.2,39771.8,933.2,12598.0,36516.3,399.1,61023.3,71207.7,45453.0,60305.4,401.9,15161.0,34779.1,5527.4,11697.6,29238.2,61008.3,908.6,45215.4,71094.4,19042.0,92283.0,36392.8,3479.6,70516.2,85869.0,1164.0,159427.9,159721.9,64231.7,86015.2,51915.6,144317.3,108425.1,65491.5,70888.8,136502.8,85925.9,59929.8,166901.9,92632.1,45484.8,60713.3,1224.5,31550.4,71708.7,29446.0,2739.4,3514.5,12375.4,141238.3,6025.4,5949.3,17319.9,3347.7,25577.3,62661.9,126079.1,45084.5,2885.3,482.2,53885.8,27409.1,896.1,11672.5,65403.4,127520.8,7590.3,11490.6,60805.7,1130.8,73255.2,863.8,37248.0,72622.5,8374.0,14500.1,29702.9,11436.2,668.5,11184.7,11026.3,11029.1,128496.8,86932.7,91515.9,108206.8,591.4,1153.1,1000.4,74150.2,2924.5,441.1,17901.3,92001.5,71013.1,64217.8,28060.1,149884.2,12683.5,47879.2,61231.1,44012.8,40644.0,9753.6,11950.0,14656.5,61147.8,1335.8,62596.2,62678.7,62674.2,61509.5,61509.5,19045.4,29936.9,12654.4,45284.6,46229.1,867.1,94889.2,69908.7,60996.1,4044.4
Aursnes Kiosk & Bistro,15623.8,96077.9,12883.3,61219.3,26480.7,37704.0,26344.3,0.0,23617.0,95745.8,20059.1,34383.8,26095.5,43849.7,27528.6,33248.3,3680.0,26689.8,23619.6,126059.1,27372.4,26285.1,14963.7,10400.3,26174.9,56453.1,66637.6,43782.4,55735.3,26365.0,11772.1,33108.5,21929.5,15038.4,3122.1,56438.2,26083.2,43544.8,69423.8,17371.4,90612.4,34722.2,24126.3,68845.6,81298.8,26515.9,142915.8,143209.8,59661.6,81445.0,46204.3,177001.0,96025.7,63820.9,69218.1,119990.7,81355.7,54218.5,150389.9,90961.4,43814.2,56143.1,25305.7,21888.7,67138.6,3329.9,28625.2,23762.9,14963.8,173922.1,22427.5,20803.9,9547.6,23994.4,23906.7,36545.9,109567.0,43413.9,28771.0,26121.4,52215.2,25738.5,26702.6,16348.0,53004.1,122769.2,19579.5,15343.9,56235.5,26482.8,71584.6,25811.3,35577.4,70951.9,18483.0,37542.5,15994.2,15128.0,25865.2,16029.7,15871.3,15874.1,122988.3,74533.3,86945.7,95807.4,26397.9,26290.8,25559.0,61750.8,28810.3,26111.5,16230.7,90330.8,69342.4,59647.6,26389.5,182568.0,14797.4,46208.6,35115.0,42342.1,36073.8,17317.3,15406.8,12102.9,56577.6,27142.3,36480.1,36562.6,36558.1,35393.4,35393.4,17374.8,3820.8,14768.3,43614.0,44558.5,26219.1,93218.6,65338.6,56425.9,24487.9
"Blakstad, 6008 Ålesund",14447.5,105630.4,36152.5,62942.6,3092.0,40271.1,2955.6,23301.2,0.0,105298.3,22626.1,10995.1,2706.8,42673.5,4139.9,32072.1,26949.2,25513.6,295.3,139724.4,36924.9,2896.4,9751.1,33669.4,2786.1,58176.4,68360.9,42606.1,57458.6,2976.2,12314.1,31932.2,2680.6,8850.8,26391.3,58161.5,2694.5,42368.5,68247.5,16195.1,89436.1,33545.9,574.3,67669.3,83022.1,3127.2,156581.0,156875.0,61384.9,83168.3,48771.3,141470.4,105578.2,62644.7,68041.9,133655.9,83079.0,56785.5,164055.1,89785.2,42638.0,57866.4,1916.9,28703.5,68861.9,26599.1,5236.4,438.6,9528.5,138391.4,2369.5,3102.4,14473.0,442.4,22730.4,59815.1,123232.2,42237.6,5382.3,2732.7,51038.9,24562.3,3313.8,8825.7,62556.6,124673.9,4743.5,8643.7,57958.8,3094.0,70408.3,2422.6,34401.1,69775.6,5527.2,14153.7,26856.1,8589.3,2476.5,8337.8,8179.5,8182.3,125649.9,84085.8,88669.0,105359.9,3009.2,2902.1,2170.3,71303.3,5421.5,2722.8,15054.4,89154.6,68166.2,61370.9,25213.2,147037.4,9836.6,45032.3,58384.2,41165.9,37797.1,6906.7,9103.2,11809.6,58300.9,3753.6,59749.3,59831.8,59827.3,58662.6,58662.6,16198.5,27090.0,9807.5,42437.8,43382.2,2830.4,92042.3,67061.9,58149.2,870.9
Brasserie Posten,103303.2,332.1,72731.3,138690.3,108175.2,98617.2,108038.8,95487.1,105311.4,0.0,83781.7,104320.0,107790.0,131529.2,109223.1,120927.8,75761.1,114369.3,105314.1,92080.8,68748.9,107979.6,97905.1,68693.7,107869.3,141083.7,132139.4,131461.8,140923.1,108059.4,98738.5,120787.9,103623.9,97896.4,76196.3,140481.8,107777.7,131224.2,179228.7,105050.8,186681.5,122401.6,105820.7,178650.5,145255.2,108210.4,108937.5,109231.5,139320.2,145401.3,111414.5,174936.9,279.9,173625.9,179023.1,86012.4,145312.0,103412.5,116411.6,202022.3,131493.6,140738.0,107000.1,78635.2,131964.1,76031.8,110319.6,105457.4,97682.5,171857.9,104121.9,102907.3,96514.1,105688.8,111586.1,42832.6,75287.5,131093.3,110465.5,107815.9,162020.1,113418.0,108397.0,96615.2,91335.0,120705.0,102321.6,97499.4,140348.9,108177.2,181389.6,107505.7,123256.8,180756.8,100586.5,119236.9,81058.4,98586.9,107559.6,97724.1,97565.7,97568.6,120924.1,28960.5,155164.0,61.6,108092.3,107985.2,107253.4,38667.5,110504.7,107806.0,103910.1,186400.0,179147.4,139306.3,114068.9,180503.9,97788.9,163868.6,44646.4,130021.6,126652.8,99972.4,97104.3,100665.3,140477.9,108836.8,42793.2,42629.3,42624.8,44066.7,44066.7,105054.2,76072.4,97818.0,131293.5,132237.9,107913.5,189287.7,133327.8,140571.7,106182.3
