,Depot,"Geiranger, 6216 Geiranger","Storfjordvegen 550, 6260 Skodje","Sæbøvegen 26, 6165 Sæbø","Parkgata 2, 6003 Ålesund","Langsten, 6264 Tennfjord","Ålesund, 6002 Ålesund",Aursnes Kiosk & Bistro,"Blakstad, 6008 Ålesund",Brasserie Posten,"Digernes, 6057 Ellingsøy","Moa, 6010 Ålesund",LORKENESTORGET,Brygga Sportsbar,BROGATA 1,Bunnpris Hareid,"Ikornes, 6222 Ikornnes",Bunnpris Langevåg,Bunnpris Nørve,Bunnpris Olden,Bunnpris Sjøholt,SKAREGATA 1,Bunnpris Spjelkavik,Bunnpris Straumgjerde,NEDRE STRANDGATE 9,Bunnpris Ørsta,"Volda, 6100 Volda",Café Nova,Det Lille Napoli,KIRKEGATA 1 A,Gamle Blindheimsveg 25,Eurospar Hareid,LARSGÅRDSVEGEN 19,Eurospar Moa,Eurospar Sykkylven,Eurospar Ørsta,Rasmus Rønnebergs gate 21,"Ulsteinvik, 6065 Ulsteinvik","Fosnavåg, 6090 Fosnavåg","Sunde, 6030 Sunde",Fiskå Brygge Gjestgiveri,"Hareid, 6060 Hareid","Hatlane, 6008 Ålesund",Herøy omsorgssenter,Hjørundfjordheimen,KONGENS GATE 27,Innvik,Innvik Fjordhotell,"Hovdebygda, 6160 Hovdebygda",Joker Bellingen,Joker Fiksdal,Joker Flatraket,Joker Geiranger,Joker Gursken,Joker Larsnes,Joker Loen,Joker Sæbø,Joker Tomrefjord,Joker,Joker Åram,KaffeBaren AS,Kiwi Meieribygget Ørsta,SUNDGATA 8,Kiwi Skodje,Kiwi Volda,Kiwi Sykkylven,SKARBØVIKGATA 25,NØRVEGATA 23,SPJELKAVIKVEGEN 42,Kiwi Deknepollen,"Eggesbønes, 6008 Ålesund",NEDRE KLOKKERSUNDVEGEN 2,FLISNESVEGEN 1,"Kverve, 6008 Ålesund","Fiskarstrand, 6037 Eidsnes",Kiwi Stranda,Kiwi Stryn,Kiwi Ulsteinvik,"Valderøy, 6050 Valderøya",RASMUS RØNNEBERGS GATE 6,Kiwi Myrvåg,Kiwi Langevåg,NEDRE STRANDGATE 51,LERSTADVEGEN 545,Kiwi Vestnes,Kiwi Nordfjordeid,SMEDGARDEN 1,"Vallekrysset, 6013 Ålesund","Ørsta, 6150 Ørsta",KONGENS GATE 30,"Larsnes, 6098 Nerlandsøy",KEISER WILHELMS GATE 32,"Hjørungavåg, 6092 Fosnavåg",Meny Fosnavåg,LERSTADVEGEN 291,"Giske, 6050 Valderøya","Solavågen, 6240 Ørskog","HIG, 6010 Ålesund",KORSEGATA 4,POSTVEGEN 11,POSTVEGEN 17,POSTVEGEN 15,"Nordfjordeid, 6770 Nordfjordeid",Nærbutikken Norddal,Nærbutikken Rovde,Olebuda,Quality Hotel Waterfront,SORENSKRIVER BULLS GATE 7,RÅDSTUGATA 3B,"Rekkedal, 6210 Valldal",OLE THORESENS GATE 16,RASMUS RØNNEBERGS GATE 4,SOLAVÅGSEIDET 76,Spar Fiskåbygd,Spar Fosnavåg,Spar Hovdebygda,Spar Langevåg,Spar Raudeberg,Spjelkavikvegen 61,Spar Straumane,Spar Svingen,Spar Ulsteinvik,Spar Vartdal,Øvre Geilegrend 1,Esso Spjelkavik,St1 Vegsund,St1 Ørsta,"Ålesund, 6009 Ålesund",Storfjord kulturhus,Stranda Bakeri og Konditori,"Stranda, 6200 Stranda","Stranda, 6200 Stranda",Stranda omsorgssenter,"Sundgata 26, 6030 Sunde","Sykkylven, 6230 Sykkylven",Thon Hotel Baronen,Ulstein Arena,Ulstein sjukeheim,"Rådhuset, 6002 Ålesund","Fiskå, 6139 Fiskå",Volda omsorgssenter sjukeheim,"Ørsta, 6150 Ørsta","Åsehaugen 5, 6017 Ålesund"
Depot,0.0,7109.4,2563.3,4676.5,1342.1,2484.8,1330.2,1747.2,1106.2,7048.6,1365.5,1842.2,1299.9,3211.9,1435.1,2432.1,2006.3,1196.3,1111.5,9094.6,2250.5,1306.5,537.4,2444.4,1310.0,3991.4,4736.6,3209.0,3868.0,1328.2,418.0,2422.0,1033.6,525.8,1939.3,3944.5,1297.0,3176.1,4821.3,450.1,7841.9,2626.5,1158.3,4768.2,5567.2,1334.4,10087.3,10119.3,4184.3,5578.0,3071.3,10889.5,7090.9,4400.8,4736.1,8634.5,5564.0,3674.8,10597.2,7878.3,3221.2,3913.0,1211.6,1751.3,4761.9,1974.5,1534.0,1132.8,514.7,10764.0,1109.2,1065.9,534.5,1177.6,956.6,4073.8,7963.7,3153.9,1588.4,1296.5,3697.2,1112.3,1352.5,618.7,3715.0,8059.9,1006.7,537.6,3919.9,1329.6,4960.8,1261.5,2655.6,4970.2,853.5,2080.6,1653.7,541.1,1265.6,605.4,572.8,577.0,8087.9,5847.7,7015.0,7054.0,1324.9,1311.7,1242.7,4623.8,1583.5,1297.7,331.7,7784.2,4808.0,4198.9,1173.5,11398.3,489.2,3295.4,3930.2,3089.1,2683.9,737.6,556.1,354.8,3961.8,1398.2,4069.8,4076.8,4076.2,3972.5,3972.5,450.9,2038.3,486.6,3184.0,3201.0,1318.3,7976.6,4604.2,3947.0,1195.0
"Geiranger, 6216 Geiranger",7146.7,0.0,7376.6,8694.8,7457.5,7023.5,7445.6,7377.3,7221.6,64.5,5934.6,7283.0,7415.3,9948.4,7550.5,9168.6,7257.4,7932.8,7226.9,5716.4,4955.7,7421.9,6755.4,6742.3,7425.4,8692.0,7898.7,9945.5,8628.0,7443.6,6931.4,9158.5,7149.0,6717.9,7265.4,8583.0,7412.4,9912.6,10862.1,7186.6,11361.4,9363.0,7273.7,10809.0,8684.7,7449.8,6709.1,6741.1,8433.6,8695.5,7575.4,10465.9,20.7,10441.6,10776.9,5256.3,8681.5,6970.6,7219.0,12280.2,9957.7,8612.2,7327.0,5637.5,7897.6,7275.6,7649.4,7248.2,6716.7,10340.4,7224.6,7185.7,6777.3,7293.0,7693.1,5163.0,4559.0,9890.4,7703.8,7411.9,9738.0,7848.8,7467.9,6623.8,6199.9,7260.2,7179.5,6666.7,8569.0,7445.0,11001.6,7376.9,9392.1,11011.0,6973.3,8196.0,5876.2,6781.9,7381.0,6720.8,6688.2,6692.4,7231.5,1764.2,10462.5,59.1,7440.3,7427.1,7358.1,3093.0,7698.9,7413.1,7068.2,11303.7,10848.8,8448.2,7910.0,10974.7,6718.0,9848.8,5379.9,9825.6,9420.4,6911.9,6669.0,6876.8,8581.5,7513.6,5156.9,5128.1,5127.5,5289.8,5289.8,7187.4,7302.0,6720.6,9920.5,9937.5,7433.7,11496.1,7997.4,8603.7,7310.4
"Storfjordvegen 550, 6260 Skodje",2579.6,7358.8,0.0,5709.4,3275.9,3921.6,3264.0,858.6,3040.0,7298.0,2802.3,3776.0,3233.7,5381.3,3368.9,4601.5,795.1,3365.7,3045.3,7837.7,3289.4,3240.3,2471.2,1243.6,3243.8,5024.3,5769.5,5378.4,4900.9,3262.0,2258.1,4591.4,2967.4,2459.6,728.1,4977.4,3230.8,5345.5,6990.7,2619.5,9817.6,4795.9,3092.1,6937.6,6402.0,3268.2,8830.4,8862.4,5217.2,6385.8,4508.1,10714.2,7340.3,6570.2,6905.5,7377.6,6382.1,5111.6,9340.3,10047.7,5390.6,4945.9,3145.4,2930.6,5794.8,763.3,3467.8,3066.6,2448.5,10588.7,3043.0,2999.7,2104.0,3111.4,3126.0,2273.5,6706.8,5323.3,3522.2,3230.3,5866.6,3281.7,3286.3,2552.5,4753.9,7508.5,2940.5,2471.4,4952.8,3263.4,7130.2,3195.3,4825.0,7139.6,2787.3,4014.4,2598.5,2474.9,3199.4,2539.2,2506.6,2510.8,7479.8,6097.1,8047.9,7303.4,3258.7,3245.5,3176.5,4820.9,3517.3,3231.5,2501.1,9759.9,6977.4,5231.8,3342.9,11223.0,2423.0,5464.8,2129.9,5258.5,3716.8,2671.4,2489.9,2258.9,4994.7,3332.0,2269.5,2276.5,2275.9,2172.2,2172.2,2620.3,827.1,2420.4,5353.4,5370.4,3252.1,9952.3,5637.1,4979.9,3128.8
"Sæbøvegen 26, 6165 Sæbø",4656.2,8715.8,5695.9,0.0,5583.0,6725.7,5571.1,5201.5,5347.1,8669.6,5606.4,6083.1,5540.8,2793.0,5676.0,3381.9,4982.2,5176.0,5352.4,5306.4,6491.4,5547.4,4778.3,5346.8,5550.9,872.0,1395.9,2799.4,808.0,5569.1,4658.9,3378.7,5274.5,4766.7,4990.2,763.0,5537.9,2794.5,3657.5,4308.8,5611.2,3512.6,5399.2,3604.4,1779.0,5575.3,6299.1,6331.1,1010.8,1789.8,7312.2,7477.4,8697.3,3237.0,3572.3,4846.3,1775.8,7915.7,6809.0,6427.1,2804.6,792.2,5452.5,5992.2,1380.9,5000.4,5774.9,5373.7,4755.6,7351.9,5350.1,5306.8,4775.4,5418.5,4936.3,5952.7,4175.5,2776.4,5829.3,5537.4,2533.4,5092.0,5593.4,4859.6,7955.9,4271.7,5247.6,4778.5,749.0,5570.5,3797.0,5502.4,3227.5,3806.4,5094.4,6321.5,5894.6,4782.0,5506.5,4846.3,4813.7,4817.9,4299.7,9776.3,3841.5,8664.2,5565.8,5552.6,5483.6,8500.1,5824.4,5538.6,4318.8,5553.5,3644.2,1025.4,5153.2,7986.2,4730.1,2644.2,5909.7,2852.5,1998.1,4978.5,4797.0,4595.7,761.5,5639.1,5948.7,5955.7,5955.1,5851.4,5851.4,4309.6,5026.8,4727.5,2824.1,2745.8,5559.2,5745.9,1430.7,783.7,5435.9
"Parkgata 2, 6003 Ålesund",1346.8,7437.1,3285.4,5613.1,0.0,2778.7,59.5,2469.3,275.5,7376.3,1693.2,869.0,70.4,4148.5,172.8,3368.7,2728.4,2132.9,298.0,10031.2,2578.2,121.4,993.0,3166.5,61.1,4928.0,5673.2,4145.6,4804.6,57.6,1140.1,3358.6,436.5,905.9,2661.4,4881.1,122.2,4112.7,5757.9,1386.7,8778.5,3563.1,308.7,5704.8,6503.8,149.3,11023.9,11055.9,5120.9,6514.6,3365.2,11826.1,7418.6,5337.4,5672.7,9571.1,6500.6,3968.7,11533.8,8814.9,4157.8,4849.6,153.9,2079.0,5698.5,2696.6,271.7,319.3,954.3,11700.6,512.1,475.2,1256.6,328.0,1893.2,4795.9,8900.3,4090.5,326.1,72.5,4633.8,2048.9,100.7,900.9,4042.7,8996.5,646.6,866.8,4856.5,144.5,5897.4,118.5,3592.2,5906.8,605.8,1107.4,2022.7,872.4,101.9,876.2,843.6,847.8,9024.5,6175.4,7951.6,7381.7,73.1,143.8,139.9,4951.5,321.2,68.7,1268.3,8720.8,5744.6,5135.5,2110.1,12334.9,946.2,4232.0,4652.3,4025.7,3620.5,726.2,920.8,1076.9,4898.4,146.4,4791.9,4798.9,4798.3,4694.6,4694.6,1387.5,2760.4,943.6,4120.6,4137.6,133.2,8913.2,5540.8,4883.6,364.3
"Langsten, 6264 Tennfjord",2483.2,6992.6,3933.2,6749.5,2761.5,0.0,2749.6,3117.1,2558.1,6931.8,1258.7,2102.9,2719.3,5284.9,2854.5,4505.1,3376.2,3269.3,2563.4,11007.9,2133.7,2725.9,2091.9,3814.3,2729.4,6064.4,6809.6,5282.0,5941.0,2747.6,2276.5,4495.0,2485.5,2054.4,3309.2,6017.5,2716.4,5249.1,6894.3,2523.1,9914.9,4699.5,2610.2,6841.2,7640.2,2753.8,12000.6,12032.6,6257.3,7651.0,1477.5,12962.5,6974.1,6473.8,6809.1,10547.8,7637.0,2073.1,12510.5,9951.3,5294.2,5986.0,2631.0,1396.8,6834.9,3344.4,2953.4,2584.7,2053.2,12837.0,2561.1,2522.2,2393.0,2629.5,3029.6,5443.7,9877.0,5226.9,3007.8,2715.9,5770.2,3185.3,2771.9,1960.3,2859.6,10132.9,2516.0,2003.2,5992.9,2749.0,7033.8,2680.9,4728.6,7043.2,2309.8,3065.8,1616.0,2118.4,2685.0,2057.3,2024.7,2028.9,10160.9,5730.9,9088.0,6937.2,2744.3,2731.1,2662.1,4507.0,3002.9,2717.1,2404.7,9857.2,6881.0,6271.9,3246.5,13471.3,2054.5,5368.4,5300.1,5162.1,4756.9,2248.4,2005.5,2213.3,6034.8,2817.6,5439.7,5446.7,5446.1,5342.4,5342.4,2523.9,3408.2,2057.1,5257.0,5274.0,2737.7,10049.6,6677.2,6020.0,2646.9
"Ålesund, 6002 Ålesund",1333.6,7423.9,3272.2,5599.9,39.5,2765.5,0.0,2456.1,262.3,7363.1,1680.0,855.8,57.2,4135.3,159.6,3355.5,2715.2,2119.7,284.8,10018.0,2565.0,108.2,979.8,3153.3,47.9,4914.8,5660.0,4132.4,4791.4,44.4,1126.9,3345.4,423.3,892.7,2648.2,4867.9,109.0,4099.5,5744.7,1373.5,8765.3,3549.9,295.5,5691.6,6490.6,136.1,11010.7,11042.7,5107.7,6501.4,3352.0,11812.9,7405.4,5324.2,5659.5,9557.9,6487.4,3955.5,11520.6,8801.7,4144.6,4836.4,140.7,2065.8,5685.3,2683.4,258.5,306.1,941.1,11687.4,498.9,462.0,1243.4,314.8,1880.0,4782.7,8887.1,4077.3,312.9,59.3,4620.6,2035.7,87.5,887.7,4029.5,8983.3,633.4,853.6,4843.3,131.3,5884.2,105.3,3579.0,5893.6,592.6,1094.2,2009.5,859.2,88.7,863.0,830.4,834.6,9011.3,6162.2,7938.4,7368.5,59.9,130.6,126.7,4938.3,308.0,55.5,1255.1,8707.6,5731.4,5122.3,2096.9,12321.7,933.0,4218.8,4639.1,4012.5,3607.3,713.0,907.6,1063.7,4885.2,133.2,4778.7,4785.7,4785.1,4681.4,4681.4,1374.3,2747.2,930.4,4107.4,4124.4,120.0,8900.0,5527.6,4870.4,351.1
Aursnes Kiosk & Bistro,1793.4,7362.1,830.4,5177.3,2489.7,3135.4,2477.8,0.0,2253.8,7301.3,2016.1,2989.8,2447.5,4595.1,2582.7,3815.3,273.4,2579.5,2259.1,7905.1,2503.2,2454.1,1685.0,711.5,2457.6,4492.2,5237.4,4592.2,4368.8,2475.8,1471.9,3805.2,2181.2,1673.4,206.4,4445.3,2444.6,4559.3,6204.5,1833.3,9225.1,4009.7,2305.9,6151.4,6068.0,2482.0,8897.8,8929.8,4685.1,6078.8,3721.9,10781.6,7343.6,5784.0,6119.3,7445.0,6064.8,4325.4,9407.7,9261.5,4604.4,4413.8,2359.2,2144.4,5262.7,241.6,2681.6,2280.4,1662.3,10656.1,2256.8,2213.5,1317.8,2325.2,2339.8,2340.9,6774.2,4537.1,2736.0,2444.1,5080.4,2495.5,2500.1,1766.3,3967.7,7575.9,2154.3,1685.2,4420.7,2477.2,6344.0,2409.1,4038.8,6353.4,2001.1,3228.2,1812.3,1688.7,2413.2,1753.0,1720.4,1724.6,7547.2,6100.4,7515.8,7306.7,2472.5,2459.3,2390.3,4876.5,2731.1,2445.3,1714.9,9167.4,6191.2,4699.7,2556.7,11290.4,1636.8,4678.6,2197.3,4472.3,3184.7,1885.2,1703.7,1472.7,4462.6,2545.8,2336.9,2343.9,2343.3,2239.6,2239.6,1834.1,305.4,1634.2,4567.2,4584.2,2465.9,9359.8,5105.0,4447.8,2342.6
"Blakstad, 6008 Ålesund",1106.0,7196.3,3044.6,5372.3,269.1,2571.7,257.2,2228.5,0.0,7135.5,1452.4,769.2,226.9,3907.7,362.1,3127.9,2487.6,1892.1,33.1,9790.4,2337.4,233.5,752.2,2925.7,237.0,4687.2,5432.4,3904.8,4563.8,255.2,899.3,3117.8,195.7,665.1,2420.6,4640.3,224.0,3871.9,5517.1,1145.9,8537.7,3322.3,60.6,5464.0,6263.0,261.4,10783.1,10815.1,4880.1,6273.8,3158.2,11585.3,7177.8,5096.6,5431.9,9330.3,6259.8,3761.7,11293.0,8574.1,3917.0,4608.8,138.6,1838.2,5457.7,2455.8,461.0,54.4,713.5,11459.8,260.2,234.4,1015.8,79.9,1652.4,4555.1,8659.5,3849.7,515.4,223.5,4393.0,1808.1,279.5,660.1,3801.9,8755.7,405.8,626.0,4615.7,256.6,5656.6,188.5,3351.4,5666.0,365.0,1007.6,1781.9,631.6,192.6,635.4,602.8,607.0,8783.7,5934.6,7710.8,7140.9,251.9,238.7,169.7,4710.7,510.5,224.7,1027.5,8480.0,5503.8,4894.7,1869.3,12094.1,705.4,3991.2,4411.5,3784.9,3379.7,485.4,680.0,836.1,4657.6,325.2,4551.1,4558.1,4557.5,4453.8,4453.8,1146.7,2519.6,702.8,3879.8,3896.8,245.3,8672.4,5300.0,4642.8,88.8
Brasserie Posten,7082.2,60.8,7312.1,8651.1,7393.0,6959.0,7381.1,7312.8,7157.1,0.0,5870.1,7218.5,7350.8,9883.9,7486.0,9104.1,7192.9,7868.3,7162.4,5672.7,4891.2,7357.4,6690.9,6677.8,7360.9,8648.3,7855.0,9881.0,8584.3,7379.1,6866.9,9094.0,7084.5,6653.4,7200.9,8539.3,7347.9,9848.1,10818.4,7122.1,11317.7,9298.5,7209.2,10765.3,8641.0,7385.3,6665.4,6697.4,8389.9,8651.8,7510.9,10422.2,42.3,10397.9,10733.2,5212.6,8637.8,6906.1,7175.3,12236.5,9893.2,8568.5,7262.5,5573.0,7853.9,7211.1,7584.9,7183.7,6652.2,10296.7,7160.1,7121.2,6712.8,7228.5,7628.6,5098.5,4515.3,9825.9,7639.3,7347.4,9694.3,7784.3,7403.4,6559.3,6135.4,7216.5,7115.0,6602.2,8525.3,7380.5,10957.9,7312.4,9327.6,10967.3,6908.8,8131.5,5811.7,6717.4,7316.5,6656.3,6623.7,6627.9,7187.8,1699.7,10418.8,5.4,7375.8,7362.6,7293.6,3028.5,7634.4,7348.6,7003.7,11260.0,10805.1,8404.5,7845.5,10931.0,6653.5,9805.1,5315.4,9761.1,9355.9,6847.4,6604.5,6812.3,8537.8,7449.1,5092.4,5063.6,5063.0,5225.3,5225.3,7122.9,7237.5,6656.1,9856.0,9873.0,7369.2,11452.4,7953.7,8560.0,7245.9
