,62.4293036_6.3280543,62.4728130_6.1584737,62.4648029_6.1111520,62.4749043_6.2216744,62.4719208_6.1427615,62.4677730_6.3069108,62.4726771_6.1614843,62.5581807_6.2647180,62.4695645_6.6247074,62.4735740_6.1568680,62.4728964_6.1563672,62.4699296_6.1460985,62.4712466_6.1538577,62.4712260_6.1528700,62.4714696_6.1536135,62.4752591_6.1530952,62.4714804_6.1512358,62.4712404_6.1617014,62.4744125_6.1566436,62.4756638_6.1552199,62.4713488_6.1559244,62.4709540_6.1530810,62.4755287_6.1560491,62.4695051_6.1521612,62.4744062_6.1557970,62.4727740_6.1650560,62.4716873_6.1609571,62.4727409_6.2309420,62.4731906_6.1567012,62.4604828_6.2686763,62.4643885_6.3172074,62.4723101_6.1583677,62.4746740_6.1569160,62.4752788_6.1565513,62.4697710_6.1256370,62.4735516_6.1564804,62.4715115_6.2065205,62.4700820_6.1400480,62.4273801_6.3156902,62.4723820_6.2406150,62.4710560_6.1666930,62.4636310_6.3125440,62.4729228_6.1581093,62.4713742_6.1591680,62.4712141_6.1588682,62.4728188_6.1583341,62.4718628_6.1603005,62.4712525_6.1578843,62.4725947_6.1574179,62.4819990_6.1853070,62.4725015_6.1581388,62.4720040_6.2358180,62.4660480_6.3563750,62.4648170_6.3515225,62.4650820_6.3515200,62.4651818_6.3478662,62.4629970_6.3630480,62.4660900_6.1094880,62.4708459_6.1312305,62.4713955_6.1594019,62.4719148_6.1593252,62.4667330_6.1136780,62.4666932_6.1141750,62.4722192_6.1522983,62.4749561_6.1563663,62.4703741_6.1502732,62.6719230_6.6749030,62.4366350_6.3705230,62.4710580_6.3421710,62.4716084_6.3453172,62.4714714_6.3447286,62.4622693_6.3640886,62.4420250_6.3719770,62.4635290_6.3644850,62.4717260_6.3633530,62.4319749_6.4127797,62.4664420_6.3512370,62.4669725_6.3502766,62.4624300_6.3636223,62.4673802_6.3564385,62.4842080_6.3899840,62.4686300_6.3477760,62.4666080_6.2460440,62.4683680_6.2920740,62.4420055_6.2580881,62.4431074_6.2726405,62.4444111_6.1943517,62.4424369_6.1886657,62.4415864_6.2751885,62.4390436_6.1854688,62.4246541_6.3055775,62.4421478_6.1903413,62.4376538_6.1879915,62.4407026_6.1998007,62.4378240_6.2349440,62.4402429_6.2730816
62.4293036_6.3280543,0.0,16732.9,19803.0,13705.3,17664.7,9215.0,16736.1,49427.8,19780.1,16856.3,16832.1,17255.6,16979.1,16998.0,16959.7,17288.8,17032.6,16416.7,17118.7,17148.5,16722.9,16969.2,17373.6,17074.8,17108.1,16639.6,16753.3,13080.4,16864.1,10437.2,8175.0,16940.9,17142.8,17340.5,18386.3,17004.4,14620.6,17560.3,3404.0,12787.2,16163.4,8254.4,16754.0,16656.7,16538.7,16740.1,16586.7,16598.4,16830.2,17044.1,16941.3,12908.7,5960.6,5896.0,5887.7,6275.7,5821.4,19668.0,18100.9,16669.0,16630.4,19452.0,19482.9,17155.5,17332.6,17032.6,60765.0,3241.1,6887.3,6729.0,6731.8,5655.1,3955.1,5821.5,7205.7,6114.0,6248.3,6201.5,5707.8,6198.2,9297.9,6413.3,11661.5,9340.7,9400.5,8752.7,13660.0,13591.4,8491.1,13865.3,4310.6,13568.3,13783.7,12928.2,11029.3,8322.7
62.4728130_6.1584737,16743.3,0.0,3320.3,4406.1,1182.0,9967.3,159.1,54189.0,30434.9,144.6,99.2,772.9,350.8,369.6,331.3,511.6,549.9,361.1,295.0,436.8,406.9,391.8,596.4,686.3,342.1,342.9,225.7,4273.2,152.4,7039.3,9202.6,208.0,270.9,563.3,1903.6,376.0,2963.4,1077.6,17349.5,4976.4,577.4,9363.2,21.1,291.7,514.8,7.2,174.8,574.4,97.3,2593.0,208.4,5097.9,11480.3,11146.6,11138.2,10823.2,12046.9,3185.3,1618.2,303.9,163.0,2969.3,3000.2,672.8,555.4,549.9,65526.2,15109.3,10633.6,10475.3,10478.1,12132.4,14610.0,11824.3,11121.5,16768.8,10986.3,10939.6,11933.3,11010.6,13250.2,11151.3,5398.3,7823.0,23346.0,22698.2,27605.5,27536.9,22436.6,27810.8,18256.1,27513.8,27729.2,26873.7,24974.8,22268.2
62.4648029_6.1111520,19779.9,3315.0,0.0,7442.7,2447.8,13003.9,3474.1,57225.6,33471.5,3459.6,3215.7,2545.6,2967.7,2948.9,2987.2,3564.8,2812.8,3485.9,3394.6,3638.7,3154.1,2926.7,3649.5,3126.4,3384.0,3657.8,3433.7,7309.8,3467.4,10075.9,12239.1,3394.1,3418.7,3616.4,1453.5,3280.3,6000.0,2240.9,20386.1,8013.0,3710.0,12399.8,3293.9,3337.1,3261.9,3307.8,3489.7,3278.7,3283.4,5629.6,3394.5,8134.5,14516.9,14183.2,14174.8,13859.8,15083.5,286.6,1812.6,3349.4,3478.0,351.0,348.5,2918.8,3608.5,2803.1,68562.8,18145.9,13670.2,13511.9,13514.7,15169.0,17646.5,14860.9,14158.1,19805.4,14022.9,13976.2,14969.9,14047.2,16286.7,14187.9,8434.8,10859.6,26382.6,25734.8,30642.1,30573.5,25473.2,30847.4,21292.7,30550.4,30765.8,29910.3,28011.4,25304.8
62.4749043_6.2216744,13781.0,4128.5,7198.6,0.0,5060.3,7005.0,4131.7,50929.2,27472.6,4251.9,4227.7,4651.2,4374.7,4393.6,4355.3,4684.5,4428.2,3812.3,4514.3,4544.1,4118.5,4364.8,4769.2,4470.4,4503.7,4035.2,4149.0,894.2,4259.7,3875.9,6240.2,4336.5,4538.4,4736.1,5781.9,4400.0,1517.9,4955.9,14387.2,1441.1,3559.0,6400.8,4149.6,4052.3,3934.3,4135.7,3982.3,3994.0,4225.8,4439.7,4336.9,1367.2,8517.9,8184.2,8175.9,7860.9,9084.6,7063.6,5496.5,4064.6,4026.1,6847.6,6878.5,4551.2,4728.2,4428.2,62266.4,12146.9,7671.3,7512.9,7515.7,9170.1,11647.6,8862.0,8159.1,13806.5,8023.9,7977.2,8970.9,8048.2,10287.8,8188.9,2234.9,4860.6,20383.6,19735.8,24643.1,24574.6,19474.3,24848.5,15293.7,24551.5,24766.9,23911.4,22012.4,19305.8
62.4719208_6.1427615,17664.2,1199.2,2436.7,5326.9,0.0,10888.2,1358.3,55109.8,31355.8,1343.8,1100.0,480.4,851.9,833.1,871.4,1449.0,595.9,1370.2,1278.8,1522.9,1038.3,810.9,1533.8,743.9,1268.2,1542.1,1318.0,5194.0,1351.6,7960.1,10123.4,1278.4,1303.0,1500.6,1020.0,1164.5,3884.3,310.4,18270.4,5897.2,1594.2,10284.0,1178.1,1221.3,1146.1,1192.0,1374.0,1163.0,1167.6,3513.8,1278.7,6018.8,12401.1,12067.4,12059.0,11744.1,12967.7,2301.6,711.3,1233.6,1362.2,2085.7,2116.5,701.9,1492.7,637.5,66447.0,16030.1,11554.4,11396.1,11398.9,13053.3,15530.8,12745.2,12042.3,17689.6,11907.1,11860.4,12854.1,11931.4,14171.0,12072.1,6319.1,8743.8,24266.8,23619.0,28526.3,28457.8,23357.5,28731.7,19176.9,28434.6,28650.1,27794.6,25895.6,23189.0
62.4677730_6.3069108,9161.1,9903.0,12973.2,6875.4,10834.9,0.0,9906.2,46309.4,22852.7,10026.5,10002.3,10425.8,10149.3,10168.2,10129.8,10459.0,10202.8,9586.8,10288.9,10318.6,9893.1,10139.4,10543.8,10245.0,10278.3,9809.8,9923.5,6250.6,10034.3,5232.8,2544.0,10111.1,10313.0,10510.6,11556.5,10174.5,7790.8,10730.4,9767.3,5957.3,9333.5,2840.5,9924.2,9826.9,9708.9,9910.2,9756.9,9768.5,10000.4,10214.3,10111.4,6078.9,3366.9,2969.7,2961.3,2646.3,3961.0,12838.1,11271.1,9839.2,9800.6,12622.2,12653.0,10325.7,10502.7,10202.7,57646.5,7527.0,3051.4,2893.1,2895.9,3844.8,7027.7,3738.4,3539.3,9186.6,2815.0,2726.3,3847.3,2924.6,5667.9,2369.5,5240.8,2919.9,15763.8,15115.9,20023.3,19954.7,14854.4,20228.6,10673.9,19931.6,20147.0,19291.5,17392.6,14686.0
62.4726771_6.1614843,16584.2,159.1,3479.5,4246.9,1341.1,9808.2,0.0,54029.9,30275.8,282.6,258.4,932.0,509.9,528.8,490.5,649.6,709.1,379.5,433.0,574.7,717.3,551.0,734.4,845.4,480.1,183.7,338.7,4114.1,290.4,6880.1,9043.4,367.2,408.9,701.2,2062.8,535.1,2804.3,1236.7,17190.4,4817.2,418.2,9204.1,180.3,404.7,533.1,166.3,287.8,592.8,256.5,2433.8,367.6,4938.8,11321.2,10987.4,10979.1,10664.1,11887.8,3344.4,1777.4,416.9,276.0,3128.5,3159.3,832.0,693.3,709.0,65367.0,14950.1,10474.5,10316.1,10318.9,11973.3,14450.8,11665.2,10962.3,16609.7,10827.2,10780.4,11774.1,10851.4,13091.0,10992.1,5239.1,7663.8,23186.8,22539.0,27446.4,27377.8,22277.5,27651.7,18096.9,27354.7,27570.1,26714.6,24815.6,22109.1
62.5581807_6.2647180,49323.0,54045.0,57115.2,50561.8,54976.8,46071.5,54048.2,0.0,38122.7,54168.5,54144.2,54567.7,54291.3,54310.1,54271.8,54601.0,54344.8,53728.8,54430.8,54460.6,54035.0,54281.4,54685.8,54386.9,54420.2,53951.7,54065.5,49937.0,54176.2,48341.4,45992.2,54253.1,54455.0,54652.6,55698.5,54316.5,51477.2,54872.4,49929.3,49643.7,53475.5,46288.7,54066.1,53968.9,53850.9,54052.2,53898.9,53910.5,54142.3,51525.1,54253.4,49765.3,44060.0,43916.2,43907.8,44295.8,43925.0,56980.1,55413.1,53981.1,53942.6,56764.2,56795.0,54467.7,54644.7,54344.7,33081.9,47689.0,43743.9,43585.6,43588.4,43808.7,47189.7,43702.4,42635.0,49348.5,43566.0,43519.3,43811.3,43590.3,42484.3,43731.0,48927.2,46606.3,55925.7,55277.9,60185.2,60116.6,55016.3,60390.6,50835.8,60093.5,60308.9,59453.4,57554.5,54847.9
62.4695645_6.6247074,20043.5,30295.0,33365.1,27267.3,31226.8,22777.0,30298.2,38027.2,0.0,30418.4,30394.2,30817.7,30541.2,30560.1,30521.8,30850.9,30594.7,29978.8,30680.8,30710.6,30285.0,30531.3,30935.7,30636.9,30670.2,30201.7,30315.4,26642.5,30426.2,23999.3,21737.1,30503.0,30704.9,30902.5,31948.4,30566.4,28182.7,31122.3,20649.7,26349.2,29725.5,21816.5,30316.1,30218.8,30100.8,30302.1,30148.8,30160.4,30392.3,30606.2,30503.4,26470.8,19522.7,19458.1,19449.8,19837.8,19383.5,33230.0,31663.0,30231.1,30192.5,33014.1,33044.9,30717.6,30894.6,30594.6,49364.3,16659.3,20449.4,20291.1,20293.9,19217.2,16191.9,19383.6,20767.8,13967.4,19810.4,19763.6,19269.8,19760.3,22349.3,19975.3,25223.6,22902.8,26646.2,25998.4,30905.7,30837.1,25736.8,31111.0,21556.3,30814.0,31029.4,30173.9,28275.0,25568.4
62.4735740_6.1568680,16866.8,144.6,3464.9,4529.5,1326.6,10090.8,282.6,54312.5,30558.4,0.0,243.9,917.5,495.4,514.2,475.9,502.2,694.5,484.6,285.5,427.3,551.5,536.4,586.9,830.9,332.6,466.3,349.2,4396.7,7.8,7162.7,9326.0,352.7,261.4,553.8,2048.3,520.6,3086.9,1222.2,17473.0,5099.9,700.8,9486.7,165.7,415.1,638.3,151.8,298.2,697.9,241.9,2716.4,353.0,5221.4,11603.8,11270.0,11261.7,10946.7,12170.4,3329.9,1762.9,427.4,286.5,3114.0,3144.8,817.5,545.9,694.5,65649.6,15232.7,10757.1,10598.8,10601.6,12255.9,14733.4,11947.8,11244.9,16892.3,11109.8,11063.0,12056.7,11134.0,13373.6,11274.7,5521.7,7946.5,23469.5,22821.6,27729.0,27660.4,22560.1,27934.3,18379.5,27637.3,27852.7,26997.2,25098.2,22391.7
