,62.4293036_6.3280543,62.4728130_6.1584737,62.4648029_6.1111520,62.4749043_6.2216744,62.4719208_6.1427615,62.4677730_6.3069108,62.4726771_6.1614843,62.5581807_6.2647180,62.4695645_6.6247074,62.4735740_6.1568680,62.4728964_6.1563672,62.4699296_6.1460985,62.4712466_6.1538577,62.4712260_6.1528700,62.4714696_6.1536135,62.4752591_6.1530952,62.4714804_6.1512358,62.4712404_6.1617014,62.4744125_6.1566436,62.4756638_6.1552199,62.4713488_6.1559244,62.4709540_6.1530810,62.4755287_6.1560491,62.4695051_6.1521612,62.4744062_6.1557970,62.4727740_6.1650560,62.4716873_6.1609571,62.4727409_6.2309420,62.4731906_6.1567012,62.4604828_6.2686763,62.4643885_6.3172074,62.4723101_6.1583677,62.4746740_6.1569160,62.4752788_6.1565513,62.4697710_6.1256370,62.4735516_6.1564804,62.4715115_6.2065205,62.4700820_6.1400480,62.4273801_6.3156902,62.4723820_6.2406150,62.4710560_6.1666930,62.4636310_6.3125440,62.4729228_6.1581093,62.4713742_6.1591680,62.4712141_6.1588682,62.4728188_6.1583341,62.4718628_6.1603005,62.4712525_6.1578843,62.4725947_6.1574179,62.4819990_6.1853070,62.4725015_6.1581388,62.4720040_6.2358180,62.4660480_6.3563750,62.4648170_6.3515225,62.4650820_6.3515200,62.4651818_6.3478662,62.4629970_6.3630480,62.4660900_6.1094880,62.4708459_6.1312305,62.4713955_6.1594019,62.4719148_6.1593252,62.4667330_6.1136780,62.4666932_6.1141750,62.4722192_6.1522983,62.4749561_6.1563663,62.4703741_6.1502732,62.6719230_6.6749030,62.4366350_6.3705230,62.4710580_6.3421710,62.4716084_6.3453172,62.4714714_6.3447286,62.4622693_6.3640886,62.4420250_6.3719770,62.4635290_6.3644850,62.4717260_6.3633530,62.4319749_6.4127797,62.4664420_6.3512370,62.4669725_6.3502766,62.4624300_6.3636223,62.4673802_6.3564385,62.4842080_6.3899840,62.4686300_6.3477760,62.4666080_6.2460440,62.4683680_6.2920740,62.4420055_6.2580881,62.4431074_6.2726405,62.4444111_6.1943517,62.4424369_6.1886657,62.4415864_6.2751885,62.4390436_6.1854688,62.4246541_6.3055775,62.4421478_6.1903413,62.4376538_6.1879915,62.4407026_6.1998007,62.4378240_6.2349440,62.4402429_6.2730816
62.4293036_6.3280543,0.0,1269.5,1579.6,1171.2,1382.3,869.0,1278.9,3048.8,1523.4,1286.1,1278.4,1324.9,1296.5,1298.2,1294.8,1324.9,1303.9,1242.7,1304.4,1311.7,1265.6,1297.7,1334.4,1332.3,1308.4,1276.5,1269.1,1054.0,1286.9,1006.7,737.6,1297.0,1306.5,1329.6,1435.1,1293.0,1132.8,1352.5,331.7,1033.6,1211.6,767.9,1271.3,1260.4,1245.2,1270.2,1260.7,1251.6,1282.5,1253.2,1297.1,1059.5,563.2,525.8,518.5,560.8,537.4,1583.5,1407.4,1261.5,1256.7,1521.8,1534.0,1315.0,1328.7,1310.0,4960.6,421.6,605.4,572.8,577.0,489.2,418.0,514.7,618.7,534.5,567.6,537.6,505.0,547.5,756.6,558.5,1065.9,853.5,839.7,783.8,1208.3,1177.7,761.4,1202.9,418.5,1174.6,1181.0,1116.1,944.4,745.9
62.4728130_6.1584737,1277.3,0.0,331.9,448.6,134.6,794.0,14.3,3273.2,2176.0,24.9,8.9,77.2,33.3,35.0,31.6,65.8,56.2,46.2,39.0,50.5,61.6,37.1,75.3,97.1,47.8,30.8,26.1,364.0,25.7,577.1,656.7,27.5,36.9,70.5,187.4,37.8,249.8,104.8,1198.8,367.0,61.8,694.3,1.8,36.0,56.5,0.7,22.6,62.9,13.0,210.5,27.6,392.9,893.1,836.4,829.1,807.9,923.5,335.8,159.7,37.1,17.2,274.1,286.3,67.3,69.6,62.3,5185.0,1157.4,806.7,774.1,778.3,876.7,1070.6,884.8,831.4,1187.1,827.3,797.3,891.1,813.9,992.9,818.2,405.7,536.3,1706.8,1650.9,2075.4,2044.8,1628.5,2070.0,1285.6,2041.7,2048.1,1983.2,1811.5,1613.0
62.4648029_6.1111520,1573.6,334.3,0.0,744.9,263.5,1090.3,348.6,3569.5,2472.3,359.2,325.4,254.8,299.3,297.6,301.0,366.6,282.6,366.7,346.1,370.6,328.7,295.5,376.1,338.6,350.1,365.1,352.9,660.3,360.0,873.4,953.0,349.0,348.2,371.3,162.7,334.7,546.1,227.2,1495.1,663.3,380.7,990.6,332.5,344.2,327.5,333.6,356.9,335.4,334.5,506.8,349.1,689.2,1189.4,1132.7,1125.4,1104.2,1219.8,63.0,196.7,345.3,351.5,57.9,59.8,289.0,370.4,284.9,5481.3,1453.7,1103.0,1070.4,1074.6,1173.0,1366.9,1181.1,1127.7,1483.4,1123.6,1093.6,1187.4,1110.2,1289.2,1114.5,702.0,832.6,2003.1,1947.2,2371.7,2341.1,1924.8,2366.3,1581.9,2338.0,2344.4,2279.5,2107.8,1909.3
62.4749043_6.2216744,1191.7,423.2,733.3,0.0,536.0,708.4,432.6,3221.4,2090.4,439.8,432.1,478.6,450.2,451.9,448.5,478.6,457.6,396.4,458.1,465.4,419.3,451.4,488.1,486.0,462.1,430.2,422.8,160.6,440.6,461.5,571.1,450.7,460.2,483.3,588.8,446.7,230.2,506.2,1113.2,217.8,365.3,608.7,425.0,414.1,398.9,423.9,414.4,405.3,436.2,406.9,450.8,216.1,807.5,750.8,743.5,722.3,837.9,737.2,561.1,415.2,410.4,675.5,687.7,468.7,482.4,463.7,5133.2,1071.8,721.1,688.5,692.7,791.1,985.0,799.2,745.8,1101.5,741.7,711.7,805.5,728.3,907.3,732.6,290.1,450.7,1621.2,1565.3,1989.8,1959.2,1542.9,1984.4,1200.0,1956.1,1962.5,1897.6,1725.9,1527.4
62.4719208_6.1427615,1376.6,137.3,258.9,547.9,0.0,893.3,151.6,3372.5,2275.3,162.2,128.4,60.9,102.3,100.6,104.0,169.6,76.7,169.7,149.1,173.6,131.7,98.5,179.1,135.1,153.1,168.1,155.9,463.3,163.0,676.4,756.0,152.0,151.2,174.3,114.4,137.7,349.1,41.9,1298.1,466.3,183.7,793.6,135.5,147.2,130.5,136.6,159.9,138.4,137.5,309.8,152.1,492.2,992.4,935.7,928.4,907.2,1022.8,262.8,78.3,148.3,154.5,201.1,213.3,83.1,173.4,87.4,5284.3,1256.7,906.0,873.4,877.6,976.0,1169.9,984.1,930.7,1286.4,926.6,896.6,990.4,913.2,1092.2,917.5,505.0,635.6,1806.1,1750.2,2174.7,2144.1,1727.8,2169.3,1384.9,2141.0,2147.4,2082.5,1910.8,1712.3
62.4677730_6.3069108,866.6,790.2,1100.3,691.9,903.0,0.0,799.6,2896.3,1765.3,806.8,799.1,845.6,817.2,818.9,815.5,845.6,824.6,763.4,825.1,832.4,786.3,818.4,855.1,853.0,829.1,797.2,789.8,574.7,807.6,642.0,384.9,817.7,827.2,850.3,955.8,813.7,653.5,873.2,788.1,554.3,732.3,430.4,792.0,781.1,765.9,790.9,781.4,772.3,803.2,773.9,817.8,580.2,458.6,394.4,387.1,365.9,501.7,1104.2,928.1,782.2,777.4,1042.5,1054.7,835.7,849.4,830.7,4808.1,746.7,396.0,363.4,367.6,464.3,659.9,463.0,420.7,776.4,394.0,359.8,469.3,392.1,582.2,326.5,591.0,378.6,1296.1,1240.2,1664.7,1634.1,1217.8,1659.3,874.9,1631.0,1637.4,1572.5,1400.8,1202.3
62.4726771_6.1614843,1263.0,14.3,346.2,434.3,148.9,779.7,0.0,3258.9,2161.7,30.9,23.2,91.5,47.6,49.3,45.9,71.8,70.5,41.4,45.0,56.5,74.4,51.4,81.3,111.4,53.8,16.5,42.3,349.7,31.7,562.8,642.4,41.8,42.9,76.5,201.7,52.1,235.5,119.1,1184.5,352.7,47.5,680.0,16.1,52.2,54.0,15.0,38.8,60.4,27.3,196.2,41.9,378.6,878.8,822.1,814.8,793.6,909.2,350.1,174.0,53.3,33.4,288.4,300.6,81.6,75.6,76.6,5170.7,1143.1,792.4,759.8,764.0,862.4,1056.3,870.5,817.1,1172.8,813.0,783.0,876.8,799.6,978.6,803.9,391.4,522.0,1692.5,1636.6,2061.1,2030.5,1614.2,2055.7,1271.3,2027.4,2033.8,1968.9,1797.2,1598.7
62.5581807_6.2647180,3038.2,3243.9,3554.0,3178.1,3356.7,2875.9,3253.3,0.0,2497.9,3260.5,3252.8,3299.3,3270.9,3272.6,3269.2,3299.3,3278.3,3217.1,3278.8,3286.1,3240.0,3272.1,3308.8,3306.7,3282.8,3250.9,3243.5,3060.9,3261.3,3071.0,2803.4,3271.4,3280.9,3304.0,3409.5,3267.4,3139.7,3326.9,2959.7,3040.5,3186.0,2848.9,3245.7,3234.8,3219.6,3244.6,3235.1,3226.0,3256.9,3044.6,3271.5,3066.4,2654.0,2609.4,2602.1,2644.4,2646.9,3557.9,3381.8,3235.9,3231.1,3496.2,3508.4,3289.4,3303.1,3284.4,3347.1,2918.3,2612.3,2579.7,2583.9,2609.5,2831.5,2608.2,2515.3,2948.0,2588.2,2558.2,2614.5,2574.8,2506.4,2579.1,3077.2,2864.8,3467.7,3411.8,3836.3,3805.7,3389.4,3830.9,3046.5,3802.6,3809.0,3744.1,3572.4,3373.9
62.4695645_6.6247074,1535.7,2159.4,2469.5,2061.1,2272.2,1758.9,2168.8,2509.6,0.0,2176.0,2168.3,2214.8,2186.4,2188.1,2184.7,2214.8,2193.8,2132.6,2194.3,2201.6,2155.5,2187.6,2224.3,2222.2,2198.3,2166.4,2159.0,1943.9,2176.8,1896.6,1627.5,2186.9,2196.4,2219.5,2325.0,2182.9,2022.7,2242.4,1457.2,1923.5,2101.5,1657.8,2161.2,2150.3,2135.1,2160.1,2150.6,2141.5,2172.4,2143.1,2187.0,1949.4,1453.1,1415.7,1408.4,1450.7,1427.3,2473.4,2297.3,2151.4,2146.6,2411.7,2423.9,2204.9,2218.6,2199.9,4421.4,1283.1,1495.3,1462.7,1466.9,1379.1,1214.2,1404.6,1508.6,1060.1,1457.5,1427.5,1394.9,1437.4,1545.9,1448.4,1955.8,1743.4,1965.2,1909.3,2333.8,2303.2,1886.9,2328.4,1544.0,2300.1,2306.5,2241.6,2069.9,1871.4
62.4735740_6.1568680,1292.6,19.3,351.2,463.9,153.9,809.3,29.6,3288.5,2191.3,0.0,28.2,96.5,52.6,54.3,50.9,63.2,75.5,61.5,36.4,47.9,80.9,56.4,72.7,116.4,45.2,46.1,41.4,379.3,0.8,592.4,672.0,46.8,34.3,67.9,206.7,57.1,265.1,124.1,1214.1,382.3,77.1,709.6,21.1,51.3,71.8,20.0,37.9,78.2,32.3,225.8,46.9,408.2,908.4,851.7,844.4,823.2,938.8,355.1,179.0,52.4,32.5,293.4,305.6,86.6,67.0,81.6,5200.3,1172.7,822.0,789.4,793.6,892.0,1085.9,900.1,846.7,1202.4,842.6,812.6,906.4,829.2,1008.2,833.5,421.0,551.6,1722.1,1666.2,2090.7,2060.1,1643.8,2085.3,1300.9,2057.0,2063.4,1998.5,1826.8,1628.3
