,Depot,"Spjelkavik, 6010 Ålesund",APOTEKERGATA 5,"Parkgata 2, 6003 Ålesund",Alnes Fyr og opplevelsessenter,Anno,Atlanterhavsparken,"Tennfjord, 6264 Tennfjord","Ålesund, 6002 Ålesund",Blindheim omsorgssenter,"Valderøy, 6050 Valderøya",Brooklyn - 24 / 26,Bunnpris Brattvåg,Bunnpris Bryggja,Bunnpris Eid,Bunnpris Hareid,Bunnpris Nørve,Bunnpris Oldeide,Bunnpris Sjøholt,Bunnpris Stryn,NEDRE STRANDGATE 9,Bunnpris Ulsteinvik,Bunnpris Valderøy,Bunnpris Valldal,Bunnpris Vatne,Bunnpris Vedde,Bunnpris Volda,Bunnpris Ørsta,"Digernessundet, 6057 Ellingsøy","Eidsgata 12, 6770 Nordfjordeid","Volda, 6100 Volda","Dregesvegen 2, 6200 Stranda","Ålesund, 6008 Ålesund",Ebbegarden barnehage,"Eidet, 6008 Ålesund",Ellingsøy barnehage,Gamle Blindheimsveg 25,Eurospar Hareid,LARSGÅRDSVEGEN 19,Eurospar Moa,Eurospar Sykkylven,Eurospar Valderøy,Eurospar Ørsta,Rasmus Rønnebergs gate 21,"Brattvåg, 6270 Brattvåg","Grodås, 6698 Hornindal",Felleskjøpet Stryn,Felleskjøpet Ålesund,"Nordfjordeid, 6770 Nordfjordeid","Nordfjordeid, 6770 Nordfjordeid","Valderhaug, 6050 Valderøya","Hatlahaugen, Ålesund","Gate 1, 6718 Deknepollen","Hellesylt, 6218 Hellesylt",Helsehuset Stella Maris,"Sjukehusveien 14, 6770 Nordfjordeid",Isehaug kafeteria,"Haramsøya, 6270 Brattvåg",Godøya post i butikk,Joker Hjelledalen,Joker Stordal,Joker Tomrefjord,Joker Vatne,Vigra post i butikk,"Ulsteinvik, 6065 Ulsteinvik",Kiwi Meieribygget Ørsta,SUNDGATA 8,Kiwi Skodje,Kiwi Volda,Kiwi Sykkylven,SKARBØVIKGATA 25,NØRVEGATA 23,SPJELKAVIKVEGEN 42,"Eggesbønes, 6008 Ålesund",Kiwi Deknepollen,NEDRE KLOKKERSUNDVEGEN 2,FLISNESVEGEN 1,"Fiskarstrand, 6037 Eidsnes",Kiwi Stranda,Kiwi Stryn,Kiwi Ulsteinvik,RASMUS RØNNEBERGS GATE 6,Kiwi Myrvåg,Kiwi Langevåg,NEDRE STRANDGATE 51,LERSTADVEGEN 545,Kiwi Vestnes,Kiwi Nordfjordeid,SMEDGARDEN 1,"Vallekrysset, 6013 Ålesund","Ørsta, 6150 Ørsta",Matstova,Meny Fosnavåg,LERSTADVEGEN 291,"Sula, 6030 Langevåg",minibakeriet,"Måløy, 6700 Måløy","Valldal, 6210 Valldal","Måløy, 6700 Måløy",Naustet Grill,"Innviksvegen, 6793 Innvik","Skateflukaia, 6002 Ålesund",Nordfjord hotell,Nørve barnehage,Obs Bygg Digernes,"Oldeide, 6718 Deknepollen",Quality Hotel Ulstein,KONGENS GATE 6,"Remmemsvik, 6264 Tennfjord","Langelandsvegen 47, 6010 Ålesund","Storgata 16, 6002 Ålesund",Sjøbua,"Sjøholt, 6240 Sjøholt",Sjøkanten Café,Skodje barnehage,"Stranda, 6200 Stranda",SOLAVÅGSEIDET 76,Spar Ellingsøy,Spar Fosnavåg,Spar Hornindal,Spar Hovdebygda,Spar Langevåg,Spjelkavikvegen 61,Spar Svingen,Spar Søvik,Spar Tresfjord,Spar Ulsteinvik,Spar Valldal,Spar Vartdal,Spar Volda,Øvre Geilegrend 1,"Keiser Wilhelms gate 29, 6003 Ålesund",Spjelkavik omsorgssenter,"Ålesund lufthavn, 6040 Vigra",St1 Ulsteinvik,St1 Vestnes,St1 Ørskog,Stette barnehage,"Strandafjellet, 6200 Stranda","Stryn, 6783 Stryn","Vigra, 6040 Vigra",Sylteormen bakeri og kafe,Mai Thai Massage,Trankokeriet Antikk,"Longva, 6264 Tennfjord","Vestnes, 6390 Vestnes","Ålesund, 6002 Ålesund",St1 Valldal,Valldal sjukeheim,Valle barnehage,Vartdal helsetun,Vigra barnehage,"Vigra, 6040 Vigra",Volda Campus SpareBank 1 Arena,"Ålesund, 6003 Ålesund",Åse helsehus
Depot,0.0,5985.6,17139.2,17338.4,36130.5,17026.9,20378.1,32135.6,17202.0,4088.2,19628.7,16637.6,41930.2,108445.3,114473.3,20422.4,14477.3,131234.3,34757.0,111588.8,17032.6,30594.5,26462.2,79245.4,28878.2,11039.5,55656.3,46526.7,20458.1,113885.0,56711.2,51813.0,14474.7,8433.6,14852.1,20821.0,3955.1,20282.5,12787.2,5896.0,18032.3,27795.3,46511.8,16940.9,41848.8,73319.9,111774.1,6895.4,114256.7,114000.3,28400.2,14984.0,129731.5,74230.4,60536.0,114072.9,111798.4,60335.6,31621.1,140582.3,53576.9,54617.5,31008.9,34802.0,30718.8,46216.7,16163.4,26535.5,57212.2,18240.1,19482.9,14620.6,5821.5,13285.2,126741.7,11661.5,6114.0,11080.7,51456.1,111582.6,30587.9,16979.1,39389.3,12912.6,17560.3,7205.7,60388.6,113024.3,10437.2,6201.5,46309.2,131843.1,58125.9,9340.7,13558.1,114255.0,129768.2,79601.3,129728.0,55727.3,156731.9,18292.9,113709.4,13386.5,20473.1,135297.5,31969.7,16864.1,73083.1,25241.5,17028.0,17333.9,28427.3,114455.6,25742.8,51468.3,3404.7,31332.8,56516.5,89113.4,49721.3,13563.6,5655.1,50025.2,48093.8,62294.8,29516.2,79618.9,26147.4,56426.9,8175.0,17263.5,6198.2,31133.0,31358.5,60434.1,34515.1,26149.4,51298.3,111773.0,33070.8,79616.1,17286.1,17476.7,73055.3,61286.6,16518.3,79641.8,79889.3,23914.4,22546.1,33588.9,33733.4,56796.3,15845.9,8479.3
"Spjelkavik, 6010 Ålesund",5885.0,0.0,11470.3,11669.5,30461.5,11357.9,14709.2,27754.6,11533.1,3884.7,13959.8,10968.7,37549.3,111532.6,117560.5,23509.6,8808.4,134321.5,30376.0,114676.0,11363.6,33681.8,20793.2,74864.4,24497.3,14126.7,58743.5,49613.9,16077.2,116972.2,59798.4,51609.5,8805.8,8230.1,9183.2,15152.1,3751.7,23369.8,7118.2,1103.6,17828.8,22126.4,49599.0,11272.0,37467.8,76407.1,114861.3,2514.4,117344.0,117087.5,22731.2,9315.1,132818.7,74026.9,56155.1,117160.1,114885.6,55954.7,25952.2,144896.4,49196.0,50236.6,26627.9,29133.0,33806.0,49303.9,10494.4,22154.6,60299.4,18036.6,13813.9,8951.7,1440.5,7616.2,129828.9,5882.2,5910.5,14167.9,51252.6,114669.8,33675.2,11310.2,42476.5,15999.8,11891.3,2388.8,56007.7,116111.5,4657.9,1409.1,49396.4,134930.4,61213.2,3561.3,16645.3,117342.2,132855.4,75220.4,132815.2,58814.5,159819.1,12624.0,116796.6,7717.6,16092.1,138384.7,35056.9,11195.2,68702.2,19572.6,11359.1,11665.0,24046.4,117542.8,21361.9,51264.9,6492.0,25663.9,59603.7,92200.6,52808.5,16650.8,1274.1,49821.7,43712.9,57913.9,32603.4,75238.0,29234.7,59514.1,2395.6,11594.5,1405.8,25464.1,34445.7,56053.2,30134.1,21768.5,51094.8,114860.2,27401.9,75235.1,11617.1,11807.8,68674.4,56905.6,10849.3,75260.9,75508.3,19533.5,25633.3,27920.0,28064.4,59883.5,10176.9,2700.0
APOTEKERGATA 5,17126.2,11268.0,0.0,199.2,22062.2,112.4,3466.4,37279.6,259.1,15125.8,2717.1,664.2,47074.3,122773.7,128801.7,34750.8,3203.0,145562.6,39603.6,125917.1,230.9,44922.9,12393.8,84092.0,34022.3,25367.8,69984.6,60855.1,25304.7,128213.3,71039.5,62850.6,3005.2,19471.2,3179.5,6752.7,14992.8,34610.9,5359.2,11529.4,29070.0,13727.0,60840.1,740.4,46992.8,87648.3,126102.5,11024.5,128585.1,128328.6,14331.8,3311.4,144059.8,85268.0,65382.6,128401.2,126126.7,65479.6,17552.8,154124.0,58423.6,59761.6,36152.9,20733.6,45047.2,60545.1,1056.2,31382.1,71540.5,29277.8,2571.2,3346.3,12207.2,5857.2,141070.1,5781.1,17151.7,25409.1,62493.7,125910.9,44916.3,314.0,53717.6,27240.9,727.9,11504.3,65235.2,127352.6,7422.1,11322.4,60637.5,146171.5,72454.3,8205.8,27886.4,128583.3,144096.5,84447.9,144056.4,70055.6,171060.3,820.2,128037.7,4470.1,25319.7,149625.8,46298.1,813.6,78227.1,11173.2,977.5,194.7,33274.0,128783.9,30589.4,62506.0,17733.1,17264.5,70844.8,103441.8,64049.6,27891.9,12515.3,61062.8,53237.8,67141.4,43844.5,84465.6,40475.8,70755.3,9585.4,320.5,11393.4,17064.7,45686.8,65280.8,39361.7,28894.4,62335.9,126101.3,19002.5,84462.7,146.8,337.5,78199.4,66133.2,671.8,84488.4,84735.9,28761.1,36874.5,19520.6,19665.0,71124.7,1694.7,9099.5
"Parkgata 2, 6003 Ålesund",17325.4,11467.2,199.2,0.0,22261.4,311.6,3665.6,37478.8,458.3,15325.0,2916.3,863.4,47273.5,122972.9,129000.9,34949.9,3402.2,145761.9,39802.8,126116.3,430.1,45122.1,12593.0,84291.2,34221.5,25567.0,70183.8,61054.3,25503.9,128412.5,71238.7,63049.8,3204.4,19670.4,3378.7,6951.9,15192.0,34810.1,5558.4,11728.6,29269.2,13926.2,61039.3,939.6,47192.0,87847.5,126301.7,11223.7,128784.3,128527.8,14531.0,3510.6,144259.0,85467.2,65581.8,128600.4,126325.9,65678.8,17752.0,154323.2,58622.7,59960.8,36352.1,20932.8,45246.4,60744.3,1255.4,31581.3,71739.7,29477.0,2770.4,3545.5,12406.4,6056.4,141269.3,5980.3,17350.9,25608.3,62692.9,126110.1,45115.5,513.2,53916.8,27440.1,927.0,11703.5,65434.4,127551.8,7621.3,11521.6,60836.7,146370.7,72653.5,8405.0,28085.6,128782.5,144295.7,84647.1,144255.5,70254.8,171259.5,870.4,128236.9,4669.3,25518.9,149825.0,46497.3,1012.8,78426.3,11372.4,1176.7,97.1,33473.2,128983.1,30788.6,62705.2,17932.3,17463.7,71044.0,103641.0,64248.8,28091.1,12714.5,61262.0,53437.0,67340.6,44043.7,84664.8,40675.0,70954.5,9784.6,368.6,11592.6,17263.9,45886.0,65479.9,39560.9,29093.6,62535.1,126300.5,19201.7,84661.9,197.0,387.7,78398.6,66332.4,871.0,84687.6,84935.1,28960.3,37073.7,19719.8,19864.2,71323.9,1893.9,9298.7
Alnes Fyr og opplevelsessenter,36168.3,30310.1,22023.3,22222.5,0.0,21910.9,25262.1,48784.2,22086.1,34168.0,24512.8,21521.6,58578.8,141815.8,147843.8,53792.9,22245.2,164604.8,58645.7,144959.3,21916.6,63965.0,14250.4,103134.2,45526.8,44409.9,89026.8,79897.2,44346.9,147255.5,90081.7,81892.8,22047.4,38513.4,22221.6,18257.3,34034.9,53653.0,24401.4,30571.6,48112.1,15583.6,79882.3,21825.0,58497.3,106690.4,145144.6,30066.7,147627.2,147370.8,11503.2,22353.5,163102.0,104310.2,84424.8,147443.4,145168.9,76984.2,4895.0,173166.1,77465.7,71266.1,47657.4,22916.0,64089.3,79587.2,21047.4,47877.3,90582.7,48319.9,24366.9,22388.4,31249.3,24899.4,160112.2,24823.2,36193.8,44451.2,81535.9,144953.1,63958.4,21863.2,72759.8,46283.1,22444.3,30546.5,84277.4,146394.8,26464.3,30364.5,79679.7,165213.6,91496.4,27248.0,46928.6,147625.4,163138.7,103490.1,163098.5,89097.8,190102.4,23177.0,147079.9,23512.3,44361.9,168668.0,65340.2,21748.1,89731.7,22677.7,21912.1,22218.0,52316.1,147826.1,47084.6,81548.1,36775.2,28769.0,89887.0,122483.9,83091.7,46934.0,31557.4,80105.0,64742.4,86183.6,62886.7,103507.7,59517.9,89797.4,28627.5,22147.5,30435.6,19247.0,64729.0,84322.9,58403.8,40399.0,81378.1,145143.5,21184.9,103504.8,22170.1,22360.8,89703.9,85175.4,21402.3,103530.6,103778.0,47803.2,55916.6,21702.9,21847.4,90166.8,20730.3,28141.7
Anno,17013.8,11155.6,112.4,311.6,21949.8,0.0,3382.5,37167.2,175.2,15013.4,2633.1,551.8,46961.9,122661.3,128689.3,34638.4,3090.6,145450.3,39491.2,125804.7,118.6,44810.5,12281.5,83979.6,33909.9,25255.4,69872.3,60742.7,25192.4,128100.9,70927.1,62738.2,2892.9,19358.8,3067.1,6640.3,14880.4,34498.5,5246.8,11417.0,28957.6,13614.6,60727.7,628.0,46880.4,87535.9,125990.1,10912.1,128472.7,128216.2,14219.5,3199.0,143947.4,85155.6,65270.2,128288.9,126014.4,65367.3,17440.4,154011.6,58311.2,59649.2,36040.5,20621.3,44934.8,60432.7,943.9,31269.8,71428.1,29165.4,2487.3,3233.9,12094.8,5744.8,140957.7,5668.7,17039.3,25296.7,62381.3,125798.5,44803.9,201.6,53605.2,27128.5,646.3,11391.9,65122.9,127240.2,7309.7,11210.0,60525.1,146059.1,72341.9,8093.4,27774.1,128470.9,143984.1,84335.5,143944.0,69943.2,170947.9,932.6,127925.3,4357.8,25207.3,149513.4,46185.7,701.2,78114.8,11060.8,865.1,307.1,33161.6,128671.5,30477.0,62393.6,17620.7,17152.1,70732.5,103329.4,63937.2,27779.5,12402.9,60950.5,53125.5,67029.1,43732.2,84353.2,40363.4,70642.9,9473.0,236.6,11281.0,16952.3,45574.4,65168.4,39249.3,28782.1,62223.5,125988.9,18890.1,84350.3,259.2,449.9,78087.0,66020.8,559.4,84376.0,84623.5,28648.7,36762.1,19408.2,19552.7,71012.3,1582.4,8987.1
Atlanterhavsparken,20355.0,14496.8,3477.6,3676.8,25291.0,3393.6,0.0,40508.5,3402.4,18354.7,1309.1,3893.1,50303.1,126002.5,132030.5,37979.6,6431.9,148791.5,42832.4,129146.0,3378.2,48151.7,15622.7,87320.9,37251.1,28596.6,73213.5,64083.9,28533.6,131442.2,74268.4,66079.5,6234.1,22700.1,6408.3,9981.6,18221.6,37839.7,8588.1,14758.3,32298.8,16955.9,64069.0,3969.2,50221.6,90877.1,129331.3,14253.4,131813.9,131557.5,17560.7,6540.2,147288.7,88496.9,68611.5,131630.1,129355.6,68708.5,20781.7,157352.8,61652.4,62990.4,39381.8,23962.5,48276.0,63773.9,4285.1,34611.0,74769.4,32506.6,1550.2,6575.1,15436.0,9086.1,144298.9,9009.9,20380.5,28637.9,65722.6,129139.7,48145.1,3542.8,56946.5,30469.8,2816.0,14733.2,68464.1,130581.4,10651.0,14551.2,63866.3,149400.3,75683.1,11434.7,31115.3,131812.1,147325.4,87676.8,147285.2,73284.5,174289.1,3057.3,131266.6,7699.0,28548.6,152854.7,49526.9,4042.4,81456.0,14402.0,4206.3,3672.2,36502.8,132012.8,33818.3,65734.8,20961.9,20493.3,74073.7,106670.6,67278.4,31120.7,15744.1,64291.7,56466.7,70370.3,47073.4,87694.4,43704.6,73984.1,12814.2,3463.9,14622.3,20293.5,48915.7,68509.6,42590.5,32123.3,65564.8,129330.2,22231.4,87691.5,3624.4,3815.1,81428.2,69362.1,3900.6,87717.3,87964.7,31989.9,40103.3,22749.4,22893.9,74353.5,4923.6,12328.4
"Tennfjord, 6264 Tennfjord",32063.6,27347.3,37191.9,37391.1,48840.4,37079.5,40430.8,0.0,37254.7,30063.2,39681.4,36690.3,16760.6,137711.1,143739.1,49688.2,34074.4,160500.1,24177.2,141021.9,37085.2,59860.3,39172.1,68665.6,3518.5,40305.2,84922.1,75792.5,12328.6,143150.7,85976.9,68351.5,34071.8,30417.5,34449.2,31361.3,29930.2,49548.3,32384.3,26656.7,34570.8,40505.2,75777.6,36993.6,16679.2,102585.7,141207.3,26492.5,143522.5,143266.0,41110.1,34581.1,158997.2,90768.9,38693.9,143338.6,141231.6,35166.0,44331.0,138697.6,42997.1,26242.1,2633.5,47511.9,59984.6,75482.5,36216.0,14088.8,86477.9,34778.6,39535.5,34217.7,26442.9,32882.3,156007.5,31667.7,32089.1,40346.5,67994.6,141015.7,59853.7,37031.8,68655.0,42178.3,37612.9,25375.6,38546.5,142290.0,31082.0,26259.8,75574.9,147474.8,87391.7,29346.9,42823.9,143520.7,159033.9,69021.5,158993.8,84993.0,186165.1,38345.6,142975.1,32983.6,12343.5,164563.2,61235.5,36916.8,47913.5,26643.5,37080.7,37386.6,17847.5,143721.3,13296.0,68006.8,32670.5,20292.5,85782.3,118546.6,78987.0,42829.3,26549.3,66563.7,22924.2,51715.0,58782.0,69039.2,55413.2,85692.7,28732.8,37316.1,26330.8,43842.9,60624.2,38592.0,23935.3,8987.1,67836.8,141206.2,45780.7,69036.3,37338.7,37529.4,47885.8,38297.8,36570.9,69062.0,69309.5,16278.5,51811.9,46298.8,46443.3,86062.1,35898.9,29408.2
"Ålesund, 6002 Ålesund",17294.4,11436.2,168.2,271.1,22230.4,280.6,3634.6,37447.8,0.0,15294.0,2885.3,832.4,47242.5,122941.9,128969.9,34919.0,3371.2,145730.9,39771.8,126085.3,399.1,45091.1,12562.1,84260.2,34190.5,25536.0,70152.9,61023.3,25473.0,128381.5,71207.7,63018.8,3173.5,19639.4,3347.7,6920.9,15161.0,34779.1,5527.4,11697.6,29238.2,13895.2,61008.3,908.6,47161.0,87816.5,126270.7,11192.7,128753.3,128496.8,14500.1,3479.6,144228.0,85436.2,65550.8,128569.4,126295.0,65647.9,17721.0,154292.2,58591.8,59929.8,36321.1,20901.9,45215.4,60713.3,1224.5,31550.4,71708.7,29446.0,2739.4,3514.5,12375.4,6025.4,141238.3,5949.3,17319.9,25577.3,62661.9,126079.1,45084.5,482.2,53885.8,27409.1,896.1,11672.5,65403.4,127520.8,7590.3,11490.6,60805.7,146339.7,72622.5,8374.0,28054.7,128751.5,144264.7,84616.1,144224.6,70223.8,171228.5,892.1,128205.9,4638.4,25487.9,149794.0,46466.3,981.8,78395.3,11341.4,1145.7,266.6,33442.2,128952.1,30757.6,62674.2,17901.3,17432.7,71013.1,103610.0,64217.8,28060.1,12683.5,61231.1,53406.1,67309.7,44012.8,84633.8,40644.0,70923.5,9753.6,61.4,11561.6,17232.9,45855.0,65449.0,39529.9,29062.6,62504.1,126269.5,19170.7,84630.9,218.7,409.4,78367.6,66301.4,840.0,84656.6,84904.1,28929.3,37042.7,19688.8,19833.3,71292.9,1863.0,9267.7
Blindheim omsorgssenter,4313.9,3818.1,14971.6,15170.8,33962.9,14859.3,18210.5,29968.0,15034.5,0.0,17461.1,14470.0,39762.6,109961.4,115989.4,21938.4,12309.7,132750.3,32589.4,113104.8,14865.0,32110.6,24294.6,77077.8,26710.6,12555.5,57172.3,48042.7,18290.5,115401.0,58227.2,48583.7,12307.1,5204.3,12684.5,18653.4,466.9,21798.6,10619.6,3728.5,14803.1,25627.7,48027.8,14773.3,39681.2,74836.0,113290.2,4727.8,115772.8,115516.3,26232.6,12816.4,131247.5,71001.1,58368.4,115588.9,113314.4,58168.0,29453.5,147109.8,51409.3,52449.9,28841.3,32634.4,32234.9,47732.7,13995.8,24367.9,58728.2,15010.9,17315.3,12453.0,3653.9,11117.6,128257.8,9494.0,2884.8,12596.8,48226.9,113098.6,32104.0,14811.5,40905.3,14428.6,15392.7,5038.1,58221.0,114540.3,8269.6,4034.0,47825.2,133359.2,59642.0,7173.1,15074.1,115771.0,131284.2,77433.7,131244.0,57243.3,158248.0,16125.4,115225.4,11218.9,18305.5,136813.5,33485.7,14696.5,70915.5,23073.9,14860.4,15166.3,26259.7,115971.6,23575.2,48239.1,4920.8,29165.2,58032.5,90629.5,51237.3,15079.6,3487.5,46796.0,45926.2,60127.2,31032.2,77451.4,27663.5,57943.0,6007.4,15095.9,4030.6,28965.4,32874.5,58266.5,32347.5,23981.8,48069.0,113289.0,30903.2,77448.5,15118.5,15309.1,70887.8,59119.0,14350.7,77474.2,77721.7,21746.8,24062.2,31421.3,31565.8,58312.3,13678.3,6311.7
