,Depot,"Spjelkavik, 6010 Ålesund",APOTEKERGATA 5,"Parkgata 2, 6003 Ålesund",Alnes Fyr og opplevelsessenter,Anno,Atlanterhavsparken,"Tennfjord, 6264 Tennfjord","Ålesund, 6002 Ålesund",Blindheim omsorgssenter,"Valderøy, 6050 Valderøya",Brooklyn - 24 / 26,Bunnpris Brattvåg,Bunnpris Bryggja,Bunnpris Eid,Bunnpris Hareid,Bunnpris Nørve,Bunnpris Oldeide,Bunnpris Sjøholt,Bunnpris Stryn,NEDRE STRANDGATE 9,Bunnpris Ulsteinvik,Bunnpris Valderøy,Bunnpris Valldal,Bunnpris Vatne,Bunnpris Vedde,Bunnpris Volda,Bunnpris Ørsta,"Digernessundet, 6057 Ellingsøy","Eidsgata 12, 6770 Nordfjordeid","Volda, 6100 Volda","Dregesvegen 2, 6200 Stranda","Ålesund, 6008 Ålesund",Ebbegarden barnehage,"Eidet, 6008 Ålesund",Ellingsøy barnehage,Gamle Blindheimsveg 25,Eurospar Hareid,LARSGÅRDSVEGEN 19,Eurospar Moa,Eurospar Sykkylven,Eurospar Valderøy,Eurospar Ørsta,Rasmus Rønnebergs gate 21,"Brattvåg, 6270 Brattvåg","Grodås, 6698 Hornindal",Felleskjøpet Stryn,Felleskjøpet Ålesund,"Nordfjordeid, 6770 Nordfjordeid","Nordfjordeid, 6770 Nordfjordeid","Valderhaug, 6050 Valderøya","Hatlahaugen, Ålesund","Gate 1, 6718 Deknepollen","Hellesylt, 6218 Hellesylt",Helsehuset Stella Maris,"Sjukehusveien 14, 6770 Nordfjordeid",Isehaug kafeteria,"Haramsøya, 6270 Brattvåg",Godøya post i butikk,Joker Hjelledalen,Joker Stordal,Joker Tomrefjord,Joker Vatne,Vigra post i butikk,"Ulsteinvik, 6065 Ulsteinvik",Kiwi Meieribygget Ørsta,SUNDGATA 8,Kiwi Skodje,Kiwi Volda,Kiwi Sykkylven,SKARBØVIKGATA 25,NØRVEGATA 23,SPJELKAVIKVEGEN 42,"Eggesbønes, 6008 Ålesund",Kiwi Deknepollen,NEDRE KLOKKERSUNDVEGEN 2,FLISNESVEGEN 1,"Fiskarstrand, 6037 Eidsnes",Kiwi Stranda,Kiwi Stryn,Kiwi Ulsteinvik,RASMUS RØNNEBERGS GATE 6,Kiwi Myrvåg,Kiwi Langevåg,NEDRE STRANDGATE 51,LERSTADVEGEN 545,Kiwi Vestnes,Kiwi Nordfjordeid,SMEDGARDEN 1,"Vallekrysset, 6013 Ålesund","Ørsta, 6150 Ørsta",Matstova,Meny Fosnavåg,LERSTADVEGEN 291,"Sula, 6030 Langevåg",minibakeriet,"Måløy, 6700 Måløy","Valldal, 6210 Valldal","Måløy, 6700 Måløy",Naustet Grill,"Innviksvegen, 6793 Innvik","Skateflukaia, 6002 Ålesund",Nordfjord hotell,Nørve barnehage,Obs Bygg Digernes,"Oldeide, 6718 Deknepollen",Quality Hotel Ulstein,KONGENS GATE 6,"Remmemsvik, 6264 Tennfjord","Langelandsvegen 47, 6010 Ålesund","Storgata 16, 6002 Ålesund",Sjøbua,"Sjøholt, 6240 Sjøholt",Sjøkanten Café,Skodje barnehage,"Stranda, 6200 Stranda",SOLAVÅGSEIDET 76,Spar Ellingsøy,Spar Fosnavåg,Spar Hornindal,Spar Hovdebygda,Spar Langevåg,Spjelkavikvegen 61,Spar Svingen,Spar Søvik,Spar Tresfjord,Spar Ulsteinvik,Spar Valldal,Spar Vartdal,Spar Volda,Øvre Geilegrend 1,"Keiser Wilhelms gate 29, 6003 Ålesund",Spjelkavik omsorgssenter,"Ålesund lufthavn, 6040 Vigra",St1 Ulsteinvik,St1 Vestnes,St1 Ørskog,Stette barnehage,"Strandafjellet, 6200 Stranda","Stryn, 6783 Stryn","Vigra, 6040 Vigra",Sylteormen bakeri og kafe,Mai Thai Massage,Trankokeriet Antikk,"Longva, 6264 Tennfjord","Vestnes, 6390 Vestnes","Ålesund, 6002 Ålesund",St1 Valldal,Valldal sjukeheim,Valle barnehage,Vartdal helsetun,Vigra barnehage,"Vigra, 6040 Vigra",Volda Campus SpareBank 1 Arena,"Ålesund, 6003 Ålesund",Åse helsehus
Depot,0.0,541.1,1313.6,1342.1,2510.7,1303.3,1688.1,2044.6,1330.2,454.8,1588.4,1258.7,2637.9,9661.4,8166.8,2432.1,1111.5,11116.0,2250.5,7965.7,1310.0,3154.6,1874.8,5060.1,1836.8,946.8,4602.4,3991.4,1365.5,8065.0,4736.6,4125.6,1106.2,695.7,1177.6,1538.3,418.0,2422.0,1033.6,525.8,1939.3,2065.4,3944.5,1297.0,2627.4,5683.9,8005.8,607.8,8136.9,8087.9,2080.6,1158.3,10992.2,5430.5,3726.0,8107.9,8004.3,3715.8,2126.1,9701.6,3491.3,3674.8,2027.6,2362.4,3176.1,3913.0,1211.6,1751.3,4761.9,1974.5,1534.0,1132.8,514.7,1109.2,10764.0,1065.9,534.5,956.6,4073.8,7963.7,3153.9,1296.5,3697.2,1112.3,1352.5,618.7,3715.0,8059.9,1006.7,537.6,3919.9,9190.7,4970.2,853.5,1167.8,8126.5,10997.4,5088.0,11003.5,4610.5,11519.9,1427.5,8072.5,1100.9,1356.2,11390.2,3224.6,1286.9,4697.6,1842.2,1299.1,1332.5,2015.3,8173.9,1671.2,4076.2,331.7,2140.8,4808.0,6637.3,4198.9,1173.5,489.2,3930.2,2931.4,4001.7,3089.1,5092.3,2683.9,4701.2,737.6,1335.7,547.5,2076.7,3244.3,3727.8,2235.2,1685.1,4111.9,7983.2,2259.1,5091.2,1326.8,1347.7,4669.8,3824.3,1270.7,5084.2,5122.3,1568.2,2441.1,2303.3,2331.8,4702.1,1190.4,781.9
"Spjelkavik, 6010 Ålesund",525.6,0.0,867.6,896.1,2064.7,857.3,1242.1,1680.4,884.2,355.7,1142.4,812.7,2273.7,9776.8,8282.2,2547.5,665.5,11231.4,1886.3,8081.1,864.0,3270.0,1428.8,4695.9,1472.6,1062.2,4717.8,4106.8,1001.3,8180.4,4852.0,4026.5,660.2,596.6,731.6,1092.3,318.9,2537.4,587.6,131.2,1840.2,1619.4,4059.9,851.0,2263.2,5799.3,8121.2,243.6,8252.3,8203.3,1634.6,712.3,11107.6,5331.4,3361.8,8223.3,8119.7,3351.6,1680.1,9459.0,3127.1,3310.6,1663.4,1916.4,3291.5,4028.4,765.6,1387.1,4877.3,1875.4,1088.0,686.8,150.5,663.2,10879.4,571.6,435.4,1072.0,3974.7,8079.1,3269.3,850.5,3812.6,1227.7,906.5,245.9,3350.8,8175.3,512.4,143.0,4035.3,9306.1,5085.6,359.2,1283.2,8241.9,11112.8,4723.8,11118.9,4725.9,11635.3,981.5,8187.9,654.9,992.0,11505.6,3340.0,840.9,4333.4,1396.2,853.1,886.5,1651.1,8289.3,1307.0,3977.1,447.1,1694.8,4923.4,6752.7,4314.3,1288.9,125.0,3831.1,2567.2,3637.5,3204.5,4728.1,2799.3,4816.6,243.3,889.7,152.9,1630.7,3359.7,3363.6,1871.0,1320.9,4012.8,8098.6,1813.1,4727.0,880.8,901.7,4305.6,3460.1,824.7,4720.0,4758.1,1204.0,2556.5,1857.3,1885.8,4817.5,744.4,287.6
APOTEKERGATA 5,1315.4,841.0,0.0,28.5,1506.1,10.5,394.4,2307.1,28.1,1145.5,294.7,84.3,2900.4,10566.6,9072.0,3337.3,266.6,12021.2,2546.8,8870.9,29.7,4059.8,870.2,5356.4,2099.3,1852.0,5507.6,4896.6,1661.8,8970.2,5641.8,4816.3,244.1,1386.4,296.6,533.7,1108.7,3327.2,405.1,874.5,2630.0,1060.8,4849.7,90.8,2889.9,6589.1,8911.0,847.2,9042.1,8993.1,1076.0,277.3,11897.4,6121.2,4022.3,9013.1,8909.5,3978.3,1121.5,10119.5,3787.6,3937.3,2290.1,1357.8,4081.3,4818.2,122.5,2047.6,5667.1,2665.2,240.3,287.9,922.9,480.7,11669.2,443.8,1225.2,1861.8,4764.5,8868.9,4059.1,41.1,4602.4,2017.5,69.3,869.5,4011.3,8965.1,615.2,835.4,4825.1,10095.9,5875.4,574.4,2073.0,9031.7,11902.6,5384.3,11908.7,5515.7,12425.1,116.6,8977.7,403.9,1652.5,12295.4,4129.8,101.8,4960.1,837.6,114.0,18.9,2311.6,9079.1,1967.5,4766.9,1236.9,1136.2,5713.2,7542.5,5104.1,2078.7,914.8,4620.9,3193.9,4298.0,3994.3,5388.6,3589.1,5606.4,694.8,33.6,852.0,1072.1,4149.5,4024.1,2531.5,1796.5,4802.6,8888.4,1254.5,5387.5,13.2,34.1,4932.3,4120.6,75.0,5380.5,5418.6,1864.5,3346.3,1298.7,1327.2,5607.3,164.5,670.9
"Parkgata 2, 6003 Ålesund",1346.8,872.4,31.4,0.0,1537.5,41.9,425.8,2338.5,59.5,1176.9,326.1,115.7,2931.8,10598.0,9103.4,3368.7,298.0,12052.6,2578.2,8902.3,61.1,4091.2,901.6,5387.8,2130.7,1883.4,5539.0,4928.0,1693.2,9001.6,5673.2,4847.7,275.5,1417.8,328.0,565.1,1140.1,3358.6,436.5,905.9,2661.4,1092.2,4881.1,122.2,2921.3,6620.5,8942.4,878.6,9073.5,9024.5,1107.4,308.7,11928.8,6152.6,4053.7,9044.5,8940.9,4009.7,1152.9,10150.9,3819.0,3968.7,2321.5,1389.2,4112.7,4849.6,153.9,2079.0,5698.5,2696.6,271.7,319.3,954.3,512.1,11700.6,475.2,1256.6,1893.2,4795.9,8900.3,4090.5,72.5,4633.8,2048.9,100.7,900.9,4042.7,8996.5,646.6,866.8,4856.5,10127.3,5906.8,605.8,2104.4,9063.1,11934.0,5415.7,11940.1,5547.1,12456.5,131.3,9009.1,435.3,1683.9,12326.8,4161.2,133.2,4991.5,869.0,145.4,20.9,2343.0,9110.5,1998.9,4798.3,1268.3,1167.6,5744.6,7573.9,5135.5,2110.1,946.2,4652.3,3225.3,4329.4,4025.7,5420.0,3620.5,5637.8,726.2,64.7,883.4,1103.5,4180.9,4055.5,2562.9,1827.9,4834.0,8919.8,1285.9,5418.9,27.9,48.8,4963.7,4152.0,106.4,5411.9,5450.0,1895.9,3377.7,1330.1,1358.6,5638.7,195.9,702.3
Alnes Fyr og opplevelsessenter,2521.4,2047.0,1500.6,1529.1,0.0,1490.3,1875.1,3059.1,1517.2,2351.5,1775.4,1445.7,3652.4,11772.6,10278.0,4543.3,1472.6,13227.2,3752.8,10076.9,1497.0,5265.8,1072.4,6562.4,2851.3,3058.0,6713.6,6102.6,2867.8,10176.2,6847.8,6022.3,1450.1,2592.4,1502.6,1285.7,2314.7,4533.2,1611.1,2080.5,3836.0,1263.0,6055.7,1484.0,3641.9,7795.1,10117.0,2053.2,10248.1,10199.1,1010.8,1483.3,13103.4,7327.2,5228.3,10219.1,10115.5,4730.3,441.8,11325.5,4993.6,4689.3,3042.1,1589.1,5287.3,6024.2,1398.6,3041.1,6873.1,3871.2,1721.0,1493.9,2128.9,1686.7,12875.2,1649.8,2431.2,3067.8,5970.5,10074.9,5265.1,1483.5,5808.4,3223.5,1539.5,2075.5,5217.3,10171.1,1821.2,2041.4,6031.1,11301.9,7081.4,1780.4,3279.0,10237.7,13108.6,6590.3,13114.7,6721.7,13631.1,1614.5,10183.7,1609.9,2858.5,13501.4,5335.8,1473.9,5712.1,1589.6,1486.1,1519.5,3517.6,10285.1,2961.0,5972.9,2442.9,1888.2,6919.2,8748.5,6310.1,3284.7,2120.8,5826.9,3945.9,5504.0,5200.3,6594.6,4795.1,6812.4,1900.8,1522.7,2058.0,1303.4,5355.5,5230.1,3737.5,2548.5,6008.6,10094.4,1485.8,6593.5,1513.8,1534.7,5684.3,5326.6,1457.7,6586.5,6624.6,3070.5,4552.3,1530.0,1558.5,6813.3,1364.9,1876.9
Anno,1304.9,830.5,10.3,38.8,1495.6,0.0,393.2,2296.6,26.9,1135.0,293.5,73.8,2889.9,10556.1,9061.5,3326.8,256.1,12010.7,2536.3,8860.4,19.2,4049.3,859.7,5345.9,2088.8,1841.5,5497.1,4886.1,1651.3,8959.7,5631.3,4805.8,233.6,1375.9,286.1,523.2,1098.2,3316.7,394.6,864.0,2619.5,1050.3,4839.2,80.3,2879.4,6578.6,8900.5,836.7,9031.6,8982.6,1065.5,266.8,11886.9,6110.7,4011.8,9002.6,8899.0,3967.8,1111.0,10109.0,3777.1,3926.8,2279.6,1347.3,4070.8,4807.7,112.0,2037.1,5656.6,2654.7,239.1,277.4,912.4,470.2,11658.7,433.3,1214.7,1851.3,4754.0,8858.4,4048.6,30.6,4591.9,2007.0,61.7,859.0,4000.8,8954.6,604.7,824.9,4814.6,10085.4,5864.9,563.9,2062.5,9021.2,11892.1,5373.8,11898.2,5505.2,12414.6,126.9,8967.2,393.4,1642.0,12284.9,4119.3,91.3,4949.6,827.1,103.5,29.2,2301.1,9068.6,1957.0,4756.4,1226.4,1125.7,5702.7,7532.0,5093.6,2068.2,904.3,4610.4,3183.4,4287.5,3983.8,5378.1,3578.6,5595.9,684.3,32.4,841.5,1061.6,4139.0,4013.6,2521.0,1786.0,4792.1,8877.9,1244.0,5377.0,23.5,44.4,4921.8,4110.1,64.5,5370.0,5408.1,1854.0,3335.8,1288.2,1316.7,5596.8,154.0,660.4
Atlanterhavsparken,1685.1,1210.7,399.1,427.6,1875.8,394.7,0.0,2676.8,398.7,1515.2,223.0,454.0,3270.1,10936.3,9441.7,3707.0,636.3,12390.9,2916.5,9240.6,396.4,4429.5,1239.9,5726.1,2469.0,2221.7,5877.3,5266.3,2031.5,9339.9,6011.5,5186.0,613.8,1756.1,666.3,903.4,1478.4,3696.9,774.8,1244.2,2999.7,1430.5,5219.4,460.5,3259.6,6958.8,9280.7,1216.9,9411.8,9362.8,1445.7,647.0,12267.1,6490.9,4392.0,9382.8,9279.2,4348.0,1491.2,10489.2,4157.3,4307.0,2659.8,1727.5,4451.0,5187.9,492.2,2417.3,6036.8,3034.9,232.2,657.6,1292.6,850.4,12038.9,813.5,1594.9,2231.5,5134.2,9238.6,4428.8,410.8,4972.1,2387.2,338.7,1239.2,4381.0,9334.8,984.9,1205.1,5194.8,10465.6,6245.1,944.1,2442.7,9401.4,12272.3,5754.0,12278.4,5885.4,12794.8,373.2,9347.4,773.6,2022.2,12665.1,4499.5,471.5,5329.8,1207.3,483.7,418.0,2681.3,9448.8,2337.2,5136.6,1606.6,1505.9,6082.9,7912.2,5473.8,2448.4,1284.5,4990.6,3563.6,4667.7,4364.0,5758.3,3958.8,5976.1,1064.5,404.2,1221.7,1441.8,4519.2,4393.8,2901.2,2166.2,5172.3,9258.1,1624.2,5757.2,412.3,433.2,5302.0,4490.3,444.7,5750.2,5788.3,2234.2,3716.0,1668.4,1696.9,5977.0,534.2,1040.6
"Tennfjord, 6264 Tennfjord",2047.7,1682.9,2297.5,2326.0,3060.4,2287.2,2672.0,0.0,2314.1,1877.8,2572.3,2242.6,1089.5,11298.9,9804.3,4069.6,2127.9,12753.5,1698.2,9443.5,2293.9,4792.1,2424.5,4507.8,282.2,2584.3,6239.9,5628.9,823.2,9702.5,6374.1,5060.0,2122.6,1957.4,2194.0,1960.5,1841.0,4059.5,2050.0,1618.9,2873.7,2615.1,5582.0,2280.9,1079.0,7321.4,9483.6,1624.2,9774.4,9725.4,2630.3,2174.7,12629.7,6364.9,2644.6,9745.4,9482.1,2167.4,2675.8,9270.9,2939.0,1847.1,199.9,2912.1,4813.6,5550.5,2195.5,961.3,6399.4,2908.9,2517.9,2149.2,1617.7,2125.6,12401.5,2086.7,1957.5,2594.1,5008.2,9441.5,4791.4,2280.4,5334.7,2749.8,2336.4,1524.8,2633.6,9697.4,2080.5,1567.7,5557.4,9783.3,6607.7,1874.3,2805.3,9764.0,12634.9,4535.7,12641.0,6248.0,12997.7,2411.4,9710.0,2117.3,813.9,13027.7,4862.1,2270.8,3149.2,1667.4,2283.0,2316.4,1463.0,9811.4,881.2,5010.6,1969.2,1234.0,6445.5,8115.1,5836.4,2811.0,1619.0,4864.6,1383.0,3449.4,4726.6,4540.0,4321.4,6338.7,1812.9,2319.6,1584.3,2626.4,4881.8,2646.4,1682.9,608.2,5046.3,9461.0,2808.8,4538.9,2310.7,2331.6,3121.4,2665.1,2254.6,4531.9,4570.0,1053.7,4078.6,2853.0,2881.5,6339.6,2161.8,1894.9
"Ålesund, 6002 Ålesund",1333.6,859.2,18.2,39.5,1524.3,28.7,412.6,2325.3,0.0,1163.7,312.9,102.5,2918.6,10584.8,9090.2,3355.5,284.8,12039.4,2565.0,8889.1,47.9,4078.0,888.4,5374.6,2117.5,1870.2,5525.8,4914.8,1680.0,8988.4,5660.0,4834.5,262.3,1404.6,314.8,551.9,1126.9,3345.4,423.3,892.7,2648.2,1079.0,4867.9,109.0,2908.1,6607.3,8929.2,865.4,9060.3,9011.3,1094.2,295.5,11915.6,6139.4,4040.5,9031.3,8927.7,3996.5,1139.7,10137.7,3805.8,3955.5,2308.3,1376.0,4099.5,4836.4,140.7,2065.8,5685.3,2683.4,258.5,306.1,941.1,498.9,11687.4,462.0,1243.4,1880.0,4782.7,8887.1,4077.3,59.3,4620.6,2035.7,87.5,887.7,4029.5,8983.3,633.4,853.6,4843.3,10114.1,5893.6,592.6,2091.2,9049.9,11920.8,5402.5,11926.9,5533.9,12443.3,127.6,8995.9,422.1,1670.7,12313.6,4148.0,120.0,4978.3,855.8,132.2,29.9,2329.8,9097.3,1985.7,4785.1,1255.1,1154.4,5731.4,7560.7,5122.3,2096.9,933.0,4639.1,3212.1,4316.2,4012.5,5406.8,3607.3,5624.6,713.0,5.5,870.2,1090.3,4167.7,4042.3,2549.7,1814.7,4820.8,8906.6,1272.7,5405.7,24.2,45.1,4950.5,4138.8,93.2,5398.7,5436.8,1882.7,3364.5,1316.9,1345.4,5625.5,182.7,689.1
Blindheim omsorgssenter,465.3,360.6,1133.1,1161.6,2330.2,1122.8,1507.6,1864.1,1149.7,0.0,1407.9,1078.2,2457.4,9716.5,8221.9,2487.2,931.0,11171.1,2070.0,8020.8,1129.5,3209.7,1694.3,4879.6,1656.3,1001.9,4657.5,4046.5,1185.0,8120.1,4791.7,3908.3,925.7,478.4,997.1,1357.8,93.7,2477.1,853.1,345.3,1722.0,1884.9,3999.6,1116.5,2446.9,5739.0,8060.9,427.3,8192.0,8143.0,1900.1,977.8,11047.3,5213.2,3545.5,8163.0,8059.4,3535.3,1945.6,9642.7,3310.8,3494.3,1847.1,2181.9,3231.2,3968.1,1031.1,1570.8,4817.0,1757.2,1353.5,952.3,334.2,928.7,10819.1,885.4,317.2,1011.7,3856.5,8018.8,3209.0,1116.0,3752.3,1167.4,1172.0,438.2,3534.5,8115.0,826.2,357.1,3975.0,9245.8,5025.3,673.0,1222.9,8181.6,11052.5,4907.5,11058.6,4665.6,11575.0,1247.0,8127.6,920.4,1175.7,11445.3,3279.7,1106.4,4517.1,1661.7,1118.6,1152.0,1834.8,8229.0,1490.7,3858.9,386.8,1960.3,4863.1,6692.4,4254.0,1228.6,308.7,3712.9,2750.9,3821.2,3144.2,4911.8,2739.0,4756.3,557.1,1155.2,367.0,1896.2,3299.4,3547.3,2054.7,1504.6,3894.6,8038.3,2078.6,4910.7,1146.3,1167.2,4489.3,3643.8,1090.2,4903.7,4941.8,1387.7,2496.2,2122.8,2151.3,4757.2,1009.9,601.4
