Kundenr,Tur-id,Kundenavn,Hvorav PPL frys,Volum,Antall leveranser,PPL,Leveringsdag kunde,Leveringstid kunde fra,Leveringstid kunde til
3756,5601,Motorhuset,0.5,1486.48,1,1.5,Fredag,09:25,11:25
213,5551,1996 Hotel Alexandra,0.0,2600.0,1,2.0,Fredag,08:50,10:50
2646,5551,4274 Hoven Restaurant,0.0,922.0,1,1.0,Fredag,08:45,10:45
9338,5401,460389kant.veidekke Kongshaug.,0.5,204.7,1,1.0,Fredag,11:10,13:10
7004,5201,Alf Tafjord Landhandel,0.5,1215.7,1,2.0,Fredag,10:05,12:05
3319,5751,Alnes Fyr Og Opplevelsessenter,0.5,328.9,1,1.0,Fredag,10:00,12:00
9142,5051,Anno,0.0,300.0,1,0.5,Fredag,08:20,10:20
785,5151,Brattvåg Bowling As,0.0,747.8,1,1.0,Fredag,11:55,13:55
793,5151,Brattvåg Fjordhotell,0.5,693.07,1,1.5,Fredag,11:25,13:25
8309,5051,Bro,0.5,0.0,1,1.0,Fredag,08:10,10:10
3070,5151,Bunnpris Brattvåg,0.0,5494.92,1,5.85,Fredag,11:40,13:40
6343,5451,Bunnpris Bryggja,1.0,6805.95,1,7.35,Fredag,07:45,09:45
3096,5452,Bunnpris Eid,1.0,5396.4,1,5.0,Fredag,08:15,10:15
3095,5701,Bunnpris Hareid,0.0,1830.3,1,1.5,Fredag,07:00,09:00
3083,5601,Bunnpris Ikornes,0.0,2194.0,1,2.0,Fredag,07:40,09:40
3079,5402,Bunnpris Langevåg,0.0,2094.5,1,3.85,Fredag,15:45,17:45
13116,5451,Bunnpris Oldeide,1.0,4654.95,1,5.5,Fredag,08:45,10:45
3086,5551,Bunnpris Olden,1.0,4950.46,1,5.0,Fredag,09:30,11:30
3071,5651,Bunnpris Sjøholt,3.0,14724.48,1,12.0,Fredag,07:10,09:10
3054,5054,Bunnpris Skansen,0.5,1890.6,1,3.0,Fredag,15:50,17:50
3076,5402,Bunnpris Spjelkavik,0.0,1963.58,1,2.0,Fredag,17:55,19:55
3092,5351,Bunnpris Stad,1.0,9858.9,1,7.5,Fredag,09:20,11:20
6340,5601,Bunnpris Straumgjerde,0.0,946.63,1,1.0,Fredag,08:10,10:10
3097,5551,Bunnpris Stryn,0.5,3899.53,1,4.5,Fredag,08:05,10:05
3078,5054,Bunnpris Torghallen,0.0,1594.6,1,2.0,Fredag,16:45,18:45
3077,5701,Bunnpris Ulsteinvik,0.0,2410.6,1,2.85,Fredag,08:05,10:05
3080,5751,Bunnpris Valderøy,2.0,8130.9,1,7.35,Fredag,07:10,09:10
3089,5201,Bunnpris Valldal,1.0,10561.57,1,9.0,Fredag,08:10,10:10
3075,5151,Bunnpris Vatne,0.0,5843.95,1,4.0,Fredag,08:45,10:45
3081,5401,Bunnpris Vedde,0.0,5047.71,1,5.35,Fredag,11:45,13:45
3066,5501,Bunnpris Volda,0.5,4278.68,1,4.0,Fredag,08:40,10:40
3093,5502,Bunnpris Ørsta,0.0,5744.42,1,7.0,Fredag,15:40,17:40
6672,5151,Burger King Digernes Avd 5065,0.0,300.0,1,0.5,Fredag,07:15,09:15
8308,5101,"Burger King Moa, Avd 5043 Åles",0.0,300.0,1,0.5,Fredag,08:20,10:20
8534,5054,Burger King Ålesund Avd.5049,0.0,300.0,1,0.5,Fredag,17:55,19:55
9178,5052,Bybadet,0.5,559.1,1,1.0,Fredag,13:25,15:25
1863,5501,Bygg 1 Produkter Kantine,0.5,380.8,1,1.0,Fredag,08:30,10:30
902,5452,China Restaurant Eid,0.0,303.0,1,0.5,Fredag,09:00,11:00
9172,5051,Cinque Minuti,0.0,30.0,1,0.5,Fredag,09:10,11:10
8953,5101,Coop Obs Kafe Avd 5289,0.5,1226.3,1,1.5,Fredag,09:00,11:00
6460,5601,Dreges Hotel,0.0,45.2,1,0.5,Fredag,09:40,11:40
8947,5051,Dråpe Ålesund Kaffehus As,0.5,537.6,1,1.5,Fredag,09:30,11:30
