Kundenr,Tur-id,Kundenavn,Hvorav PPL frys,Volum,Antall leveranser,PPL,Leveringsdag kunde,Leveringstid kunde fra,Leveringstid kunde til
7921,1051,Kantine Ålesund Rådhus 2024,0.0,300.0,1,0.5,Mandag,07:55,09:55
3550,1302,Joker Geiranger,0.0,39.5,1,0.5,Mandag,10:30,12:30
7255,1302,0431 H Union Geiranger Mat,1.0,615.46,1,2.0,Mandag,11:31,13:31
13026,1651,Albatross Kantine Langsten,0.0,1600.0,1,1.5,Mandag,09:35,11:35
13018,1651,Albatross Kantine Trohaugen,0.0,300.0,1,0.5,Mandag,09:10,11:10
9142,1052,Anno,0.0,303.0,1,1.0,Mandag,13:25,15:25
8165,1052,Ask Safety 460205,0.5,419.73,1,1.5,Mandag,11:45,13:45
8288,1051,Atlanterhavsparken Ålesund,0.0,30.0,1,0.0,Mandag,09:05,11:05
8527,1052,"Borgund Vgs, Rest.og Matfag",0.0,59.08,1,0.5,Mandag,11:05,13:05
7911,1042,Borgundheimen Dagsenter 240040,0.5,131.5,1,1.0,Mandag,12:20,14:20
9329,1051,Brisk Avd Rådhuset,0.5,262.9,1,1.0,Mandag,07:55,09:55
3070,1151,Bunnpris Brattvåg,1.0,8175.54,1,8.5,Mandag,09:20,11:20
3087,1052,Bunnpris Broa,0.0,799.81,1,1.0,Mandag,13:15,15:15
6343,1451,Bunnpris Bryggja,0.0,1898.7,1,1.5,Mandag,09:45,11:45
3096,1451,Bunnpris Eid,0.0,5167.45,1,5.0,Mandag,08:45,10:45
3095,1702,Bunnpris Hareid,0.0,5481.37,1,5.683,Mandag,16:40,18:40
3083,1601,Bunnpris Ikornes,1.0,8318.45,1,8.333,Mandag,08:00,10:00
3079,1401,Bunnpris Langevåg,0.0,5261.34,1,5.166,Mandag,17:15,19:15
2943,1101,Bunnpris Nørve,1.0,5199.62,1,6.333,Mandag,08:15,10:15
13116,1451,Bunnpris Oldeide,0.0,1144.5,1,1.0,Mandag,10:25,12:25
3086,1551,Bunnpris Olden,0.5,3000.61,1,5.0,Mandag,11:20,13:20
3071,1651,Bunnpris Sjøholt,0.5,5773.9,1,5.35,Mandag,06:55,08:55
