Kundenr,Tur-id,Kundenavn,Hvorav PPL frys,Volum,Antall leveranser,PPL,Leveringsdag kunde,Leveringstid kunde fra,Leveringstid kunde til
361,3501,Asko Mat,0.0,0.0,1,0.0,Onsdag,08:20,10:20
8353,3055,4341 Apotekergata 5,0.0,300.0,1,1.0,Onsdag,15:55,17:55
9325,3041,Akademiet Vgs Åles.elevkantine,0.5,252.6,1,1.0,Onsdag,08:05,10:05
3319,3751,Alnes Fyr Og Opplevelsessenter,0.5,313.2,1,1.0,Onsdag,10:35,12:35
9142,3055,Anno,0.5,318.6,2,1.0,Onsdag,15:45,17:45
8288,3051,Atlanterhavsparken Ålesund,0.5,560.96,1,1.5,Onsdag,09:00,11:00
7811,3151,"Avd Vatne, Tennfjord Bhg",0.5,476.1,1,1.0,Onsdag,08:20,10:20
582,3451,Bakeriet Kaffebar,0.5,1136.0,1,1.5,Onsdag,10:20,12:20
7923,3051,Blindheim Omsorgssenter 2024,0.5,637.5,1,1.0,Onsdag,07:00,09:00
7396,3751,Braud Valderøy,0.5,679.4,1,1.5,Onsdag,08:55,10:55
9336,3055,Brooklyn 24/26,0.5,477.9,1,1.04,Onsdag,17:40,19:40
3070,3151,Bunnpris Brattvåg,1.0,5266.28,1,5.0,Onsdag,10:35,12:35
6343,3451,Bunnpris Bryggja,1.0,9850.77,1,9.166,Onsdag,08:25,10:25
3096,3452,Bunnpris Eid,1.5,8603.26,1,8.0,Onsdag,09:50,11:50
3095,3701,Bunnpris Hareid,1.0,6767.5,1,6.85,Onsdag,07:00,09:00
2943,3053,Bunnpris Nørve,0.0,389.27,1,0.5,Onsdag,06:55,08:55
13116,3451,Bunnpris Oldeide,1.0,8889.64,1,8.666,Onsdag,10:50,12:50
3071,3651,Bunnpris Sjøholt,0.0,3172.98,1,2.0,Onsdag,06:45,08:45
3097,3551,Bunnpris Stryn,1.0,5360.53,1,5.666,Onsdag,07:50,09:50
3078,3055,Bunnpris Torghallen,0.0,2424.3,1,2.5,Onsdag,16:05,18:05
3077,3702,Bunnpris Ulsteinvik,1.0,5350.04,1,5.333,Onsdag,17:40,19:40
3080,3752,Bunnpris Valderøy,0.0,5096.44,1,5.85,Onsdag,17:05,19:05
3089,3201,Bunnpris Valldal,1.0,5569.05,1,6.0,Onsdag,08:30,10:30
3075,3151,Bunnpris Vatne,1.0,4510.17,1,4.5,Onsdag,08:05,10:05
3081,3401,Bunnpris Vedde,0.0,6499.68,1,5.0,Onsdag,15:55,17:55
3066,3502,Bunnpris Volda,0.0,112.87,1,0.5,Onsdag,17:40,19:40
3093,3502,Bunnpris Ørsta,2.5,8743.38,1,8.666,Onsdag,16:45,18:45
6672,3151,Burger King Digernes Avd 5065,0.0,300.0,1,0.5,Onsdag,07:40,09:40
902,3452,China Restaurant Eid,0.5,313.5,1,1.0,Onsdag,11:05,13:05
1048,3452,Didriks Kafe & Gaver,0.5,346.4,1,1.0,Onsdag,11:00,13:00
6460,3601,Dreges Hotel,0.5,209.9,1,0.5,Onsdag,08:50,10:50
8945,3051,Daaskogen Renex,0.5,473.1,1,1.0,Onsdag,09:20,11:20
