Kundenr,Tur-id,Kundenavn,Hvorav PPL frys,Volum,Antall leveranser,PPL,Leveringsdag kunde,Leveringstid kunde fra,Leveringstid kunde til
7922,2103,Aspøy Omsorgssenter 2024,0.5,1002.5,1,1.5,Tirsdag,11:35,13:35
3756,2602,Motorhuset,1.0,1597.3,1,2.0,Tirsdag,18:00,20:00
7255,2302,0431 H Union Geiranger Mat,1.0,690.4,1,1.5,Tirsdag,11:31,13:31
7261,2302,0431 H.union Geiranger Bar 2,0.0,52.78,1,0.62,Tirsdag,11:33,13:33
213,2551,1996 Hotel Alexandra,0.0,1600.0,1,1.5,Tirsdag,08:55,10:55
6437,2042,2752 Storfjord Hotel,0.0,1957.3,1,2.0,Tirsdag,08:00,16:00
2646,2551,4274 Hoven Restaurant,0.0,0.0,1,0.5,Tirsdag,08:45,10:45
9338,2107,460389kant.veidekke Kongshaug.,0.5,0.0,1,1.0,Tirsdag,08:40,10:40
7635,2352,A. M. Vik As,0.5,226.4,1,1.0,Tirsdag,10:10,12:10
9142,2051,Anno,0.5,452.8,1,1.0,Tirsdag,07:50,09:50
575,2451,Bjørgs Mat As,0.5,2138.56,1,2.5,Tirsdag,11:30,13:30
13097,2302,Brasserie Posten Geiranger,0.5,307.75,1,1.0,Tirsdag,10:45,12:45
785,2151,Brattvåg Bowling As,0.5,834.22,1,1.0,Tirsdag,08:35,10:35
793,2151,Brattvåg Fjordhotell,0.52,1107.94,1,1.52,Tirsdag,08:15,10:15
7394,2107,Braud Moa,0.5,461.38,1,1.5,Tirsdag,10:25,12:25
7392,2701,Braud Ulsteinvik,0.5,809.79,1,1.5,Tirsdag,08:10,10:10
8309,2051,Bro,0.5,103.1,1,1.0,Tirsdag,08:20,10:20
7857,2501,Brør Mat Og Bryggeri,0.0,386.0,1,0.5,Tirsdag,10:30,12:30
3070,2151,Bunnpris Brattvåg,0.0,785.72,1,1.0,Tirsdag,08:00,10:00
3087,2054,Bunnpris Broa,1.0,7792.7,1,8.183,Tirsdag,16:50,18:50
6343,2451,Bunnpris Bryggja,0.0,3695.95,1,3.499,Tirsdag,08:25,10:25
3083,2601,Bunnpris Ikornes,1.0,6229.9,1,5.85,Tirsdag,09:15,11:15
3079,2403,Bunnpris Langevåg,1.0,4459.21,1,4.85,Tirsdag,16:05,18:05
3086,2551,Bunnpris Olden,0.5,4943.03,1,5.5,Tirsdag,09:25,13:00
3071,2651,Bunnpris Sjøholt,1.02,10036.26,1,8.786,Tirsdag,07:20,09:20
3054,2054,Bunnpris Skansen,2.5,13807.2,1,13.0,Tirsdag,15:50,17:50
3076,2102,Bunnpris Spjelkavik,1.5,6518.5,1,6.25,Tirsdag,06:20,08:20
3092,2351,Bunnpris Stad,1.0,8291.01,1,7.0,Tirsdag,09:10,11:10
6340,2601,Bunnpris Straumgjerde,1.02,7641.74,1,6.52,Tirsdag,07:30,09:30
3078,2104,Bunnpris Torghallen,1.5,11315.05,1,11.932,Tirsdag,12:40,14:40
3077,2701,Bunnpris Ulsteinvik,0.0,719.6,1,1.0,Tirsdag,07:55,09:55
3075,2151,Bunnpris Vatne,1.5,9740.24,1,8.583,Tirsdag,07:20,09:20
3081,2404,Bunnpris Vedde,3.0,8217.05,1,8.85,Tirsdag,19:40,21:40
3093,2503,Bunnpris Ørsta,0.0,426.5,1,0.5,Tirsdag,17:05,19:05
8308,2102,"Burger King Moa, Avd 5043 Åles",0.0,300.0,1,0.5,Tirsdag,07:15,09:15
7872,2501,Burger King Volda Avd.5087,0.0,30.0,1,0.0,Tirsdag,11:10,13:10
8534,2103,Burger King Ålesund Avd.5049,0.0,300.0,1,0.5,Tirsdag,12:40,14:40
9178,2052,Bybadet,0.5,640.21,1,1.5,Tirsdag,13:15,15:15
2695,2601,Bølgen Bar & Restaurant Ny,0.5,361.9,1,1.0,Tirsdag,09:35,11:35
9315,2101,Cafè Herman,0.5,835.06,1,1.0,Tirsdag,07:15,09:15
2960,2701,Cafe Nova,0.5,1470.6,1,1.5,Tirsdag,09:50,11:50
9172,2051,Cinque Minuti,0.5,1304.86,1,2.5,Tirsdag,08:45,10:45
8953,2107,Coop Obs Kafe Avd 5289,0.5,1005.7,1,1.5,Tirsdag,09:25,11:25
9236,2101,Dampsentralen,0.5,330.32,1,1.0,Tirsdag,08:15,10:15
1847,2503,Det Lille Napoli Ørsta,0.5,314.4,1,1.5,Tirsdag,17:50,19:50
8947,2101,Dråpe Ålesund Kaffehus As,0.52,1733.18,1,2.02,Tirsdag,07:55,09:55
9299,2102,Egon Moa Moanor,1.02,3572.97,1,4.27,Tirsdag,07:00,09:00
13169,2101,Egon Ålesund,1.02,2209.84,1,3.42,Tirsdag,07:25,09:25
9018,2105,Eurospar Blindheim,2.0,8258.52,1,6.35,Tirsdag,19:30,21:30
6360,2701,Eurospar Hareid,0.0,4244.5,1,3.5,Tirsdag,07:00,09:00
9200,2058,Eurospar Larsgården,4.0,8391.75,1,8.033,Tirsdag,20:45,22:45
8900,2102,Eurospar Moa,1.52,12734.189999999999,2,11.02,Tirsdag,06:00,08:00
7740,2601,Eurospar Sykkylven,0.0,5043.88,1,4.23,Tirsdag,07:00,09:00
7390,2751,Eurospar Valderøy,0.0,6719.99,1,5.85,Tirsdag,17:30,19:30
4110,2503,Eurospar Ørsta,1.5,7971.93,1,6.856,Tirsdag,17:15,19:15
9037,2054,Eurospar Ålesund Storsenter,0.0,9321.34,1,8.0,Tirsdag,16:25,18:25
8473,2051,Evergreens,0.5,719.7,1,1.5,Tirsdag,07:40,09:40
6593,2701,Facilitec Renhold Ulsteinvik,0.0,665.0,1,1.0,Tirsdag,08:25,10:25
8265,2701,Facilitec Ulsteinvik,0.5,428.3,1,1.0,Tirsdag,08:25,10:25
7935,2041,Fagerlia Barnehage,0.5,215.1,1,1.5,Tirsdag,07:40,09:40
9295,2053,Fergekaia Pluto,1.0,2707.17,1,3.5,Tirsdag,16:25,18:25
6028,2651,Fergekaia Sjøholt,1.0,1768.8,1,2.0,Tirsdag,07:45,09:45
9293,2103,Fergekaia Skarbøvik,1.0,1575.55,1,2.0,Tirsdag,11:15,13:15
8943,2401,Fiskerstrand Verft Kantine Ren,0.52,1296.65,1,1.52,Tirsdag,07:35,09:35
8551,2101,Fisketorget Avd Sentrum,0.5,1411.06,1,2.5,Tirsdag,08:05,10:05
1574,2651,Fjellstova Ørskog Kh As,0.5,310.2,1,1.0,Tirsdag,08:45,10:45
1070,2401,Fole Festlig Drift,0.5,345.8,2,1.5,Tirsdag,07:55,09:55
1842,2501,Fru Svendsen Kafe,0.5,218.6,1,1.0,Tirsdag,08:30,10:30
1821,2501,Føniks Kaffihus,0.5,282.6,1,1.0,Tirsdag,08:35,10:35
1911,2302,Geiranger Omsorgssenter,1.0,117.5,1,1.5,Tirsdag,11:05,13:05
8350,2052,Happy Elefant,0.5,354.8,1,1.0,Tirsdag,12:45,14:45
7810,2151,Haramsøy Barnehage 2024,0.5,113.3,1,1.0,Tirsdag,10:00,12:00
7917,2151,Harøy Nye Barnehage 2024,0.5,669.28,1,1.0,Tirsdag,10:55,12:55
7615,2501,Havila Hotell Ivar Aasen,0.5,585.72,1,1.5,Tirsdag,08:40,10:40
9302,2101,Hole Kjøtt As,0.0,300.0,1,0.5,Tirsdag,07:45,09:45
6712,2501,Holmen Mat Og Drikke,0.0,300.0,1,0.5,Tirsdag,10:00,12:00
8570,2101,Hotel 1904 As,0.52,2543.77,1,2.52,Tirsdag,06:55,08:55
8408,2103,Hotel Brosundet Bryggen,0.0,0.0,1,1.0,Tirsdag,12:00,14:00
8559,2052,Hotel Noreg,1.0,1177.72,1,2.5,Tirsdag,12:05,14:05
899,2051,Iss 422542 Nordea Ålesund,0.0,490.0,1,0.5,Tirsdag,07:30,09:30
9332,2107,Iss 460367 Ncc Moavegen Kant.,0.5,756.16,1,1.5,Tirsdag,08:55,10:55
3580,2302,Joker Geiranger,1.0,2079.75,1,3.5,Tirsdag,10:25,12:25
2218,2352,Joker Gursken,0.0,959.4,1,1.0,Tirsdag,07:10,09:10
4070,2352,Joker Larsnes,1.0,3694.28,1,3.5,Tirsdag,07:55,09:55
3210,2151,Joker Lepsøy,0.5,2545.77,1,3.0,Tirsdag,09:40,11:40
1126,2551,Joker Loen,0.5,2838.99,1,3.0,Tirsdag,09:00,13:00
7497,2351,Joker Stadlandet,2.0,8421.44,1,10.0,Tirsdag,10:00,12:00
4205,2351,Joker Åheim,0.5,4573.56,1,4.5,Tirsdag,08:00,10:00
8579,2107,Jordbærpikene Moa,0.0,300.0,1,0.5,Tirsdag,10:55,12:55
7904,2107,Kafè Rematun,0.5,180.6,1,1.0,Tirsdag,09:00,11:00
