Kundenr,Tur-id,Kundenavn,Hvorav PPL frys,Volum,Antall leveranser,PPL,Leveringsdag kunde,Leveringstid kunde fra,Leveringstid kunde til
7255,4302,0431 H Union Geiranger Mat,1.0,905.1,1,2.0,Torsdag,11:00,13:00
6437,4042,2752 Storfjord Hotel,0.5,512.7,1,1.5,Torsdag,11:10,13:10
615,4501,5311 Sagafjord Hotel,0.5,356.62,1,1.0,Torsdag,08:20,10:20
9333,4041,Akademiet Vgs Åles. Personal,0.02,1168.5,1,1.52,Torsdag,07:50,09:50
9335,4041,Akademiet Vgs Åles.molo Elevk.,1.0,956.3,1,2.0,Torsdag,07:50,09:50
13026,4651,Albatross Kantine Langsten,0.0,1306.0,1,1.0,Torsdag,09:50,11:50
13018,4651,Albatross Kantine Trohaugen,0.0,300.0,1,0.5,Torsdag,09:25,11:25
8165,4052,Ask Safety 460205,0.5,112.15,1,1.0,Torsdag,11:35,13:35
8284,4041,Assist Ålesund,0.0,587.8,1,1.0,Torsdag,07:00,16:00
435,4602,Aursnes Kiosk,1.0,3081.0,1,2.5,Torsdag,07:35,09:35
13275,4602,Blakstad Barnehage,0.0,300.0,1,0.5,Torsdag,10:45,12:45
13097,4302,Brasserie Posten Geiranger,1.0,207.45,1,1.5,Torsdag,10:00,12:00
7395,4651,Braud Digernes,0.5,645.33,1,1.5,Torsdag,07:30,09:30
7394,4101,Braud Moa,0.0,286.6,1,0.5,Torsdag,09:10,11:10
8331,4051,Brokiosken,1.0,1276.43,1,1.5,Torsdag,09:05,11:05
1646,4701,Brygga Sportsbar,0.0,101.59,1,0.5,Torsdag,10:55,12:55
3087,4055,Bunnpris Broa,1.0,5393.36,1,5.5,Torsdag,19:50,21:50
3095,4701,Bunnpris Hareid,2.0,7956.31,1,7.85,Torsdag,07:20,09:20
3083,4602,Bunnpris Ikornes,1.02,7504.75,1,7.02,Torsdag,09:10,11:10
3079,4402,Bunnpris Langevåg,0.5,3276.85,1,5.85,Torsdag,16:40,18:40
2943,4051,Bunnpris Nørve,2.0,6036.0,1,6.5,Torsdag,09:55,11:55
3086,4551,Bunnpris Olden,0.5,2975.54,1,3.35,Torsdag,09:15,11:15
3071,4651,Bunnpris Sjøholt,0.0,7750.41,1,7.683,Torsdag,08:15,10:15
3054,4054,Bunnpris Skansen,0.0,678.6,1,1.0,Torsdag,15:45,17:45
3076,4103,Bunnpris Spjelkavik,2.0,10550.23,1,8.35,Torsdag,15:55,17:55
6340,4601,Bunnpris Straumgjerde,2.0,7451.46,1,7.35,Torsdag,07:20,09:20
3078,4054,Bunnpris Torghallen,1.0,5649.27,1,4.85,Torsdag,16:40,18:40
3093,4503,Bunnpris Ørsta,0.0,737.1,1,1.0,Torsdag,17:50,19:50
7872,4502,Burger King Volda Avd.5087,0.0,300.0,1,0.5,Torsdag,09:50,11:50
2960,4701,Cafe Nova,0.0,30.0,1,0.0,Torsdag,10:45,12:45
890,4701,Centrumskiosken,1.0,2675.36,1,3.0,Torsdag,10:10,12:10
1047,4501,Christian Gaard Bygdetun As,1.0,328.9,1,1.5,Torsdag,07:50,09:50
9236,4051,Dampsentralen,0.0,653.3,1,1.0,Torsdag,09:40,11:40
1847,4503,Det Lille Napoli Ørsta,0.0,6.6,1,0.5,Torsdag,18:50,20:50
9267,4051,Dirty Nelly,0.0,418.79,1,0.5,Torsdag,09:15,11:15
333,4251,Elmir Pizzeria,0.0,917.1,1,1.0,Torsdag,10:40,12:40
9018,4104,Eurospar Blindheim,2.0,15603.1,1,13.75,Torsdag,19:25,21:25
6360,4701,Eurospar Hareid,0.0,13877.34,1,10.35,Torsdag,07:40,09:40
9200,4109,Eurospar Larsgården,2.5,15361.58,1,13.02,Torsdag,18:40,20:40
8900,4101,Eurospar Moa,1.0,22136.6,2,17.363,Torsdag,09:30,11:30
7740,4601,Eurospar Sykkylven,1.5,23253.2,3,20.14,Torsdag,06:50,08:50
4110,4503,Eurospar Ørsta,1.0,11664.78,1,9.56,Torsdag,17:20,19:20
9037,4054,Eurospar Ålesund Storsenter,0.5,16170.92,1,15.0,Torsdag,16:00,18:00
9310,4041,Fabrikken Kulturscene,0.0,115.2,1,0.5,Torsdag,08:00,10:00
8939,4101,Facilitec Catering Nmk Avd 120,1.0,3294.5,1,3.5,Torsdag,07:15,09:15
8265,4701,Facilitec Ulsteinvik,0.5,1246.23,1,1.5,Torsdag,09:20,11:20
1372,4602,Factory Ikornnes,0.52,1615.5,1,1.52,Torsdag,10:10,12:10
1173,4251,Fergekaia Fosnavåg,1.0,1664.12,1,2.0,Torsdag,11:00,13:00
9061,4401,Fergekaia Sunde,1.0,1704.93,1,2.0,Torsdag,13:35,15:35
8551,4041,Fisketorget Avd Sentrum,0.0,431.2,1,1.0,Torsdag,07:35,09:35
907,4351,Fiskå Brygge Gjestgiveri,0.5,693.82,1,1.0,Torsdag,09:05,11:05
2392,4701,Hareid Kommune Felleskjøkken,0.5,651.0,1,2.0,Torsdag,08:30,10:30
2388,4702,Hareid Pizza Og Pub,0.5,541.8,1,1.5,Torsdag,16:35,18:35
7920,4101,Hatlane Omsorssenter 20204,0.5,945.35,1,1.5,Torsdag,07:05,09:05
11074,4701,Hatløy Catering,0.5,627.9,1,1.5,Torsdag,09:10,11:10
1172,4251,Havila Service Kantine,0.0,282.52,1,0.5,Torsdag,08:52,10:52
1171,4251,Havila Service Resepsjon,0.0,300.0,1,0.5,Torsdag,08:50,10:50
2547,4251,Herøy Omsorgssenter 324000,0.5,2947.4,1,3.5,Torsdag,09:10,11:10
2620,4501,Hjørundfjordheimen,0.5,840.99,1,1.5,Torsdag,08:40,10:40
8066,4052,Hofseth Aalesund,0.5,887.1,1,1.5,Torsdag,13:10,15:10
6712,4502,Holmen Mat Og Drikke,0.0,23.9,1,0.5,Torsdag,10:30,12:30
1179,4251,Horisont Restaurant As,0.5,481.9,1,1.0,Torsdag,08:40,10:40
8559,4101,Hotel Noreg,0.0,78.4,1,0.5,Torsdag,07:35,09:35
1057,4551,Innvik As,0.5,512.2,1,1.0,Torsdag,10:35,12:35
2700,4551,Innvik Fjordhotell,0.5,514.4,1,1.0,Torsdag,10:40,12:40
899,4051,Iss 422542 Nordea Ålesund,0.5,439.7,1,1.0,Torsdag,07:55,09:55
8531,4502,Iss 422547 Tussa Hovdebygda,0.5,44.1,1,0.5,Torsdag,08:35,10:35
1177,4251,Jafs Fosnavåg,1.0,1423.15,1,2.0,Torsdag,09:45,11:45
554,4501,Joker Bellingen,0.5,3423.29,1,4.0,Torsdag,07:30,09:30
796,4651,Joker Fiksdal,0.5,2215.17,1,2.5,Torsdag,10:15,12:15
13110,4451,Joker Flatraket,0.5,3162.37,1,3.0,Torsdag,08:35,10:35
3580,4302,Joker Geiranger,2.0,5064.71,1,5.5,Torsdag,10:10,12:10
