customer_id,customer_name,address,postal_code,latitude,longitude,tw_start,tw_end,ppl,ppl_freeze,volume_m3,weight_kg,vehicle_type,tour_id,service_time_min
3756,Motorhuset,Motorhuset AS,,62.336197,5.8773128,09:25,11:25,1.5,0.5,1486.48,0.0,1,5601,9.1
213,1996 Hotel Alexandra,Lobyvegen 2,6789.0,61.8733073,6.8476827,08:50,10:50,2.0,0.0,2600.0,0.0,1,5551,7.4
2646,4274 Hoven Restaurant,Loenvegen 2,6789.0,61.87501,6.83945,08:45,10:45,1.0,0.0,922.0,0.0,1,5551,5.3
9338,460389kant.veidekke Kongshaug.,Kongshaug,6350.0,62.484208,6.389984,11:10,13:10,1.0,0.5,204.7,0.0,1,5401,20.0
7004,Alf Tafjord Landhandel,Tafjord,6214.0,62.23323863849318,7.417038516908912,10:05,12:05,2.0,0.5,1215.7,0.0,1,5201,12.8
3319,Alnes Fyr Og Opplevelsessenter,Alnes Fyr og opplevelsessenter,,62.4892605,5.96547,10:00,12:00,1.0,0.5,328.9,0.0,1,5751,6.5
9142,Anno,Anno,,62.4714804,6.1512358,08:20,10:20,0.5,0.0,300.0,0.0,1,5051,9.7
785,Brattvåg Bowling As,Brattvåg,6270.0,62.5998184,6.4459517,11:55,13:55,1.0,0.0,747.8,0.0,1,5151,9.4
793,Brattvåg Fjordhotell,Brattvåg Fjordhotell,,62.5968924,6.4478983,11:25,13:25,1.5,0.5,693.07,0.0,1,5151,7.8
8309,Bro,AMFI MOA - BRO - NORD - SYD,,62.471226,6.15287,08:10,10:10,1.0,0.5,0.0,0.0,1,5051,7.8
3070,Bunnpris Brattvåg,Bunnpris Brattvåg,,62.596963,6.446316,11:40,13:40,5.85,0.0,5494.92,0.0,1,5151,12.3
3095,Bunnpris Hareid,Bunnpris Hareid,,62.368536,6.032497,07:00,09:00,1.5,0.0,1830.3,0.0,1,5701,16.9
3083,Bunnpris Ikornes,Ikornes,6222.0,62.386,6.55457,07:40,09:40,2.0,0.0,2194.0,0.0,1,5601,22.9
3079,Bunnpris Langevåg,Bunnpris Langevåg,,62.4376538,6.1879915,15:45,17:45,3.85,0.0,2094.5,0.0,1,5402,10.6
3071,Bunnpris Sjøholt,Bunnpris Sjøholt,,62.482209,6.81757,07:10,09:10,12.0,3.0,14724.48,0.0,1,5651,22.5
3054,Bunnpris Skansen,SKAREGATA 1,6002.0,62.474674,6.156916,15:50,17:50,3.0,0.5,1890.6,0.0,1,5054,12.8
3076,Bunnpris Spjelkavik,Bunnpris Spjelkavik,,62.462997,6.363048,17:55,19:55,2.0,0.0,1963.58,0.0,1,5402,15.5
6340,Bunnpris Straumgjerde,Bunnpris Straumgjerde,,62.3333,6.59402,08:10,10:10,1.0,0.0,946.63,0.0,1,5601,16.2
3097,Bunnpris Stryn,Bunnpris Stryn,,61.90424,6.71934,08:05,10:05,4.5,0.5,3899.53,0.0,1,5551,14.4
3078,Bunnpris Torghallen,NEDRE STRANDGATE 9,6004.0,62.4703741,6.1502732,16:45,18:45,2.0,0.0,1594.6,0.0,1,5054,14.7
3077,Bunnpris Ulsteinvik,Bunnpris Ulsteinvik,,62.3397174,5.855376,08:05,10:05,2.85,0.0,2410.6,0.0,1,5701,16.0
3080,Bunnpris Valderøy,Bunnpris Valderøy,,62.499107,6.130952,07:10,09:10,7.35,2.0,8130.9,0.0,1,5751,17.4
3089,Bunnpris Valldal,Bunnpris Valldal,,62.297543,7.256927,08:10,10:10,9.0,1.0,10561.57,0.0,1,5201,30.0
3075,Bunnpris Vatne,Bunnpris Vatne,,62.544919,6.593203,08:45,10:45,4.0,0.0,5843.95,0.0,1,5151,16.1
3081,Bunnpris Vedde,Bunnpris Vedde,,62.437824,6.234944,11:45,13:45,5.35,0.0,5047.71,0.0,1,5401,14.8
3066,Bunnpris Volda,Bunnpris Volda,,62.14507,6.066253,08:40,10:40,4.0,0.5,4278.68,0.0,1,5501,17.0
3093,Bunnpris Ørsta,Bunnpris Ørsta,,62.199592,6.123608,15:40,17:40,7.0,0.0,5744.42,0.0,1,5502,11.8
6672,Burger King Digernes Avd 5065,Digernessundet,6057.0,62.49105,6.60778,07:15,09:15,0.5,0.0,300.0,0.0,1,5151,5.2
8308,"Burger King Moa, Avd 5043 Åles",Langelandsvegen 47,6010.0,62.4651818,6.3478662,08:20,10:20,0.5,0.0,300.0,0.0,1,5101,4.5
8534,Burger King Ålesund Avd.5049,KIPERVIKGATA 5,6003.0,62.4719148,6.1593252,17:55,19:55,0.5,0.0,300.0,0.0,1,5054,6.0
9178,Bybadet,PARKGATA 11B,6003.0,62.472774,6.165056,13:25,15:25,1.0,0.5,559.1,0.0,1,5052,11.4
1863,Bygg 1 Produkter Kantine,Ålesund,6008.0,62.47,6.2,08:30,10:30,1.0,0.5,380.8,0.0,1,5501,5.3
9172,Cinque Minuti,Kongensgate 1,6002.0,62.4728964,6.1563672,09:10,11:10,0.5,0.0,30.0,0.0,1,5051,7.7
8953,Coop Obs Kafe Avd 5289,Digernes,6057.0,62.465082,6.35152,09:00,11:00,1.5,0.5,1226.3,0.0,1,5101,8.9
6460,Dreges Hotel,Dregesvegen 2,6200.0,62.30739,6.9471,09:40,11:40,0.5,0.0,45.2,0.0,1,5601,8.2
8947,Dråpe Ålesund Kaffehus As,Kirkegata 4,6002.0,62.4718628,6.1603005,09:30,11:30,1.5,0.5,537.6,0.0,1,5051,7.6
