,FLISNESVEGEN 1,LERSTADVEGEN 545,LORKENESTORGET,SMEDGARDEN 1,Øvre Geilegrend 1,FOGD GREVES VEG 3,KONGENS GATE 6,Gamle Blindheimsveg 25,Spjelkavikvegen 61,SPJELKAVIKVEGEN 42,SKAREGATA 1,Rasmus Rønnebergs gate 21,BROGATA 1,KONGENS GATE 28A,SKANSEKAIA 4A,SORENSKRIVER BULLS GATE 7,PARKGATA 11B,KONGENS GATE 27,RASMUS RØNNEBERGS GATE 4,LARSGÅRDSVEGEN 19,SUNDGATA 8,RASMUS RØNNEBERGS GATE 6,NEDRE STRANDGATE 51,NØRVEGATA 23,NEDRE KLOKKERSUNDVEGEN 2,LERSTADVEGEN 291,APOTEKERGATA 1-3,APOTEKERGATA 5,SKARBØVIKGATA 25,OLE THORESENS GATE 16,JOHS. AARFLOTS GATE 4,KIPERVIKGATA 5,KIRKEGATA 1 A,SKARBØVIKGATA 26,APOTEKERGATA 8,KONGENS GATE 28,SJØMANNSVEGEN 14,NEDRE STRANDGATE 9,FJORDGATA 52,KEISER WILHELMS GATE 39,GJERDEGATA 4,NOTENESGATA 3,HATLASKARET 1,SJØMANNSVEGEN 1,KIRKEGATA 2,KONGENS GATE 11,KONGENS GATE 30,SKATEFLUKAIA 1B,KEISER WILHELMS GATE 2,RINGGATA 15E,KORSEGATA 4,RASMUS RØNNEBERGS GATE 21,PARKGATA 22,TOLLBUGATA 2,LORKENESGATA 1,RÅDSTUGATA 3B,SOLAVÅGSEIDET 76,APOTEKERGATA 6,KEISER WILHELMS GATE 32,POSTVEGEN 17,POSTVEGEN 11,POSTVEGEN 15,KONGENS GATE 25,KONGENS GATE 32A,BLINDHEIM INDUSTRIVEG 2D,Depot
FLISNESVEGEN 1,0.0,519.8,1201.0,907.8,638.7,955.1,1188.0,225.4,390.3,415.8,1207.6,1198.1,1336.2,1230.2,1241.3,1212.8,1177.6,1235.5,1198.8,934.7,1112.7,1197.6,1253.6,1033.9,967.0,754.6,1216.1,1214.7,1435.1,1484.6,1308.5,1157.8,1229.3,1422.9,1210.9,1230.2,1108.6,1211.1,1302.0,1170.2,1154.2,1197.0,860.8,1032.1,1214.8,1194.1,1230.7,1209.5,1233.4,1348.3,1166.7,1198.1,1181.2,1217.0,1216.3,1143.8,468.4,1213.7,1162.6,473.9,506.5,478.1,1229.8,1231.5,294.3,546.9
LERSTADVEGEN 545,524.2,0.0,854.1,647.2,379.6,608.2,841.1,407.7,166.9,165.6,860.7,851.2,989.3,883.3,894.4,865.9,830.7,888.6,851.9,587.8,765.8,850.7,906.7,687.0,624.5,412.1,869.2,867.8,1088.2,1137.7,961.6,810.9,882.4,1076.0,864.0,883.3,761.7,864.2,955.1,823.3,807.3,850.1,600.2,685.2,867.9,847.2,883.8,862.6,886.5,1001.4,819.8,851.2,834.3,870.1,869.4,796.9,535.9,866.8,815.7,127.0,159.6,131.2,882.9,884.6,494.5,614.4
LORKENESTORGET,1206.8,851.1,0.0,596.8,676.4,383.7,83.4,1090.3,896.4,904.5,71.6,72.4,149.9,94.2,105.3,94.0,88.5,99.5,18.9,386.7,104.1,22.7,67.3,269.5,425.4,556.0,29.8,28.4,248.8,298.3,122.2,74.9,43.0,236.6,24.6,94.2,327.0,24.8,115.7,76.3,95.9,23.3,533.8,250.5,28.5,58.1,94.7,73.5,62.0,162.0,52.1,72.4,92.1,81.0,16.9,90.1,1218.5,27.4,68.7,793.8,826.4,798.0,93.8,95.5,1177.1,1297.0
SMEDGARDEN 1,892.5,659.6,603.9,0.0,351.4,339.8,590.9,776.0,582.1,607.6,610.5,601.0,739.1,633.1,644.2,615.7,580.5,638.4,601.7,302.4,515.6,600.5,656.5,436.8,233.1,346.0,619.0,617.6,838.0,887.5,711.4,560.7,632.2,825.8,613.8,633.1,511.5,614.0,704.9,573.1,557.1,599.9,60.4,435.0,617.7,597.0,633.6,612.4,636.3,751.2,569.6,601.0,584.1,619.9,619.2,546.7,904.2,616.6,565.5,602.3,634.9,606.5,632.7,634.4,862.8,982.7
Øvre Geilegrend 1,641.4,375.3,712.2,370.7,0.0,466.3,699.2,524.9,331.0,324.4,718.8,709.3,847.4,741.4,752.5,724.0,688.8,746.7,710.0,445.9,623.9,708.8,764.8,545.1,429.9,217.5,727.3,725.9,946.3,995.8,819.7,669.0,740.5,934.1,722.1,741.4,619.8,722.3,813.2,681.4,665.4,708.2,323.7,543.3,726.0,705.3,741.9,720.7,744.6,859.5,677.9,709.3,692.4,728.2,727.5,655.0,653.1,724.9,673.8,341.6,374.2,345.8,741.0,742.7,611.7,731.6
FOGD GREVES VEG 3,974.3,618.6,367.0,334.3,443.9,0.0,354.0,857.8,663.9,672.0,373.6,364.1,502.2,396.2,407.3,378.8,343.6,401.5,364.8,67.1,278.7,363.6,419.6,143.6,162.9,323.5,382.1,380.7,601.1,650.6,474.5,323.8,395.3,588.9,376.9,396.2,267.6,377.1,468.0,336.2,320.2,363.0,271.3,191.1,380.8,360.1,396.7,375.5,399.4,514.3,332.7,364.1,341.3,383.0,382.3,309.8,986.0,379.7,328.6,561.3,593.9,565.5,395.8,397.5,944.6,1064.5
KONGENS GATE 6,1203.2,847.5,72.3,593.2,672.8,380.1,0.0,1086.7,892.8,900.9,35.1,47.6,207.5,68.2,79.3,48.7,46.9,73.5,57.2,383.1,77.9,53.4,124.9,265.9,421.8,552.4,87.4,86.0,306.4,355.9,179.8,33.3,100.6,294.2,82.2,68.2,323.4,82.4,173.3,42.2,54.3,52.8,530.2,246.9,86.1,57.9,68.7,46.0,117.2,219.6,81.7,47.6,50.5,55.0,72.1,62.3,1214.9,85.0,53.2,790.2,822.8,794.4,67.8,69.5,1173.5,1293.4
Gamle Blindheimsveg 25,235.7,410.3,1091.5,798.3,529.2,845.6,1078.5,0.0,280.8,306.3,1098.1,1088.6,1226.7,1120.7,1131.8,1103.3,1068.1,1126.0,1089.3,825.2,1003.2,1088.1,1144.1,924.4,857.5,645.1,1106.6,1105.2,1325.6,1375.1,1199.0,1048.3,1119.8,1313.4,1101.4,1120.7,999.1,1101.6,1192.5,1060.7,1044.7,1087.5,751.3,922.6,1105.3,1084.6,1121.2,1100.0,1123.9,1238.8,1057.2,1088.6,1071.7,1107.5,1106.8,1034.3,358.9,1104.2,1053.1,364.4,397.0,368.6,1120.3,1122.0,194.9,437.4
Spjelkavikvegen 61,400.1,159.2,894.5,601.3,332.2,648.6,881.5,283.6,0.0,25.5,901.1,891.6,1029.7,923.7,934.8,906.3,871.1,929.0,892.3,628.2,806.2,891.1,947.1,727.4,660.5,448.1,909.6,908.2,1128.6,1178.1,1002.0,851.3,922.8,1116.4,904.4,923.7,802.1,904.6,995.5,863.7,847.7,890.5,554.3,725.6,908.3,887.6,924.2,903.0,926.9,1041.8,860.2,891.6,874.7,910.5,909.8,837.3,411.8,907.2,856.1,167.4,200.0,171.6,923.3,925.0,370.4,490.3
SPJELKAVIKVEGEN 42,422.5,160.5,913.0,600.8,354.6,667.1,900.0,306.0,22.4,0.0,919.6,910.1,1048.2,942.2,953.3,924.8,889.6,947.5,910.8,646.7,824.7,909.6,965.6,745.9,660.0,447.6,928.1,926.7,1147.1,1196.6,1020.5,869.8,941.3,1134.9,922.9,942.2,820.6,923.1,1014.0,882.2,866.2,909.0,553.8,744.1,926.8,906.1,942.7,921.5,945.4,1060.3,878.7,910.1,893.2,929.0,928.3,855.8,434.2,925.7,874.6,185.9,218.5,190.1,941.8,943.5,392.8,512.7
