Kundenr,Alle kunder,Antall leveranser,Antall min. per lev.,Minutter pr M3
361, ASKO MAT ,50,2.88,10.3611061344224
7922, ASPØY OMSORGSSENTER 2024 ,53,2.3962264150943398,2.9559197879744343
7921, KANTINE ÅLESUND RÅDHUS 2024 ,61,6.032786885245901,12.23300957964321
3756, MOTORHUSET ,101,7.138613861386139,4.598523982227374
213,1996  HOTEL ALEXANDRA ,97,5.443298969072165,2.412862751979644
3318,2057 HOTEL LOENFJORD ,46,5.369565217391305,4.904997934737713
8801,2743 62 NORD ,8,15.625,340.59945504087193
6437,2752 STORFJORD HOTEL ,99,9.474747474747474,8.334803179132068
5850,321 SELJETUNET OMS OG REHAB ,1,2.0,66.66666666666667
1023,3846 DEVOLD FABR.UTS. DYRKORN ,5,37.6,280.01191540065537
1025,3846 DEVOLD KANTINE KAFE ,101,3.267326732673267,4.095870679709739
1028,3846 DEVOLD RETAIL HELLESYLT ,3,14.333333333333334,146.5076660988075
7367,4008 VALLDAL FJORDHOTELL ,45,11.066666666666666,16.246789383212498
2646,4274 HOVEN RESTAURANT ,84,3.3452380952380953,14.451907548935909
8353,4341 APOTEKERGATA 5 ,90,4.644444444444445,11.876744396833283
615,5311 SAGAFJORD HOTEL ,45,6.155555555555556,13.027918782919599
7582,5410 VISNES HOTEL STRYN AS ,56,7.482142857142857,13.346082717682888
9251,6210 SJØBUA ,72,2.2083333333333335,8.081510419049186
7635,A. M. VIK AS ,24,2.5,17.833259028087383
8004,A.WESTRE ,2,8.0,26.666666666666668
9274,ABLE CARWASH ,3,1.3333333333333333,2.45188181929631
3439,AISHA SPISERI ,20,8.55,11.578619503541296
9326,AKADEMIET VGS MØRE ANSATTE ,6,6.5,19.440705847166143
9325,AKADEMIET VGS ÅLES.ELEVKANTINE ,4,2.5,9.792401096748922
8203,AKSLA IL ,30,2.2333333333333334,11.808664387183194
13026,ALBATROSS KANTINE LANGSTEN ,59,5.8474576271186445,8.664640731345907
13018,ALBATROSS KANTINE TROHAUGEN ,53,3.2641509433962264,2.813053870794647
13049,ALBATROSS TOMREFJORD PRØVETUR ,3,2.6666666666666665,1.7710870046491032
7004,ALF TAFJORD LANDHANDEL ,49,10.755102040816327,6.211270899099732
3323,ALNES BRYGGE ,13,4.230769230769231,13.767725947156963
3319,ALNES FYR OG OPPLEVELSESSENTER ,87,4.528735632183908,9.188497121015306
13153,AMORE ÅLESUND ,22,2.090909090909091,23.0
8399,ANDREAS FAUSA EFTF. ,21,2.0476190476190474,10.793714543902807
4096,ANITAS KANTINE ,40,4.625,6.943308077206583
9142,ANNO ,184,7.717391304347826,8.31218020057408
8165,ASK SAFETY 460205 ,85,2.823529411764706,8.500142731563365
8284,ASSIST ÅLESUND ,13,2.076923076923077,3.79368001011648
8288,ATLANTERHAVSPARKEN ÅLESUND ,87,6.9655172413793105,8.0286540809344
410,AURSNES HOTELL ,10,3.5,6.63607750938531
435,AURSNES KIOSK ,66,7.878787878787879,3.2850824217703423
7811,"AVD VATNE, TENNFJORD BHG ",17,7.9411764705882355,27.87010466772642
4089,B GATEGRILL ,25,15.52,9.667579771237152
571,BAKEHUSET AVD NORDFJORDEID ,20,8.45,25.302393546542184
