,FLISNESVEGEN 1,LERSTADVEGEN 545,LORKENESTORGET,SMEDGARDEN 1,Øvre Geilegrend 1,FOGD GREVES VEG 3,KONGENS GATE 6,Gamle Blindheimsveg 25,Spjelkavikvegen 61,SPJELKAVIKVEGEN 42,SKAREGATA 1,Rasmus Rønnebergs gate 21,BROGATA 1,KONGENS GATE 28A,SKANSEKAIA 4A,SORENSKRIVER BULLS GATE 7,PARKGATA 11B,KONGENS GATE 27,RASMUS RØNNEBERGS GATE 4,LARSGÅRDSVEGEN 19,SUNDGATA 8,RASMUS RØNNEBERGS GATE 6,NEDRE STRANDGATE 51,NØRVEGATA 23,NEDRE KLOKKERSUNDVEGEN 2,LERSTADVEGEN 291,APOTEKERGATA 1-3,APOTEKERGATA 5,SKARBØVIKGATA 25,OLE THORESENS GATE 16,JOHS. AARFLOTS GATE 4,KIPERVIKGATA 5,KIRKEGATA 1 A,SKARBØVIKGATA 26,APOTEKERGATA 8,KONGENS GATE 28,SJØMANNSVEGEN 14,NEDRE STRANDGATE 9,FJORDGATA 52,Depot
FLISNESVEGEN 1,0.0,519.8,1201.0,907.8,638.7,955.1,1188.0,225.4,390.3,415.8,1207.6,1198.1,1336.2,1230.2,1241.3,1212.8,1177.6,1235.5,1198.8,934.7,1112.7,1197.6,1253.6,1033.9,967.0,754.6,1216.1,1214.7,1435.1,1484.6,1308.5,1157.8,1229.3,1422.9,1210.9,1230.2,1108.6,1211.1,1302.0,549.2
LERSTADVEGEN 545,524.2,0.0,854.1,647.2,379.6,608.2,841.1,407.7,166.9,165.6,860.7,851.2,989.3,883.3,894.4,865.9,830.7,888.6,851.9,587.8,765.8,850.7,906.7,687.0,624.5,412.1,869.2,867.8,1088.2,1137.7,961.6,810.9,882.4,1076.0,864.0,883.3,761.7,864.2,955.1,616.7
LORKENESTORGET,1206.8,851.1,0.0,596.8,676.4,383.7,83.4,1090.3,896.4,904.5,71.6,72.4,149.9,94.2,105.3,94.0,88.5,99.5,18.9,386.7,104.1,22.7,67.3,269.5,425.4,556.0,29.8,28.4,248.8,298.3,122.2,74.9,43.0,236.6,24.6,94.2,327.0,24.8,115.7,1299.3
SMEDGARDEN 1,892.5,659.6,603.9,0.0,351.4,339.8,590.9,776.0,582.1,607.6,610.5,601.0,739.1,633.1,644.2,615.7,580.5,638.4,601.7,302.4,515.6,600.5,656.5,436.8,233.1,346.0,619.0,617.6,838.0,887.5,711.4,560.7,632.2,825.8,613.8,633.1,511.5,614.0,704.9,985.0
Øvre Geilegrend 1,641.4,375.3,712.2,370.7,0.0,466.3,699.2,524.9,331.0,324.4,718.8,709.3,847.4,741.4,752.5,724.0,688.8,746.7,710.0,445.9,623.9,708.8,764.8,545.1,429.9,217.5,727.3,725.9,946.3,995.8,819.7,669.0,740.5,934.1,722.1,741.4,619.8,722.3,813.2,733.9
FOGD GREVES VEG 3,974.3,618.6,367.0,334.3,443.9,0.0,354.0,857.8,663.9,672.0,373.6,364.1,502.2,396.2,407.3,378.8,343.6,401.5,364.8,67.1,278.7,363.6,419.6,143.6,162.9,323.5,382.1,380.7,601.1,650.6,474.5,323.8,395.3,588.9,376.9,396.2,267.6,377.1,468.0,1066.8
KONGENS GATE 6,1203.2,847.5,72.3,593.2,672.8,380.1,0.0,1086.7,892.8,900.9,35.1,47.6,207.5,68.2,79.3,48.7,46.9,73.5,57.2,383.1,77.9,53.4,124.9,265.9,421.8,552.4,87.4,86.0,306.4,355.9,179.8,33.3,100.6,294.2,82.2,68.2,323.4,82.4,173.3,1295.7
Gamle Blindheimsveg 25,235.7,410.3,1091.5,798.3,529.2,845.6,1078.5,0.0,280.8,306.3,1098.1,1088.6,1226.7,1120.7,1131.8,1103.3,1068.1,1126.0,1089.3,825.2,1003.2,1088.1,1144.1,924.4,857.5,645.1,1106.6,1105.2,1325.6,1375.1,1199.0,1048.3,1119.8,1313.4,1101.4,1120.7,999.1,1101.6,1192.5,439.7
Spjelkavikvegen 61,400.1,159.2,894.5,601.3,332.2,648.6,881.5,283.6,0.0,25.5,901.1,891.6,1029.7,923.7,934.8,906.3,871.1,929.0,892.3,628.2,806.2,891.1,947.1,727.4,660.5,448.1,909.6,908.2,1128.6,1178.1,1002.0,851.3,922.8,1116.4,904.4,923.7,802.1,904.6,995.5,492.6
SPJELKAVIKVEGEN 42,422.5,160.5,913.0,600.8,354.6,667.1,900.0,306.0,22.4,0.0,919.6,910.1,1048.2,942.2,953.3,924.8,889.6,947.5,910.8,646.7,824.7,909.6,965.6,745.9,660.0,447.6,928.1,926.7,1147.1,1196.6,1020.5,869.8,941.3,1134.9,922.9,942.2,820.6,923.1,1014.0,515.0
SKAREGATA 1,1214.3,858.6,65.4,604.3,683.9,391.2,28.5,1097.8,903.9,912.0,0.0,58.7,200.6,33.1,44.2,32.1,58.0,38.4,50.3,394.2,89.0,46.5,118.0,277.0,432.9,563.5,80.5,79.1,299.5,349.0,172.9,44.4,93.7,287.3,75.3,33.1,334.5,75.5,166.4,1306.8
Rasmus Rønnebergs gate 21,1208.6,852.9,67.0,598.6,678.2,385.5,47.2,1092.1,898.2,906.3,58.4,0.0,202.2,88.7,99.8,72.0,52.3,94.0,51.9,388.5,83.3,48.1,119.6,271.3,427.2,557.8,82.1,80.7,301.1,350.6,174.5,38.7,95.3,288.9,76.9,88.7,328.8,77.1,168.0,1301.1
