Episode,Instance,Best_Cost,Total_Reward,Steps,Avg_Success_Rate
1,C1_2_6.TXT,2723.3625,903.0,1000,0.0439819375928653
2,C2_2_8.TXT,1919.3165,1053.0,1000,0.050741781874039944
3,r107.txt,1088.1288,1360.0,1000,0.056088267906792
4,R2_2_4.TXT,2097.955,1367.0,1000,0.02589884856741588
5,RC1_2_10.TXT,3460.2095,1041.0,1000,0.03258573411422187
6,r104.txt,995.2425,1334.0,1000,0.03414130564506504
7,c105.txt,828.9369,1280.0,1000,0.033139024745848074
8,C1_2_3.TXT,2886.0774,1394.0,1000,0.033729099244875944
9,RC1_2_2.TXT,3517.3176,1019.0,1000,0.03448018011019258
10,r104.txt,1011.26715,1195.0,1000,0.0351161695029883
11,C2_2_9.TXT,1950.0288,1300.0,1000,0.04902645502645503
12,C1_2_8.TXT,2884.385,1118.0,1000,0.028624337372456354
13,C1_2_9.TXT,3001.4863,1312.0,1000,0.04541609400959304
14,C1_2_7.TXT,2764.4417,1370.0,1000,0.04505565180088766
15,C2_2_5.TXT,1894.6238,1513.0,1000,0.05166776678081998
16,c104.txt,885.0065,1549.0,1000,0.05101669032563341
17,r203.txt,887.5263,1663.0,1000,0.017438231469440832
18,RC2_2_1.TXT,3092.6653,1232.0,1000,0.032247454593823305
19,C1_2_3.TXT,3033.676,1689.0,1000,0.03335071942446043
20,RC2_2_9.TXT,2262.369,1482.0,1000,0.014005970436708558
21,C2_2_10.TXT,1894.9409,731.0,1000,0.00683743842364532
22,C2_2_3.TXT,1807.5597,1366.0,1000,0.01259585289514867
23,c104.txt,892.0907,1441.0,1000,0.01474708024139191
24,RC1_2_2.TXT,3777.9238,1289.0,1000,0.011029333333333334
25,RC1_2_2.TXT,3660.7114,884.0,1000,0.007492588932806324
26,rc106.txt,1603.4099,1331.0,1000,0.010204824287793719
27,rc206.txt,2193.5332,966.0,1000,0.023963963963963962
28,R2_2_5.TXT,5171.963,877.0,1000,0.024232698094282846
29,R2_2_8.TXT,4383.622,587.0,1000,0.02098098098098098
30,C1_2_3.TXT,5421.874,935.0,1000,0.02450251256281407
31,c208.txt,1357.4639,146.0,1000,0.020481444332998998
32,r206.txt,1743.2767,1454.0,1000,0.025365365365365364
33,rc203.txt,1954.548,1297.0,1000,0.025705705705705705
34,C1_2_9.TXT,7415.646,1058.0,1000,0.025110220440881764
35,C2_2_6.TXT,4740.3857,1145.0,1000,0.025265265265265263
36,r106.txt,2315.1772,989.0,1000,0.024509018036072146
37,c103.txt,2519.355,836.0,1000,0.02400801603206413
38,RC2_2_6.TXT,5328.455,1448.0,1000,0.027107107107107106
39,RC2_2_9.TXT,3867.7336,945.0,1000,0.02094094094094094
40,c208.txt,1580.6628,296.0,1000,0.021181181181181178
41,RC1_2_9.TXT,7948.7603,900.0,1000,0.024404404404404403
42,r109.txt,2056.3755,526.0,1000,0.02246492985971944
43,rc106.txt,2515.2903,556.0,1000,0.02250501002004008
44,C1_2_10.TXT,7605.6074,514.0,1000,0.022484969939879758
45,c205.txt,1488.5732,781.0,1000,0.023183183183183183
46,r101.txt,2157.0981,256.0,1000,0.021123370110330993
47,R2_2_3.TXT,5052.133,635.0,1000,0.020480480480480477
48,r209.txt,1390.696,1175.0,1000,0.025405405405405403
