algorithm,instance,run,best_cost,iteration_found_best
DRLH,C1_6_1.TXT,1,17059.15,1000
DRLH,C1_6_1.TXT,2,16851.19,986
DRLH,C1_6_1.TXT,3,16372.23,995
DRLH,C1_6_1.TXT,4,16607.14,996
DRLH,C1_6_1.TXT,5,16509.19,999
DRLH,C1_6_1.TXT,6,17196.77,999
DRLH,C1_6_1.TXT,7,17416.74,991
DRLH,C1_6_1.TXT,8,16207.33,995
DRLH,C1_6_1.TXT,9,17610.97,997
DRLH,C1_6_1.TXT,10,16302.61,997
DRLH,C1_6_10.TXT,1,17301.11,994
DRLH,C1_6_10.TXT,2,17343.80,988
DRLH,C1_6_10.TXT,3,17560.72,1000
DRLH,C1_6_10.TXT,4,17481.51,995
DRLH,C1_6_10.TXT,5,17001.79,1000
DRLH,C1_6_10.TXT,6,17201.65,1000
DRLH,C1_6_10.TXT,7,17129.95,998
DRLH,C1_6_10.TXT,8,17749.68,970
DRLH,C1_6_10.TXT,9,17140.94,998
DRLH,C1_6_10.TXT,10,17281.55,999
DRLH,C1_6_2.TXT,1,16286.11,996
DRLH,C1_6_2.TXT,2,16998.05,1000
DRLH,C1_6_2.TXT,3,17501.50,1000
DRLH,C1_6_2.TXT,4,17193.88,966
DRLH,C1_6_2.TXT,5,16748.29,934
DRLH,C1_6_2.TXT,6,16933.15,1000
DRLH,C1_6_2.TXT,7,17585.32,998
DRLH,C1_6_2.TXT,8,17492.19,981
DRLH,C1_6_2.TXT,9,17073.19,1000
DRLH,C1_6_2.TXT,10,17277.00,998
DRLH,C1_6_3.TXT,1,17354.61,999
DRLH,C1_6_3.TXT,2,17031.56,996
DRLH,C1_6_3.TXT,3,16864.94,1000
DRLH,C1_6_3.TXT,4,16861.75,982
DRLH,C1_6_3.TXT,5,17328.87,993
DRLH,C1_6_3.TXT,6,17333.26,1000
DRLH,C1_6_3.TXT,7,17129.04,985
DRLH,C1_6_3.TXT,8,17633.47,989
DRLH,C1_6_3.TXT,9,17365.27,1000
DRLH,C1_6_3.TXT,10,17461.72,1000
DRLH,C1_6_4.TXT,1,16994.99,1000
DRLH,C1_6_4.TXT,2,16934.12,1000
DRLH,C1_6_4.TXT,3,16985.32,993
DRLH,C1_6_4.TXT,4,16481.46,960
DRLH,C1_6_4.TXT,5,17067.80,998
DRLH,C1_6_4.TXT,6,16915.81,1000
DRLH,C1_6_4.TXT,7,17222.62,998
DRLH,C1_6_4.TXT,8,16785.16,999
DRLH,C1_6_4.TXT,9,17123.25,999
DRLH,C1_6_4.TXT,10,16765.26,958
DRLH,C1_6_5.TXT,1,16471.45,995
DRLH,C1_6_5.TXT,2,16578.30,993
DRLH,C1_6_5.TXT,3,16294.99,995
DRLH,C1_6_5.TXT,4,16000.71,995
DRLH,C1_6_5.TXT,5,16088.20,996
DRLH,C1_6_5.TXT,6,16604.47,998
DRLH,C1_6_5.TXT,7,16342.89,996
DRLH,C1_6_5.TXT,8,16242.62,968
DRLH,C1_6_5.TXT,9,16589.56,997
DRLH,C1_6_5.TXT,10,16928.53,998
DRLH,C1_6_6.TXT,1,16735.18,1000
DRLH,C1_6_6.TXT,2,17270.45,1000
DRLH,C1_6_6.TXT,3,17336.13,997
DRLH,C1_6_6.TXT,4,17662.35,999
DRLH,C1_6_6.TXT,5,17355.52,998
DRLH,C1_6_6.TXT,6,17416.31,997
DRLH,C1_6_6.TXT,7,17664.34,998
DRLH,C1_6_6.TXT,8,17935.91,999
DRLH,C1_6_6.TXT,9,17129.69,997
DRLH,C1_6_6.TXT,10,17533.05,869
DRLH,C1_6_7.TXT,1,17171.88,999
DRLH,C1_6_7.TXT,2,16940.90,999
DRLH,C1_6_7.TXT,3,17322.86,984
DRLH,C1_6_7.TXT,4,17173.66,1000
DRLH,C1_6_7.TXT,5,17449.55,986
DRLH,C1_6_7.TXT,6,16712.25,999
DRLH,C1_6_7.TXT,7,17236.06,1000
DRLH,C1_6_7.TXT,8,17468.29,997
DRLH,C1_6_7.TXT,9,17343.42,982
DRLH,C1_6_7.TXT,10,16928.77,999
DRLH,C1_6_8.TXT,1,17359.90,1000
DRLH,C1_6_8.TXT,2,17678.80,1000
DRLH,C1_6_8.TXT,3,17210.48,1000
DRLH,C1_6_8.TXT,4,17409.47,999
DRLH,C1_6_8.TXT,5,17881.35,1000
DRLH,C1_6_8.TXT,6,17614.68,1000
DRLH,C1_6_8.TXT,7,17911.27,996
DRLH,C1_6_8.TXT,8,17907.20,998
DRLH,C1_6_8.TXT,9,17530.26,1000
DRLH,C1_6_8.TXT,10,18418.82,980
DRLH,C1_6_9.TXT,1,17516.15,997
DRLH,C1_6_9.TXT,2,17311.79,945
DRLH,C1_6_9.TXT,3,17187.78,999
DRLH,C1_6_9.TXT,4,17719.33,970
DRLH,C1_6_9.TXT,5,16710.12,993
DRLH,C1_6_9.TXT,6,17233.57,998
DRLH,C1_6_9.TXT,7,17516.60,1000
DRLH,C1_6_9.TXT,8,17518.95,1000
DRLH,C1_6_9.TXT,9,17392.52,1000
DRLH,C1_6_9.TXT,10,17844.38,892
DRLH,C2_6_1.TXT,1,8872.87,982
DRLH,C2_6_1.TXT,2,8989.78,982
DRLH,C2_6_1.TXT,3,8935.88,882
DRLH,C2_6_1.TXT,4,8568.81,974
DRLH,C2_6_1.TXT,5,9020.71,978
DRLH,C2_6_1.TXT,6,9038.00,987
DRLH,C2_6_1.TXT,7,8967.69,1000
DRLH,C2_6_1.TXT,8,9025.56,989
DRLH,C2_6_1.TXT,9,9243.19,932
DRLH,C2_6_1.TXT,10,8713.28,999
DRLH,C2_6_10.TXT,1,10070.53,999
DRLH,C2_6_10.TXT,2,10528.00,999
DRLH,C2_6_10.TXT,3,10383.31,992
DRLH,C2_6_10.TXT,4,10229.57,1000
DRLH,C2_6_10.TXT,5,10475.58,999
DRLH,C2_6_10.TXT,6,10743.05,983
DRLH,C2_6_10.TXT,7,10071.28,994
DRLH,C2_6_10.TXT,8,10406.44,998
DRLH,C2_6_10.TXT,9,10341.96,928
