algorithm,instance,run,best_cost,iteration_found_best
DRLH,C1_6_1.TXT,1,16010.06,4510
DRLH,C1_6_1.TXT,2,16203.43,4270
DRLH,C1_6_1.TXT,3,15560.66,4567
DRLH,C1_6_1.TXT,4,15559.62,4775
DRLH,C1_6_1.TXT,5,15324.86,4721
DRLH,C1_6_1.TXT,6,16025.57,4999
DRLH,C1_6_1.TXT,7,15892.00,4444
DRLH,C1_6_1.TXT,8,15970.64,4953
DRLH,C1_6_1.TXT,9,15588.04,4985
DRLH,C1_6_1.TXT,10,15778.33,4994
DRLH,C1_6_10.TXT,1,16181.23,5000
DRLH,C1_6_10.TXT,2,16240.46,4998
DRLH,C1_6_10.TXT,3,16128.79,4997
DRLH,C1_6_10.TXT,4,16202.53,4991
DRLH,C1_6_10.TXT,5,16060.21,4999
DRLH,C1_6_10.TXT,6,16132.85,4948
DRLH,C1_6_10.TXT,7,16091.60,4997
DRLH,C1_6_10.TXT,8,15901.86,4980
DRLH,C1_6_10.TXT,9,16461.68,4997
DRLH,C1_6_10.TXT,10,16156.49,4991
DRLH,C1_6_2.TXT,1,15800.70,4995
DRLH,C1_6_2.TXT,2,16034.68,4371
DRLH,C1_6_2.TXT,3,15885.19,4987
DRLH,C1_6_2.TXT,4,16073.14,4971
DRLH,C1_6_2.TXT,5,15451.56,4980
DRLH,C1_6_2.TXT,6,15604.14,4976
DRLH,C1_6_2.TXT,7,16050.27,3231
DRLH,C1_6_2.TXT,8,15866.48,4952
DRLH,C1_6_2.TXT,9,15886.20,4565
DRLH,C1_6_2.TXT,10,16227.59,4029
DRLH,C1_6_3.TXT,1,15494.54,4999
DRLH,C1_6_3.TXT,2,15864.14,4964
DRLH,C1_6_3.TXT,3,15842.75,4992
DRLH,C1_6_3.TXT,4,16230.44,4906
DRLH,C1_6_3.TXT,5,16343.69,4996
DRLH,C1_6_3.TXT,6,16192.16,4996
DRLH,C1_6_3.TXT,7,15922.07,4999
DRLH,C1_6_3.TXT,8,16139.13,4998
DRLH,C1_6_3.TXT,9,16102.30,4998
DRLH,C1_6_3.TXT,10,15991.21,4993
DRLH,C1_6_4.TXT,1,15971.69,4999
DRLH,C1_6_4.TXT,2,15937.21,4994
DRLH,C1_6_4.TXT,3,15956.75,4994
DRLH,C1_6_4.TXT,4,16169.47,5000
DRLH,C1_6_4.TXT,5,15973.36,4997
DRLH,C1_6_4.TXT,6,15684.82,4999
DRLH,C1_6_4.TXT,7,16330.12,4999
DRLH,C1_6_4.TXT,8,15958.98,4997
DRLH,C1_6_4.TXT,9,16143.12,4997
DRLH,C1_6_4.TXT,10,16031.72,4999
DRLH,C1_6_5.TXT,1,15305.77,2819
DRLH,C1_6_5.TXT,2,15650.08,4490
DRLH,C1_6_5.TXT,3,14888.77,4996
DRLH,C1_6_5.TXT,4,15091.92,2929
DRLH,C1_6_5.TXT,5,14854.72,4494
DRLH,C1_6_5.TXT,6,15365.44,4456
DRLH,C1_6_5.TXT,7,14992.33,3026
DRLH,C1_6_5.TXT,8,15337.01,4362
DRLH,C1_6_5.TXT,9,15365.63,4991
DRLH,C1_6_5.TXT,10,14848.42,4808
DRLH,C1_6_6.TXT,1,15369.95,4922
DRLH,C1_6_6.TXT,2,15773.09,4699
DRLH,C1_6_6.TXT,3,15637.57,4863
DRLH,C1_6_6.TXT,4,14795.12,4982
DRLH,C1_6_6.TXT,5,15516.23,4806
DRLH,C1_6_6.TXT,6,15547.76,5000
DRLH,C1_6_6.TXT,7,15543.36,4496
DRLH,C1_6_6.TXT,8,15258.72,4862
DRLH,C1_6_6.TXT,9,15769.78,4694
