algorithm,instance,run,best_cost,iteration_found_best
RRT,C1_6_1.TXT,1,14355.42,941
RRT,C1_6_1.TXT,2,14306.26,775
RRT,C1_6_1.TXT,3,14096.02,828
RRT,C1_6_1.TXT,4,14096.72,989
RRT,C1_6_1.TXT,5,14096.28,979
RRT,C1_6_1.TXT,6,14095.89,800
RRT,C1_6_1.TXT,7,14258.66,216
RRT,C1_6_1.TXT,8,14496.21,461
RRT,C1_6_1.TXT,9,14131.38,912
RRT,C1_6_1.TXT,10,14096.41,803
RRT,R1_6_1.TXT,1,22456.99,976
RRT,R1_6_1.TXT,2,22612.36,996
RRT,R1_6_1.TXT,3,22649.16,998
RRT,R1_6_1.TXT,4,22701.98,975
RRT,R1_6_1.TXT,5,22551.63,975
RRT,R1_6_1.TXT,6,22598.25,997
RRT,R1_6_1.TXT,7,22569.34,989
RRT,R1_6_1.TXT,8,22579.10,998
RRT,R1_6_1.TXT,9,22520.81,991
RRT,R1_6_1.TXT,10,22553.06,996
RRT,RC1_6_1.TXT,1,18564.25,999
RRT,RC1_6_1.TXT,2,18665.10,992
RRT,RC1_6_1.TXT,3,18873.93,998
RRT,RC1_6_1.TXT,4,19145.62,988
RRT,RC1_6_1.TXT,5,18816.72,993
RRT,RC1_6_1.TXT,6,18854.70,989
RRT,RC1_6_1.TXT,7,18826.50,995
RRT,RC1_6_1.TXT,8,18680.13,988
RRT,RC1_6_1.TXT,9,18791.76,979
RRT,RC1_6_1.TXT,10,18720.60,981
