algorithm,instance,run,best_cost,iteration_found_best
RRT,C1_6_1.TXT,1,15738.75,4967
RRT,C1_6_1.TXT,2,15332.26,4994
RRT,C1_6_1.TXT,3,16237.16,4988
RRT,C1_6_1.TXT,4,16134.14,4999
RRT,C1_6_1.TXT,5,15569.84,4996
RRT,C1_6_1.TXT,6,15805.38,4978
RRT,C1_6_1.TXT,7,15511.25,4859
RRT,C1_6_1.TXT,8,15452.34,4951
RRT,C1_6_1.TXT,9,16492.78,4940
RRT,C1_6_1.TXT,10,15873.53,4760
RRT,C1_6_10.TXT,1,16729.47,4996
RRT,C1_6_10.TXT,2,16763.55,4992
RRT,C1_6_10.TXT,3,17053.94,4998
RRT,C1_6_10.TXT,4,16688.46,4997
RRT,C1_6_10.TXT,5,16945.80,4997
RRT,C1_6_10.TXT,6,16543.06,4998
RRT,C1_6_10.TXT,7,16392.58,4998
RRT,C1_6_10.TXT,8,16048.68,4997
RRT,C1_6_10.TXT,9,16642.65,4998
RRT,C1_6_10.TXT,10,16773.48,4997
RRT,C1_6_2.TXT,1,15793.43,4998
RRT,C1_6_2.TXT,2,16062.72,4999
RRT,C1_6_2.TXT,3,16090.38,4696
RRT,C1_6_2.TXT,4,16044.60,4949
RRT,C1_6_2.TXT,5,15749.34,4999
RRT,C1_6_2.TXT,6,16561.94,4994
RRT,C1_6_2.TXT,7,16467.92,4997
RRT,C1_6_2.TXT,8,15701.24,4997
RRT,C1_6_2.TXT,9,16711.85,4999
RRT,C1_6_2.TXT,10,16216.53,4997
RRT,C1_6_3.TXT,1,15706.59,4995
RRT,C1_6_3.TXT,2,15892.75,4956
RRT,C1_6_3.TXT,3,16214.64,4996
RRT,C1_6_3.TXT,4,16270.59,4998
RRT,C1_6_3.TXT,5,16004.65,4995
RRT,C1_6_3.TXT,6,15945.24,4992
RRT,C1_6_3.TXT,7,16341.28,4995
RRT,C1_6_3.TXT,8,16357.52,4912
RRT,C1_6_3.TXT,9,16257.41,4979
RRT,C1_6_3.TXT,10,16526.75,4990
RRT,C1_6_4.TXT,1,16162.95,4999
RRT,C1_6_4.TXT,2,16557.16,4998
