algorithm,instance,run,best_cost,iteration_found_best
URS,C1_6_1.TXT,1,14379.93,919
URS,C1_6_1.TXT,2,14718.50,985
URS,C1_6_1.TXT,3,14857.98,861
URS,C1_6_1.TXT,4,14685.58,922
URS,C1_6_1.TXT,5,14702.74,983
URS,C1_6_1.TXT,6,14652.66,972
URS,C1_6_1.TXT,7,15297.41,967
URS,C1_6_1.TXT,8,14710.38,995
URS,C1_6_1.TXT,9,14275.92,943
URS,C1_6_1.TXT,10,15334.99,776
URS,R1_6_1.TXT,1,22673.58,988
URS,R1_6_1.TXT,2,22547.86,989
URS,R1_6_1.TXT,3,22919.90,971
URS,R1_6_1.TXT,4,22903.18,996
URS,R1_6_1.TXT,5,22792.68,999
URS,R1_6_1.TXT,6,22855.77,996
URS,R1_6_1.TXT,7,22976.14,986
URS,R1_6_1.TXT,8,22748.75,982
