algorithm,instance,run,best_cost,iteration_found_best
URS,C1_6_1.TXT,1,16578.04,4994
URS,C1_6_1.TXT,2,15929.53,4975
URS,C1_6_1.TXT,3,16516.22,4997
URS,C1_6_1.TXT,4,15073.15,4999
URS,C1_6_1.TXT,5,16217.49,4935
URS,C1_6_1.TXT,6,16595.46,4955
URS,C1_6_1.TXT,7,16119.13,4985
URS,C1_6_1.TXT,8,16107.37,4995
URS,C1_6_1.TXT,9,16415.73,4992
URS,C1_6_1.TXT,10,16156.16,4977
URS,C1_6_10.TXT,1,17392.54,4999
URS,C1_6_10.TXT,2,17076.92,4994
URS,C1_6_10.TXT,3,17147.84,4999
URS,C1_6_10.TXT,4,17494.05,4995
URS,C1_6_10.TXT,5,17144.91,4997
URS,C1_6_10.TXT,6,17323.35,4997
URS,C1_6_10.TXT,7,17285.92,4999
URS,C1_6_10.TXT,8,17423.10,4999
URS,C1_6_10.TXT,9,16831.77,4979
URS,C1_6_10.TXT,10,16707.23,4999
URS,C1_6_2.TXT,1,16407.00,4998
URS,C1_6_2.TXT,2,16447.12,4736
URS,C1_6_2.TXT,3,15903.91,4998
URS,C1_6_2.TXT,4,15800.35,4998
URS,C1_6_2.TXT,5,16113.67,4984
URS,C1_6_2.TXT,6,16386.01,4992
URS,C1_6_2.TXT,7,16286.42,4998
URS,C1_6_2.TXT,8,16521.72,4999
URS,C1_6_2.TXT,9,16517.84,4977
URS,C1_6_2.TXT,10,16644.60,4999
URS,C1_6_3.TXT,1,16705.81,4984
URS,C1_6_3.TXT,2,16783.87,4970
URS,C1_6_3.TXT,3,16923.65,4995
URS,C1_6_3.TXT,4,16398.59,4984
URS,C1_6_3.TXT,5,16351.64,4998
URS,C1_6_3.TXT,6,16596.40,4991
URS,C1_6_3.TXT,7,16371.02,4997
URS,C1_6_3.TXT,8,16225.63,4975
URS,C1_6_3.TXT,9,16558.72,4999
URS,C1_6_3.TXT,10,16247.27,4990
URS,C1_6_4.TXT,1,17083.52,4998
URS,C1_6_4.TXT,2,16709.52,4998
URS,C1_6_4.TXT,3,17161.26,4996
URS,C1_6_4.TXT,4,16648.46,4991
URS,C1_6_4.TXT,5,16382.77,4993
URS,C1_6_4.TXT,6,16810.44,4999
URS,C1_6_4.TXT,7,16680.76,4999
URS,C1_6_4.TXT,8,16798.54,4994
URS,C1_6_4.TXT,9,16275.03,4999
URS,C1_6_4.TXT,10,16956.71,4978
URS,C1_6_5.TXT,1,16201.79,4994
URS,C1_6_5.TXT,2,16989.47,4991
URS,C1_6_5.TXT,3,16486.82,4997
URS,C1_6_5.TXT,4,15803.76,4998
URS,C1_6_5.TXT,5,16526.12,4986
URS,C1_6_5.TXT,6,15991.30,4992
URS,C1_6_5.TXT,7,16074.16,4996
URS,C1_6_5.TXT,8,16059.75,4997
URS,C1_6_5.TXT,9,16188.32,4929
URS,C1_6_5.TXT,10,16208.53,4999
URS,C1_6_6.TXT,1,17129.74,4983
URS,C1_6_6.TXT,2,16665.78,4993
URS,C1_6_6.TXT,3,16900.42,4999
